dz_2011,total,married,single
S01006506,749,350,399
S01006507,850,454,396
S01006508,754,321,433
S01006509,575,306,269
S01006510,637,309,328
S01006511,898,537,361
S01006512,272,187,85
S01006513,944,555,389
S01006514,967,630,337
S01006515,858,586,272
S01006516,739,403,336
S01006517,808,493,315
S01006518,762,472,290
S01006519,675,451,224
S01006520,619,437,182
S01006521,577,384,193
S01006522,438,325,113
S01006523,1227,696,531
S01006524,1112,519,593
S01006525,1049,641,408
S01006526,1208,470,738
S01006527,1114,413,701
S01006528,950,363,587
S01006529,961,294,667
S01006530,1001,325,676
S01006531,1107,399,708
S01006532,877,380,497
S01006533,707,391,316
S01006534,729,415,314
S01006535,974,338,636
S01006536,1236,320,916
S01006537,718,466,252
S01006538,568,353,215
S01006539,872,428,444
S01006540,1086,604,482
S01006541,822,457,365
S01006542,874,515,359
S01006543,909,605,304
S01006544,1251,656,595
S01006545,1127,514,613
S01006546,962,561,401
S01006547,1235,603,632
S01006548,618,423,195
S01006549,800,470,330
S01006550,1023,684,339
S01006551,843,366,477
S01006552,1090,521,569
S01006553,895,478,417
S01006554,808,369,439
S01006555,822,297,525
S01006556,830,386,444
S01006557,662,270,392
S01006558,740,277,463
S01006559,586,299,287
S01006560,847,435,412
S01006561,684,387,297
S01006562,814,450,364
S01006563,835,442,393
S01006564,1093,225,868
S01006565,1159,213,946
S01006566,756,212,544
S01006567,1087,238,849
S01006568,1078,230,848
S01006569,661,202,459
S01006570,758,335,423
S01006571,1062,455,607
S01006572,1087,689,398
S01006573,566,317,249
S01006574,809,447,362
S01006575,947,474,473
S01006576,756,318,438
S01006577,789,327,462
S01006578,1638,346,1292
S01006579,1292,256,1036
S01006580,763,221,542
S01006581,1120,590,530
S01006582,651,98,553
S01006583,1038,167,871
S01006584,845,183,662
S01006585,801,179,622
S01006586,913,150,763
S01006587,613,107,506
S01006588,874,123,751
S01006589,1238,196,1042
S01006590,608,112,496
S01006591,791,196,595
S01006592,590,158,432
S01006593,852,211,641
S01006594,729,204,525
S01006595,932,252,680
S01006596,810,312,498
S01006597,762,96,666
S01006598,1088,537,551
S01006599,1078,312,766
S01006600,1261,479,782
S01006601,899,307,592
S01006602,889,424,465
S01006603,1128,515,613
S01006604,792,375,417
S01006605,767,267,500
S01006606,1087,551,536
S01006607,1044,454,590
S01006608,1214,696,518
S01006609,1131,516,615
S01006610,600,224,376
S01006611,944,400,544
S01006612,852,443,409
S01006613,360,226,134
S01006614,669,402,267
S01006615,313,193,120
S01006616,649,311,338
S01006617,841,442,399
S01006618,469,267,202
S01006619,807,423,384
S01006620,887,453,434
S01006621,632,345,287
S01006622,549,284,265
S01006623,1172,437,735
S01006624,891,239,652
S01006625,728,324,404
S01006626,749,241,508
S01006627,773,196,577
S01006628,1265,343,922
S01006629,781,273,508
S01006630,692,249,443
S01006631,964,309,655
S01006632,846,263,583
S01006633,721,284,437
S01006634,634,186,448
S01006635,838,323,515
S01006636,819,252,567
S01006637,699,196,503
S01006638,1069,190,879
S01006639,959,165,794
S01006640,759,143,616
S01006641,1258,221,1037
S01006642,1332,147,1185
S01006643,1210,191,1019
S01006644,981,169,812
S01006645,1419,198,1221
S01006646,1286,155,1131
S01006647,866,134,732
S01006648,1908,213,1695
S01006649,1120,197,923
S01006650,1323,252,1071
S01006651,747,157,590
S01006652,787,128,659
S01006653,739,209,530
S01006654,798,191,607
S01006655,650,205,445
S01006656,982,218,764
S01006657,541,111,430
S01006658,1104,234,870
S01006659,830,159,671
S01006660,670,148,522
