dz_2011,total,married,single
S01006506,623,296,327
S01006507,848,541,307
S01006508,683,317,366
S01006509,611,312,299
S01006510,613,331,282
S01006511,841,485,356
S01006512,292,187,105
S01006513,760,540,220
S01006514,859,576,283
S01006515,847,623,224
S01006516,686,406,280
S01006517,811,540,271
S01006518,776,514,262
S01006519,664,454,210
S01006520,590,469,121
S01006521,449,275,174
S01006522,427,296,131
S01006523,1095,695,400
S01006524,1064,490,574
S01006525,1065,659,406
S01006526,1258,571,687
S01006527,1130,536,594
S01006528,914,389,525
S01006529,925,296,629
S01006530,995,404,591
S01006531,1045,411,634
S01006532,689,341,348
S01006533,649,410,239
S01006534,814,415,399
S01006535,944,304,640
S01006536,1158,284,874
S01006537,695,476,219
S01006538,582,385,197
S01006539,841,454,387
S01006540,1067,594,473
S01006541,829,501,328
S01006542,836,514,322
S01006543,827,550,277
S01006544,980,460,520
S01006545,966,478,488
S01006546,981,573,408
S01006547,1209,638,571
S01006548,631,479,152
S01006549,702,458,244
S01006550,1069,735,334
S01006551,786,362,424
S01006552,1155,544,611
S01006553,900,492,408
S01006554,775,386,389
S01006555,903,297,606
S01006556,861,427,434
S01006557,672,276,396
S01006558,767,292,475
S01006559,500,252,248
S01006560,837,425,412
S01006561,706,428,278
S01006562,843,497,346
S01006563,964,448,516
S01006564,1033,247,786
S01006565,1147,174,973
S01006566,781,211,570
S01006567,1028,204,824
S01006568,1037,144,893
S01006569,660,177,483
S01006570,733,338,395
S01006571,986,429,557
S01006572,1073,712,361
S01006573,514,299,215
S01006574,773,453,320
S01006575,915,498,417
S01006576,729,305,424
S01006577,789,299,490
S01006578,1435,305,1130
S01006579,1252,208,1044
S01006580,712,247,465
S01006581,1014,599,415
S01006582,548,75,473
S01006583,929,147,782
S01006584,807,191,616
S01006585,745,181,564
S01006586,770,138,632
S01006587,471,54,417
S01006588,638,62,576
S01006589,979,128,851
S01006590,583,106,477
S01006591,491,97,394
S01006592,371,121,250
S01006593,520,140,380
S01006594,694,190,504
S01006595,675,208,467
S01006596,842,282,560
S01006597,796,114,682
S01006598,910,427,483
S01006599,1000,365,635
S01006600,1182,454,728
S01006601,878,263,615
S01006602,818,391,427
S01006603,1131,591,540
S01006604,753,408,345
S01006605,681,288,393
S01006606,1160,632,528
S01006607,1044,500,544
S01006608,741,441,300
S01006609,1126,621,505
S01006610,615,310,305
S01006611,962,512,450
S01006612,799,432,367
S01006613,350,262,88
S01006614,698,468,230
S01006615,335,234,101
S01006616,593,360,233
S01006617,812,476,336
S01006618,458,290,168
S01006619,797,467,330
S01006620,947,548,399
S01006621,725,438,287
S01006622,508,274,234
S01006623,1215,523,692
S01006624,727,230,497
S01006625,707,338,369
S01006626,703,265,438
S01006627,610,132,478
S01006628,1006,230,776
S01006629,733,250,483
S01006630,697,299,398
S01006631,958,346,612
S01006632,764,225,539
S01006633,728,301,427
S01006634,577,170,407
S01006635,806,312,494
S01006636,735,240,495
S01006637,546,179,367
S01006638,1001,208,793
S01006639,890,160,730
S01006640,153,55,98
S01006641,875,142,733
S01006642,778,131,647
S01006643,990,146,844
S01006644,540,108,432
S01006645,1091,208,883
S01006646,982,110,872
S01006647,600,158,442
S01006648,1621,136,1485
S01006649,628,84,544
S01006650,817,143,674
S01006651,696,145,551
S01006652,639,105,534
S01006653,643,222,421
S01006654,741,234,507
S01006655,548,172,376
S01006656,817,150,667
S01006657,528,108,420
S01006658,1032,193,839
S01006659,836,202,634
S01006660,521,86,435
S01006661,677,197,480
S01006662,544,124,420
S01006663,1210,220,990
S01006664,390,75,315
S01006665,761,167,594
S01006666,1177,334,843
S01006667,969,318,651
S01006668,778,106,672
S01006669,1161,308,853
S01006670,443,160,283
S01006671,1277,173,1104
S01006672,645,195,450
S01006673,861,185,676
S01006674,805,244,561
S01006675,402,115,287
S01006676,663,224,439
S01006677,608,178,430
S01006678,872,327,545
S01006679,785,359,426
S01006680,625,193,432
S01006681,983,312,671
S01006682,615,167,448
S01006683,939,306,633
S01006684,627,171,456
S01006685,749,224,525
S01006686,774,342,432
S01006687,833,329,504
S01006688,965,491,474
S01006689,440,137,303
S01006690,706,274,432
S01006691,762,282,480
S01006692,805,363,442
S01006693,996,376,620
S01006694,1054,470,584
S01006695,663,386,277
S01006696,916,408,508
S01006697,901,418,483
S01006698,829,363,466
S01006699,663,375,288
S01006700,1137,578,559
S01006701,871,406,465
S01006702,854,461,393
S01006703,629,297,332
S01006704,677,300,377
S01006705,831,396,435
S01006706,647,266,381
S01006707,583,212,371
S01006708,783,402,381
S01006709,918,476,442
S01006710,992,512,480
S01006711,975,426,549
S01006712,584,342,242
S01006713,809,447,362
S01006714,779,398,381
S01006715,758,324,434
S01006716,481,221,260
S01006717,875,456,419
S01006718,530,291,239
S01006719,814,428,386
S01006720,621,315,306
S01006721,827,410,417
