dz_2011,total,religious,nonreligious
S01006506,872,462,410
S01006507,1042,600,442
S01006508,888,453,435
S01006509,693,388,305
S01006510,748,454,294
S01006511,1083,685,398
S01006512,395,260,135
S01006513,1166,750,416
S01006514,1240,803,437
S01006515,1123,702,421
S01006516,910,559,351
S01006517,1014,640,374
S01006518,957,603,354
S01006519,865,573,292
S01006520,883,556,327
S01006521,743,387,356
S01006522,574,364,210
S01006523,1501,927,574
S01006524,1320,891,429
S01006525,1289,844,445
S01006526,1404,676,728
S01006527,1328,605,723
S01006528,1127,564,563
S01006529,1086,588,498
S01006530,1133,579,554
S01006531,1311,630,681
S01006532,1002,571,431
S01006533,837,484,353
S01006534,910,518,392
S01006535,1105,572,533
S01006536,1347,634,713
S01006537,847,538,309
S01006538,664,428,236
S01006539,1025,616,409
S01006540,1264,720,544
S01006541,952,579,373
S01006542,1001,682,319
S01006543,1075,729,346
S01006544,1430,909,521
S01006545,1276,845,431
S01006546,1128,750,378
S01006547,1461,857,604
S01006548,721,483,238
S01006549,927,617,310
S01006550,1181,766,415
S01006551,1009,580,429
S01006552,1252,707,545
S01006553,1027,645,382
S01006554,942,483,459
S01006555,1019,491,528
S01006556,976,477,499
S01006557,799,379,420
S01006558,843,418,425
S01006559,703,421,282
S01006560,1033,634,399
S01006561,852,484,368
S01006562,978,591,387
S01006563,1023,603,420
S01006564,1190,615,575
S01006565,1206,617,589
S01006566,832,386,446
S01006567,1211,614,597
S01006568,1135,591,544
S01006569,748,418,330
S01006570,899,542,357
S01006571,1237,674,563
S01006572,1371,852,519
S01006573,724,431,293
S01006574,1001,588,413
S01006575,1180,628,552
S01006576,902,512,390
S01006577,904,470,434
S01006578,1744,880,864
S01006579,1367,716,651
S01006580,855,435,420
S01006581,1344,838,506
S01006582,695,386,309
S01006583,1091,522,569
S01006584,919,452,467
S01006585,872,411,461
S01006586,941,475,466
S01006587,658,341,317
S01006588,915,446,469
S01006589,1330,619,711
S01006590,649,350,299
S01006591,880,428,452
S01006592,654,298,356
S01006593,923,442,481
S01006594,794,436,358
S01006595,1031,508,523
S01006596,924,441,483
S01006597,790,346,444
S01006598,1295,736,559
S01006599,1157,641,516
S01006600,1424,796,628
S01006601,1002,544,458
S01006602,1044,620,424
S01006603,1337,699,638
S01006604,920,422,498
S01006605,929,446,483
S01006606,1244,655,589
S01006607,1260,559,701
S01006608,1555,734,821
S01006609,1352,614,738
S01006610,701,295,406
S01006611,1111,508,603
S01006612,997,461,536
S01006613,453,209,244
S01006614,908,399,509
S01006615,402,195,207
S01006616,755,294,461
S01006617,994,485,509
S01006618,514,262,252
S01006619,948,431,517
S01006620,1020,414,606
S01006621,748,349,399
S01006622,669,295,374
S01006623,1410,640,770
S01006624,959,475,484
S01006625,844,371,473
S01006626,866,378,488
S01006627,859,432,427
S01006628,1410,768,642
S01006629,959,470,489
S01006630,852,327,525
S01006631,1102,510,592
S01006632,1045,465,580
S01006633,950,332,618
S01006634,870,323,547
S01006635,1040,483,557
S01006636,1084,410,674
S01006637,753,372,381
S01006638,1111,531,580
S01006639,1006,519,487
S01006640,817,410,407
S01006641,1351,625,726
S01006642,1373,681,692
S01006643,1248,600,648
S01006644,1031,483,548
S01006645,1548,792,756
S01006646,1369,687,682
S01006647,961,456,505
S01006648,2018,990,1028
S01006649,1204,608,596
S01006650,1422,757,665
S01006651,776,432,344
S01006652,826,429,397
S01006653,818,415,403
S01006654,914,444,470
S01006655,724,406,318
S01006656,1095,546,549
S01006657,599,297,302
S01006658,1280,670,610
S01006659,883,484,399
S01006660,833,469,364
S01006661,736,416,320
S01006662,942,502,440
S01006663,1309,671,638
S01006664,511,263,248
S01006665,935,480,455
S01006666,1818,985,833
S01006667,1260,613,647
S01006668,908,447,461
S01006669,1334,736,598
S01006670,929,503,426
S01006671,2611,1380,1231
S01006672,810,370,440
S01006673,973,534,439
S01006674,1048,549,499
S01006675,774,401,373
S01006676,881,450,431
S01006677,723,387,336
S01006678,1273,712,561
S01006679,945,481,464
S01006680,971,580,391
S01006681,1097,531,566
S01006682,956,562,394
S01006683,1283,678,605
S01006684,870,444,426
S01006685,910,411,499
S01006686,952,406,546
S01006687,1000,518,482
S01006688,1041,581,460
S01006689,629,363,266
S01006690,795,427,368
S01006691,918,465,453
S01006692,862,505,357
S01006693,1274,652,622
S01006694,1144,607,537
S01006695,712,364,348
S01006696,1150,541,609
S01006697,1163,574,589
S01006698,936,514,422
S01006699,784,446,338
S01006700,1228,730,498
S01006701,1040,379,661
S01006702,934,410,524
S01006703,773,344,429
S01006704,805,303,502
S01006705,944,371,573
S01006706,809,339,470
S01006707,685,265,420
S01006708,865,440,425
S01006709,1245,512,733
S01006710,1064,501,563
S01006711,1125,539,586
S01006712,631,284,347
S01006713,939,406,533
S01006714,900,378,522
S01006715,1123,334,789
S01006716,606,227,379
S01006717,1068,489,579
S01006718,627,267,360
S01006719,1031,387,644
S01006720,745,296,449
S01006721,942,385,557
S01006722,856,351,505
S01006723,987,420,567
S01006724,1367,513,854
S01006725,960,393,567
S01006726,1391,641,750
S01006727,1370,647,723
S01006728,887,416,471
S01006729,986,434,552
S01006730,778,381,397
S01006731,503,199,304
S01006732,1494,852,642
S01006733,911,528,383
S01006734,1147,710,437
S01006735,929,672,257
S01006736,1318,718,600
S01006737,1059,710,349
S01006738,829,340,489
S01006739,607,270,337
S01006740,1039,570,469
S01006741,754,435,319
S01006742,460,224,236
S01006743,1081,535,546
S01006744,662,266,396
S01006745,1048,523,525
S01006746,846,421,425
S01006747,1141,744,397
S01006748,1163,664,499
S01006749,1351,747,604
S01006750,812,498,314
S01006751,509,281,228
S01006752,810,447,363
S01006753,913,540,373
S01006754,1132,695,437
S01006755,1090,585,505
S01006756,990,487,503
S01006757,1306,690,616
S01006758,694,326,368
S01006759,1334,640,694
S01006760,593,281,312
S01006761,927,508,419
S01006762,939,591,348
S01006763,1100,487,613
S01006764,790,384,406
S01006765,725,338,387
S01006766,608,318,290
S01006767,869,487,382
S01006768,599,320,279
S01006769,1283,662,621
S01006770,655,352,303
S01006771,563,300,263
S01006772,1218,615,603
S01006773,734,405,329
S01006774,861,464,397
S01006775,758,343,415
S01006776,662,375,287
S01006777,918,532,386
S01006778,867,454,413
S01006779,1058,525,533
S01006780,868,460,408
S01006781,972,576,396
S01006782,1016,555,461
S01006783,672,390,282
S01006784,706,392,314
S01006785,785,438,347
S01006786,1087,544,543
S01006787,969,517,452
S01006788,646,324,322
S01006789,942,610,332
S01006790,980,641,339
S01006791,536,337,199
S01006792,696,440,256
S01006793,619,396,223
S01006794,775,469,306
S01006795,777,420,357
S01006796,795,424,371
S01006797,752,431,321
S01006798,738,477,261
S01006799,1053,609,444
S01006800,960,591,369
S01006801,1414,855,559
S01006802,675,403,272
S01006803,766,500,266
S01006804,1274,746,528
S01006805,1346,744,602
S01006806,1095,651,444
S01006807,620,320,300
S01006808,973,562,411
S01006809,975,597,378
S01006810,1010,575,435
S01006811,1090,587,503
S01006812,835,483,352
S01006813,996,579,417
S01006814,1109,657,452
S01006815,753,443,310
S01006816,944,550,394
S01006817,865,531,334
S01006818,719,438,281
S01006819,1266,726,540
S01006820,640,352,288
S01006821,1161,640,521
S01006822,759,477,282
S01006823,885,534,351
S01006824,736,354,382
S01006825,1017,568,449
S01006826,1310,773,537
S01006827,1041,580,461
S01006828,1011,550,461
S01006829,706,382,324
S01006830,634,382,252
S01006831,1231,785,446
S01006832,1029,621,408
S01006833,730,424,306
S01006834,336,177,159
S01006835,1291,808,483
S01006836,514,254,260
S01006837,1004,547,457
S01006838,979,541,438
S01006839,933,500,433
S01006840,1211,703,508
S01006841,1332,736,596
S01006842,996,539,457
S01006843,965,491,474
S01006844,671,314,357
S01006845,1033,518,515
S01006846,890,466,424
S01006847,807,433,374
S01006848,1396,718,678
S01006849,1300,583,717
S01006850,1119,501,618
S01006851,805,415,390
S01006852,595,316,279
S01006853,948,543,405
S01006854,1601,1003,598
S01006855,790,514,276
S01006856,942,549,393
S01006857,1052,653,399
S01006858,642,393,249
S01006859,1439,824,615
S01006860,692,438,254
S01006861,861,508,353
S01006862,933,585,348
S01006863,1291,767,524
S01006864,148,96,52
S01006865,938,581,357
S01006866,636,438,198
S01006867,1210,770,440
S01006868,879,504,375
S01006869,581,328,253
S01006870,630,380,250
S01006871,1006,597,409
S01006872,1639,934,705
S01006873,1250,831,419
S01006874,584,326,258
S01006875,1009,569,440
S01006876,1121,651,470
S01006877,1101,611,490
S01006878,958,615,343
S01006879,1135,703,432
S01006880,787,456,331
S01006881,578,340,238
S01006882,841,530,311
S01006883,646,428,218
S01006884,1050,614,436
S01006885,754,470,284
S01006886,733,423,310
S01006887,905,494,411
S01006888,939,480,459
S01006889,647,298,349
S01006890,1070,614,456
S01006891,645,347,298
S01006892,584,306,278
S01006893,1004,519,485
S01006894,597,390,207
S01006895,474,264,210
S01006896,749,508,241
S01006897,1007,568,439
S01006898,548,330,218
S01006899,510,249,261
S01006900,455,261,194
S01006901,793,449,344
S01006902,693,383,310
S01006903,947,555,392
S01006904,569,301,268
S01006905,1010,693,317
S01006906,948,566,382
S01006907,716,432,284
S01006908,911,556,355
S01006909,428,250,178
S01006910,501,291,210
S01006911,1869,943,926
S01006912,245,132,113
S01006913,2012,1016,996
S01006914,862,511,351
S01006915,848,476,372
S01006916,360,203,157
S01006917,1458,648,810
S01006918,1807,860,947
S01006919,687,403,284
S01006920,816,487,329
S01006921,1086,581,505
S01006922,2000,942,1058
S01006923,1473,848,625
S01006924,758,411,347
S01006925,499,258,241
S01006926,1739,827,912
S01006927,374,190,184
S01006928,2797,1348,1449
S01006929,1797,1044,753
S01006930,677,436,241
S01006931,1948,1016,932
S01006932,838,455,383
S01006933,801,441,360
S01006934,1749,984,765
S01006935,911,548,363
S01006936,698,389,309
S01006937,786,452,334
S01006938,844,546,298
S01006939,615,376,239
S01006940,995,612,383
S01006941,1283,678,605
S01006942,2211,1239,972
S01006943,1763,908,855
S01006944,83,51,32
S01006945,894,539,355
S01006946,1348,626,722
S01006947,1444,727,717
S01006948,1443,709,734
S01006949,765,405,360
S01006950,718,311,407
S01006951,1316,678,638
S01006952,1529,747,782
S01006953,1542,834,708
S01006954,1765,869,896
S01006955,622,267,355
S01006956,1548,771,777
S01006957,1675,847,828
S01006958,1006,615,391
S01006959,856,552,304
S01006960,2275,1137,1138
S01006961,2321,1177,1144
S01006962,871,552,319
S01006963,971,594,377
S01006964,850,430,420
S01006965,501,310,191
S01006966,731,356,375
S01006967,744,411,333
S01006968,1120,697,423
S01006969,1009,614,395
S01006970,614,380,234
S01006971,991,616,375
S01006972,522,314,208
S01006973,594,370,224
S01006974,1389,751,638
S01006975,1168,638,530
S01006976,2534,1280,1254
S01006977,2911,1528,1383
S01006978,855,499,356
S01006979,1437,915,522
S01006980,688,418,270
S01006981,798,438,360
S01006982,1212,652,560
S01006983,1001,555,446
S01006984,976,525,451
S01006985,1345,786,559
S01006986,777,387,390
S01006987,1039,649,390
S01006988,765,403,362
S01006989,855,470,385
S01006990,1009,553,456
S01006991,617,369,248
S01006992,883,498,385
S01006993,740,428,312
S01006994,642,385,257
S01006995,1152,603,549
S01006996,939,483,456
S01006997,786,410,376
S01006998,1206,654,552
S01006999,872,528,344
S01007000,1439,818,621
S01007001,1382,778,604
S01007002,758,393,365
S01007003,616,401,215
S01007004,1043,614,429
S01007005,1041,564,477
S01007006,1003,610,393
S01007007,848,475,373
S01007008,884,562,322
S01007009,1297,802,495
S01007010,880,586,294
S01007011,1124,652,472
S01007012,921,465,456
S01007013,1287,793,494
S01007014,1389,776,613
S01007015,739,437,302
S01007016,592,328,264
S01007017,1047,609,438
S01007018,1204,710,494
S01007019,1061,686,375
S01007020,1373,897,476
S01007021,1369,903,466
S01007022,851,513,338
S01007023,678,442,236
S01007024,1203,728,475
S01007025,1188,756,432
S01007026,1026,675,351
S01007027,1314,787,527
