dz_2011,total,employed,nonemployed
S01007755,570,283,287
S01007756,622,334,288
S01007757,934,554,380
S01007758,702,390,312
S01007759,950,564,386
S01007760,632,371,261
S01007761,639,420,219
S01007762,566,353,213
S01007763,505,269,236
S01007764,694,449,245
S01007765,713,415,298
S01007766,768,462,306
S01007767,743,454,289
S01007768,563,340,223
S01007769,593,330,263
S01007770,555,333,222
S01007771,576,308,268
S01007772,854,500,354
S01007773,581,362,219
S01007774,110,77,33
S01007775,902,611,291
S01007776,425,305,120
S01007777,393,297,96
S01007778,1655,1264,391
S01007779,643,431,212
S01007780,629,457,172
S01007781,648,492,156
S01007782,526,272,254
S01007783,652,239,413
S01007784,754,481,273
S01007785,328,143,185
S01007786,650,356,294
S01007787,578,319,259
S01007788,558,250,308
S01007789,815,456,359
S01007790,1258,836,422
S01007791,840,659,181
S01007792,723,385,338
S01007793,706,310,396
S01007794,831,411,420
S01007795,501,295,206
S01007796,475,222,253
S01007797,463,214,249
S01007798,566,407,159
S01007799,289,209,80
S01007800,716,336,380
S01007801,752,245,507
S01007802,452,338,114
S01007803,975,397,578
S01007804,577,258,319
S01007805,659,337,322
S01007806,639,356,283
S01007807,644,435,209
S01007808,684,387,297
S01007809,906,584,322
S01007810,701,335,366
S01007811,606,344,262
S01007812,578,278,300
S01007813,776,395,381
S01007814,639,350,289
S01007815,876,574,302
S01007816,523,349,174
S01007817,613,321,292
S01007818,714,470,244
S01007819,594,381,213
S01007820,802,425,377
S01007821,562,336,226
S01007822,718,450,268
S01007823,608,399,209
S01007824,827,517,310
S01007825,935,545,390
S01007826,389,199,190
S01007827,539,342,197
S01007828,930,523,407
S01007829,552,291,261
S01007830,804,385,419
S01007831,778,363,415
S01007832,720,362,358
S01007833,654,266,388
S01007834,568,303,265
S01007835,564,353,211
S01007836,543,323,220
S01007837,946,540,406
S01007838,679,385,294
S01007839,877,460,417
S01007840,657,391,266
S01007841,693,406,287
S01007842,860,431,429
S01007843,713,364,349
S01007844,987,582,405
S01007845,679,362,317
S01007846,587,328,259
S01007847,1058,583,475
S01007848,762,367,395
S01007849,747,433,314
S01007850,542,283,259
S01007851,701,366,335
S01007852,913,464,449
S01007853,578,243,335
S01007854,905,414,491
S01007855,508,266,242
S01007856,737,409,328
S01007857,430,218,212
S01007858,1507,824,683
S01007859,1079,594,485
S01007860,799,453,346
S01007861,779,415,364
S01007862,811,418,393
S01007863,641,297,344
S01007864,683,373,310
S01007865,1041,747,294
S01007866,441,358,83
S01007867,989,727,262
S01007868,1555,1059,496
S01007869,1583,1104,479
S01007870,506,326,180
S01007871,823,392,431
S01007872,593,237,356
S01007873,579,345,234
S01007874,684,368,316
S01007875,575,376,199
S01007876,732,460,272
S01007877,685,375,310
S01007878,521,268,253
S01007879,870,420,450
S01007880,378,233,145
S01007881,486,267,219
S01007882,1241,870,371
S01007883,924,618,306
S01007884,718,435,283
S01007885,805,376,429
S01007886,906,528,378
S01007887,523,337,186
S01007888,794,414,380
S01007889,814,430,384
S01007890,534,309,225
S01007891,984,647,337
S01007892,868,557,311
S01007893,988,623,365
S01007894,795,492,303
S01007895,561,311,250
S01007896,805,443,362
S01007897,1208,821,387
S01007898,583,365,218
S01007899,399,265,134
S01007900,408,210,198
S01007901,598,325,273
S01007902,769,368,401
S01007903,606,301,305
S01007904,656,388,268
S01007905,619,304,315
S01007906,596,281,315
S01007907,599,296,303
S01007908,990,541,449
S01007909,524,330,194
S01007910,810,447,363
S01007911,831,472,359
S01007912,685,387,298
S01007913,798,430,368
S01007914,569,281,288
S01007915,726,409,317
S01007916,738,400,338
S01007917,965,504,461
S01007918,784,421,363
S01007919,721,452,269
S01007920,463,310,153
S01007921,860,450,410
S01007922,1012,495,517
S01007923,940,638,302
S01007924,865,431,434
S01007925,521,351,170
S01007926,692,466,226
S01007927,494,348,146
S01007928,882,564,318
S01007929,1193,826,367
S01007930,541,385,156
S01007931,994,612,382
S01007932,650,373,277
S01007933,998,629,369
S01007934,500,305,195
S01007935,928,603,325
S01007936,899,638,261
S01007937,1165,802,363
S01007938,655,363,292
S01007939,720,392,328
S01007940,1272,784,488
S01007941,513,342,171
S01007942,347,233,114
S01007943,730,423,307
S01007944,780,456,324
S01007945,890,486,404
S01007946,800,448,352
S01007947,807,453,354
S01007948,567,259,308
S01007949,758,439,319
S01007950,887,566,321
S01007951,745,442,303
S01007952,648,365,283
S01007953,775,465,310
S01007954,553,271,282
S01007955,1371,602,769
S01007956,718,406,312
S01007957,939,546,393
S01007958,748,397,351
S01007959,1614,799,815
S01007960,474,266,208
S01007961,1415,671,744
S01007962,755,392,363
S01007963,791,324,467
S01007964,641,316,325
S01007965,572,298,274
S01007966,740,362,378
S01007967,586,313,273
S01007968,723,421,302
S01007969,590,352,238
S01007970,755,456,299
S01007971,739,422,317
S01007972,815,507,308
S01007973,718,477,241
S01007974,715,371,344
S01007975,470,269,201
S01007976,853,501,352
S01007977,518,365,153
S01007978,647,423,224
S01007979,700,455,245
S01007980,609,372,237
S01007981,563,320,243
S01007982,520,278,242
S01007983,1029,527,502
S01007984,668,357,311
S01007985,698,337,361
S01007986,510,294,216
S01007987,799,485,314
S01007988,702,356,346
S01007989,532,313,219
S01007990,920,613,307
S01007991,751,576,175
S01007992,779,593,186
S01007993,746,493,253
S01007994,449,354,95
S01007995,578,395,183
S01007996,266,156,110
S01007997,515,320,195
S01007998,456,277,179
S01007999,584,351,233
S01008000,627,339,288
S01008001,652,302,350
S01008002,774,372,402
S01008003,516,298,218
S01008004,84,43,41
S01008005,76,44,32
S01008006,588,260,328
S01008007,431,222,209
S01008008,545,303,242
S01008009,764,382,382
S01008010,1015,506,509
S01008011,640,331,309
S01008012,796,493,303
S01008013,580,378,202
S01008014,636,413,223
S01008015,638,352,286
S01008016,587,343,244
S01008017,638,377,261
S01008018,716,428,288
S01008019,736,440,296
S01008020,716,483,233
S01008021,534,331,203
S01008022,631,399,232
S01008023,1246,947,299
S01008024,666,544,122
S01008025,736,485,251
S01008026,990,593,397
S01008027,622,365,257
S01008028,439,306,133
S01008029,2710,2045,665
S01008030,1646,1148,498
S01008031,1188,789,399
S01008032,977,608,369
S01008033,878,581,297
S01008034,871,618,253
S01008035,801,506,295
S01008036,515,316,199
S01008037,1082,664,418
S01008038,702,451,251
S01008039,770,463,307
S01008040,520,308,212
S01008041,741,440,301
S01008042,577,356,221
S01008043,921,609,312
S01008044,845,535,310
S01008045,917,565,352
S01008046,759,392,367
S01008047,489,288,201
S01008048,490,257,233
S01008049,690,402,288
S01008050,478,266,212
S01008051,872,580,292
S01008052,602,415,187
S01008053,658,389,269
S01008054,528,321,207
S01008055,748,463,285
S01008056,825,497,328
S01008057,929,581,348
S01008058,695,453,242
S01008059,527,325,202
S01008060,1319,850,469
S01008061,637,452,185
S01008062,727,468,259
S01008063,606,388,218
S01008064,746,445,301
S01008065,884,559,325
S01008066,712,429,283
S01008067,515,329,186
S01008068,927,590,337
S01008069,899,586,313
S01008070,868,574,294
S01008071,727,498,229
S01008072,967,598,369
S01008073,345,219,126
S01008074,719,465,254
S01008075,401,215,186
S01008076,681,389,292
S01008077,685,405,280
S01008078,595,352,243
S01008079,648,375,273
S01008080,577,372,205
S01008081,527,322,205
S01008082,754,462,292
S01008083,628,370,258
S01008084,786,483,303
S01008085,1007,653,354
S01008086,953,656,297
S01008087,796,483,313
S01008088,682,399,283
S01008089,743,423,320
S01008090,541,354,187
S01008091,386,248,138
S01008092,757,418,339
S01008093,613,369,244
S01008094,515,309,206
S01008095,811,467,344
S01008096,554,317,237
S01008097,604,360,244
S01008098,539,357,182
S01008099,408,258,150
S01008100,731,418,313
S01008101,937,629,308
S01008102,607,362,245
S01008103,497,309,188
S01008104,771,474,297
S01008105,895,518,377
S01008106,1202,754,448
S01008107,932,676,256
S01008108,752,503,249
S01008109,726,457,269
S01008110,701,471,230
S01008111,638,403,235
S01008112,713,411,302
S01008113,767,462,305
S01008114,671,409,262
S01008115,734,486,248
S01008116,831,515,316
S01008117,582,345,237
S01008118,940,592,348
S01008119,579,320,259
S01008120,481,294,187
S01008121,475,290,185
S01008122,783,470,313
S01008123,781,480,301
S01008124,766,493,273
S01008125,864,542,322
S01008126,737,502,235
S01008127,367,243,124
S01008128,845,497,348
S01008129,751,457,294
S01008130,882,525,357
S01008131,596,337,259
S01008132,783,484,299
S01008133,571,312,259
S01008134,530,342,188
S01008135,1191,758,433
S01008136,1144,738,406
S01008137,997,537,460
S01008138,753,382,371
S01008139,804,418,386
S01008140,499,285,214
S01008141,884,557,327
S01008142,766,514,252
S01008143,866,488,378
S01008144,801,518,283
S01008145,765,462,303
S01008146,493,246,247
S01008147,710,449,261
S01008148,752,493,259
S01008149,710,426,284
S01008150,1028,599,429
S01008151,751,448,303
S01008152,899,503,396
S01008153,667,436,231
S01008154,800,453,347
S01008155,666,411,255
S01008156,802,481,321
S01008157,803,519,284
S01008158,838,611,227
S01008159,878,448,430
S01008160,967,599,368
S01008161,1078,821,257
S01008162,950,621,329
S01008163,636,381,255
S01008164,1292,332,960
S01008165,613,476,137
S01008166,947,674,273
S01008167,1134,777,357
S01008168,789,487,302
S01008169,1076,791,285
S01008170,1332,398,934
S01008171,657,405,252
S01008172,414,257,157
S01008173,584,409,175
S01008174,412,296,116
S01008175,579,402,177
S01008176,1108,804,304
S01008177,617,372,245
S01008178,512,289,223
S01008179,294,210,84
S01008180,374,275,99
S01008181,515,317,198
S01008182,1012,669,343
S01008183,739,468,271
S01008184,674,420,254
S01008185,937,606,331
S01008186,793,429,364
S01008187,519,330,189
S01008188,1074,646,428
S01008189,802,497,305
S01008190,753,453,300
S01008191,1063,738,325
S01008192,827,548,279
S01008193,676,449,227
S01008194,483,307,176
S01008195,843,518,325
S01008196,636,399,237
S01008197,1429,1117,312
S01008198,514,311,203
S01008199,581,325,256
S01008200,610,323,287
S01008201,977,556,421
S01008202,592,363,229
S01008203,424,233,191
S01008204,2021,1403,618
S01008205,577,365,212
S01008206,1173,773,400
S01008207,589,366,223
S01008208,748,546,202
S01008209,492,360,132
S01008210,1070,726,344
S01008211,743,478,265
S01008212,527,400,127
S01008213,735,507,228
S01008214,601,341,260
S01008215,824,537,287
S01008216,607,426,181
S01008217,525,370,155
S01008218,1615,1255,360
S01008219,929,610,319
S01008220,440,256,184
S01008221,578,319,259
S01008222,487,274,213
S01008223,434,241,193
S01008224,731,533,198
S01008225,611,395,216
S01008226,521,312,209
S01008227,747,437,310
S01008228,602,418,184
S01008229,918,596,322
S01008230,604,470,134
S01008231,414,299,115
S01008232,203,137,66
S01008233,1246,996,250
S01008234,1511,1131,380
S01008235,669,443,226
S01008236,748,488,260
S01008237,690,438,252
S01008238,769,482,287
S01008239,570,403,167
S01008240,1071,670,401
S01008241,806,500,306
S01008242,876,530,346
S01008243,795,549,246
S01008244,729,472,257
S01008245,834,569,265
S01008246,929,651,278
S01008247,758,528,230
S01008248,960,600,360
S01008249,674,441,233
S01008250,836,559,277
S01008251,743,521,222
S01008252,818,505,313
S01008253,606,378,228
S01008254,919,558,361
S01008255,743,482,261
S01008256,764,487,277
S01008257,562,352,210
S01008258,986,696,290
S01008259,1044,716,328
S01008260,792,513,279
S01008261,884,584,300
S01008262,699,477,222
S01008263,557,372,185
S01008264,640,436,204
S01008265,453,269,184
S01008266,727,462,265
S01008267,606,401,205
S01008268,595,359,236
S01008269,692,370,322
S01008270,755,425,330
S01008271,558,336,222
S01008272,737,462,275
S01008273,725,432,293
S01008274,669,381,288
S01008275,486,308,178
S01008276,496,330,166
S01008277,517,358,159
S01008278,569,362,207
S01008279,522,322,200
S01008280,933,610,323
S01008281,633,448,185
S01008282,591,406,185
S01008283,880,628,252
S01008284,1148,795,353
S01008285,552,310,242
S01008286,1002,647,355
S01008287,642,413,229
S01008288,705,440,265
S01008289,604,406,198
S01008290,734,471,263
S01008291,790,501,289
S01008292,1117,768,349
S01008293,800,574,226
S01008294,506,341,165
S01008295,963,646,317
S01008296,639,389,250
S01008297,448,275,173
S01008298,816,510,306
S01008299,799,397,402
S01008300,717,389,328
S01008301,808,533,275
S01008302,706,455,251
S01008303,592,352,240
S01008304,369,220,149
S01008305,619,401,218
S01008306,510,329,181
S01008307,541,371,170
S01008308,448,268,180
S01008309,682,340,342
S01008310,693,422,271
S01008311,534,318,216
S01008312,562,331,231
S01008313,764,361,403
S01008314,746,414,332
S01008315,567,304,263
S01008316,636,356,280
S01008317,551,339,212
S01008318,1161,786,375
S01008319,437,232,205
S01008320,495,256,239
S01008321,559,378,181
S01008322,1378,884,494
S01008323,635,324,311
S01008324,469,269,200
S01008325,875,534,341
S01008326,827,436,391
S01008327,796,464,332
S01008328,641,464,177
S01008329,794,525,269
S01008330,818,515,303
S01008331,585,418,167
S01008332,764,468,296
S01008333,772,438,334
S01008334,707,419,288
S01008335,669,365,304
S01008336,707,394,313
S01008337,620,448,172
S01008338,576,426,150
S01008339,486,357,129
S01008340,702,499,203
S01008341,481,345,136
S01008342,866,517,349
S01008343,768,451,317
S01008344,631,388,243
S01008345,932,514,418
S01008346,744,461,283
S01008347,798,473,325
S01008348,699,383,316
S01008349,973,610,363
S01008350,535,299,236
S01008351,744,469,275
S01008352,618,373,245
S01008353,351,207,144
S01008354,736,525,211
S01008355,786,458,328
S01008356,646,436,210
S01008357,650,425,225
S01008358,625,367,258
S01008359,543,355,188
S01008360,984,632,352
S01008361,597,378,219
S01008362,816,566,250
S01008363,616,385,231
S01008364,610,357,253
S01008365,713,394,319
S01008366,632,350,282
S01008367,705,416,289
S01008368,660,443,217
S01008369,578,364,214
S01008370,499,316,183
S01008371,648,404,244
S01008372,693,428,265
S01008373,852,566,286
S01008374,618,401,217
S01008375,570,370,200
S01008376,455,297,158
S01008377,655,450,205
S01008378,747,492,255
S01008379,375,206,169
S01008380,484,316,168
S01008381,776,522,254
S01008382,673,428,245
S01008383,451,295,156
S01008384,714,472,242
S01008385,475,295,180
S01008386,723,466,257
S01008387,635,439,196
S01008388,475,353,122
S01008389,452,247,205
S01008390,535,343,192
S01008391,492,289,203
S01008392,663,444,219
S01008393,584,361,223
S01008394,751,510,241
S01008395,598,413,185
S01008396,549,333,216
S01008397,752,463,289
S01008398,629,390,239
S01008399,443,243,200
S01008400,768,475,293
S01008401,865,529,336
S01008402,774,466,308
S01008403,651,372,279
S01008404,702,449,253
S01008405,593,392,201
S01008406,749,434,315
S01008407,355,203,152
S01008408,575,389,186
S01008409,769,472,297
S01008410,578,321,257
S01008411,843,527,316
S01008412,509,290,219
S01008413,509,328,181
S01008414,465,293,172
S01008415,786,519,267
S01008416,872,502,370
S01008417,548,336,212
S01008418,536,362,174
S01008419,349,237,112
S01008420,429,286,143
S01008421,620,415,205
S01008422,663,428,235
S01008423,750,467,283
S01008424,786,441,345
S01008425,2281,485,1796
S01008426,829,499,330
S01008427,975,691,284
S01008428,587,363,224
S01008429,661,407,254
S01008430,798,482,316
S01008431,768,474,294
S01008432,791,466,325
S01008433,645,432,213
S01008434,812,528,284
S01008435,867,494,373
S01008436,750,454,296
S01008437,574,380,194
S01008438,439,307,132
S01008439,783,514,269
S01008440,806,513,293
S01008441,743,514,229
S01008442,580,426,154
S01008443,422,244,178
S01008444,547,364,183
S01008445,646,375,271
S01008446,1073,562,511
S01008447,503,331,172
S01008448,666,414,252
S01008449,698,368,330
S01008450,384,211,173
S01008451,738,395,343
S01008452,698,358,340
S01008453,690,392,298
S01008454,974,502,472
S01008455,972,438,534
S01008456,958,429,529
S01008457,788,402,386
S01008458,746,446,300
S01008459,645,309,336
S01008460,876,411,465
S01008461,778,377,401
S01008462,554,236,318
S01008463,730,379,351
S01008464,690,443,247
S01008465,722,480,242
S01008466,625,368,257
S01008467,673,416,257
S01008468,719,387,332
S01008469,621,376,245
S01008470,744,381,363
S01008471,607,334,273
S01008472,563,309,254
S01008473,520,292,228
S01008474,625,344,281
S01008475,790,466,324
S01008476,580,337,243
S01008477,880,525,355
S01008478,712,385,327
S01008479,811,411,400
S01008480,376,198,178
S01008481,1351,452,899
S01008482,1264,424,840
S01008483,641,370,271
S01008484,703,448,255
S01008485,885,545,340
S01008486,656,369,287
S01008487,810,587,223
S01008488,1047,671,376
S01008489,682,398,284
S01008490,955,638,317
S01008491,805,464,341
S01008492,806,536,270
S01008493,684,391,293
S01008494,671,393,278
S01008495,996,640,356
S01008496,1099,727,372
S01008497,874,614,260
S01008498,709,454,255
S01008499,1030,606,424
S01008500,344,223,121
S01008501,754,462,292
S01008502,609,414,195
S01008503,852,640,212
S01008504,1416,970,446
S01008505,811,588,223
S01008506,792,532,260
S01008507,780,470,310
S01008508,793,517,276
S01008509,908,611,297
S01008510,671,431,240
S01008511,697,432,265
S01008512,831,542,289
S01008513,759,368,391
S01008514,471,308,163
S01008515,660,471,189
S01008516,1241,698,543
S01008517,831,493,338
S01008518,896,595,301
S01008519,753,501,252
S01008520,949,581,368
S01008521,640,411,229
S01008522,443,275,168
S01008523,861,566,295
S01008524,861,476,385
S01008525,779,430,349
S01008526,629,405,224
S01008527,545,379,166
S01008528,505,338,167
S01008529,610,404,206
S01008530,756,450,306
S01008531,707,414,293
S01008532,473,279,194
S01008533,360,250,110
S01008534,638,429,209
S01008535,543,350,193
S01008536,498,336,162
S01008537,508,303,205
S01008538,449,262,187
S01008539,790,519,271
S01008540,689,444,245
S01008541,705,478,227
S01008542,871,595,276
S01008543,721,506,215
S01008544,467,341,126
S01008545,747,484,263
S01008546,621,378,243
S01008547,908,660,248
S01008548,784,548,236
S01008549,941,631,310
S01008550,828,560,268
S01008551,771,520,251
S01008552,797,501,296
S01008553,510,275,235
S01008554,738,370,368
S01008555,939,469,470
S01008556,763,389,374
S01008557,664,327,337
S01008558,618,344,274
S01008559,599,340,259
S01008560,614,371,243
S01008561,745,431,314
S01008562,564,287,277
S01008563,834,482,352
S01008564,791,479,312
S01008565,772,414,358
S01008566,831,479,352
S01008567,647,375,272
S01008568,661,444,217
S01008569,571,274,297
S01008570,921,486,435
S01008571,582,312,270
S01008572,747,420,327
S01008573,806,524,282
S01008574,795,537,258
S01008575,651,413,238
S01008576,789,505,284
S01008577,797,493,304
S01008578,672,428,244
S01008579,630,349,281
S01008580,634,391,243
S01008581,755,426,329
S01008582,994,594,400
S01008583,672,374,298
S01008584,952,546,406
S01008585,726,400,326
S01008586,683,359,324
S01008587,718,336,382
S01008588,773,460,313
S01008589,255,166,89
S01008590,511,288,223
S01008591,844,483,361
S01008592,704,322,382
S01008593,608,373,235
S01008594,758,428,330
S01008595,875,411,464
S01008596,773,334,439
S01008597,821,478,343
S01008598,1033,458,575
S01008599,836,444,392
S01008600,2422,390,2032
S01008601,2442,240,2202
S01008602,487,221,266
S01008603,961,370,591
S01008604,979,473,506
S01008605,805,391,414
S01008606,792,501,291
S01008607,428,257,171
S01008608,579,327,252
S01008609,736,435,301
S01008610,921,387,534
S01008611,1286,438,848
S01008612,713,305,408
S01008613,846,409,437
S01008614,840,271,569
S01008615,774,294,480
S01008616,772,252,520
S01008617,861,252,609
S01008618,669,199,470
S01008619,474,196,278
S01008620,756,268,488
S01008621,804,263,541
S01008622,742,307,435
S01008623,911,361,550
S01008624,565,289,276
S01008625,417,254,163
S01008626,850,575,275
S01008627,529,344,185
S01008628,614,364,250
S01008629,774,434,340
S01008630,610,344,266
S01008631,766,492,274
S01008632,1035,601,434
S01008633,856,484,372
S01008634,571,304,267
S01008635,681,398,283
S01008636,735,394,341
S01008637,608,333,275
S01008638,1258,490,768
S01008639,1100,705,395
S01008640,1072,625,447
S01008641,1002,511,491
S01008642,911,527,384
S01008643,817,542,275
S01008644,567,306,261
S01008645,884,512,372
S01008646,1085,697,388
S01008647,655,449,206
S01008648,895,559,336
S01008649,1124,743,381
S01008650,859,582,277
S01008651,1140,528,612
S01008652,703,451,252
S01008653,614,338,276
S01008654,1119,659,460
S01008655,847,498,349
S01008656,1339,593,746
S01008657,973,546,427
S01008658,1640,610,1030
S01008659,1125,536,589
S01008660,1080,491,589
S01008661,1195,501,694
S01008662,1023,330,693
S01008663,928,384,544
S01008664,933,485,448
S01008665,1596,611,985
S01008666,989,339,650
S01008667,1368,460,908
S01008668,1188,363,825
S01008669,635,118,517
S01008670,1074,260,814
S01008671,1120,291,829
S01008672,620,213,407
S01008673,1056,382,674
S01008674,991,317,674
S01008675,791,407,384
S01008676,888,485,403
S01008677,829,405,424
S01008678,1387,273,1114
S01008679,1253,375,878
S01008680,853,254,599
S01008681,961,304,657
S01008682,869,360,509
S01008683,1900,519,1381
S01008684,2705,457,2248
S01008685,779,370,409
S01008686,1055,524,531
S01008687,894,572,322
S01008688,1185,752,433
S01008689,1031,755,276
S01008690,928,628,300
S01008691,1177,861,316
S01008692,996,709,287
S01008693,450,305,145
S01008694,1232,904,328
S01008695,790,543,247
S01008696,515,357,158
S01008697,804,512,292
S01008698,557,346,211
S01008699,796,470,326
S01008700,520,287,233
S01008701,668,342,326
S01008702,646,365,281
S01008703,1026,469,557
S01008704,1208,624,584
S01008705,658,336,322
S01008706,937,465,472
S01008707,872,383,489
S01008708,752,335,417
S01008709,724,343,381
S01008710,697,351,346
S01008711,582,303,279
S01008712,852,342,510
S01008713,438,238,200
S01008714,480,254,226
S01008715,548,301,247
S01008716,469,287,182
S01008717,404,269,135
S01008718,456,290,166
S01008719,874,566,308
S01008720,476,274,202
S01008721,621,477,144
S01008722,749,432,317
S01008723,622,415,207
S01008724,717,470,247
S01008725,559,371,188
S01008726,843,571,272
S01008727,876,556,320
S01008728,436,279,157
S01008729,593,393,200
S01008730,845,586,259
S01008731,397,223,174
S01008732,620,361,259
S01008733,731,537,194
S01008734,580,383,197
S01008735,829,497,332
S01008736,505,301,204
S01008737,561,352,209
S01008738,615,365,250
S01008739,428,273,155
S01008740,532,319,213
S01008741,802,498,304
S01008742,505,321,184
S01008743,837,501,336
S01008744,751,476,275
S01008745,405,279,126
S01008746,819,448,371
S01008747,376,231,145
S01008748,762,467,295
S01008749,868,543,325
S01008750,565,348,217
S01008751,744,441,303
S01008752,722,370,352
S01008753,695,423,272
S01008754,729,450,279
S01008755,808,536,272
S01008756,664,361,303
S01008757,598,257,341
S01008758,749,397,352
S01008759,518,272,246
S01008760,1026,554,472
S01008761,671,423,248
S01008762,427,288,139
S01008763,652,518,134
S01008764,547,386,161
S01008765,967,720,247
S01008766,1074,734,340
S01008767,683,449,234
S01008768,2333,1707,626
S01008769,1949,1457,492
S01008770,1840,1388,452
S01008771,1840,1388,452
S01008772,932,641,291
S01008773,925,647,278
S01008774,769,503,266
S01008775,437,291,146
S01008776,1073,642,431
S01008777,964,514,450
S01008778,907,672,235
S01008779,953,702,251
S01008780,809,573,236
S01008781,961,730,231
S01008782,836,637,199
S01008783,478,379,99
S01008784,682,485,197
S01008785,854,486,368
S01008786,1053,733,320
S01008787,563,335,228
S01008788,771,609,162
S01008789,486,268,218
S01008790,802,493,309
S01008791,847,575,272
S01008792,832,550,282
S01008793,857,515,342
S01008794,735,483,252
S01008795,1095,774,321
S01008796,953,629,324
S01008797,922,613,309
S01008798,860,569,291
S01008799,655,428,227
S01008800,1070,794,276
S01008801,784,554,230
S01008802,1123,743,380
S01008803,957,626,331
S01008804,722,417,305
S01008805,716,413,303
S01008806,1059,740,319
S01008807,883,627,256
S01008808,568,397,171
S01008809,649,381,268
S01008810,872,585,287
S01008811,765,500,265
S01008812,889,529,360
S01008813,838,503,335
S01008814,1077,714,363
S01008815,1100,750,350
S01008816,424,276,148
S01008817,1003,710,293
S01008818,929,690,239
S01008819,861,621,240
S01008820,1258,809,449
S01008821,584,409,175
S01008822,629,434,195
S01008823,660,482,178
S01008824,979,723,256
S01008825,451,344,107
S01008826,536,378,158
S01008827,736,481,255
S01008828,752,529,223
S01008829,727,432,295
S01008830,834,568,266
S01008831,736,466,270
S01008832,535,287,248
S01008833,810,540,270
S01008834,909,607,302
S01008835,753,495,258
S01008836,430,277,153
S01008837,1437,1084,353
S01008838,881,642,239
S01008839,1023,739,284
S01008840,871,604,267
S01008841,1128,812,316
S01008842,118,78,40
S01008843,886,572,314
S01008844,862,602,260
S01008845,778,438,340
S01008846,819,511,308
S01008847,755,462,293
S01008848,819,498,321
S01008849,923,565,358
S01008850,1243,726,517
S01008851,1027,638,389
S01008852,1037,649,388
S01008853,599,414,185
S01008854,907,555,352
S01008855,1032,751,281
S01008856,628,463,165
S01008857,818,606,212
S01008858,912,671,241
S01008859,902,679,223
S01008860,1041,715,326
S01008861,755,526,229
S01008862,948,709,239
S01008863,650,509,141
S01008864,1045,605,440
S01008865,799,585,214
S01008866,869,703,166
S01008867,773,570,203
S01008868,1014,671,343
S01008869,924,647,277
S01008870,964,706,258
S01008871,1140,728,412
S01008872,896,539,357
S01008873,611,436,175
S01008874,698,470,228
S01008875,852,600,252
S01008876,525,352,173
S01008877,579,399,180
S01008878,835,536,299
S01008879,611,418,193
S01008880,520,357,163
S01008881,438,256,182
S01008882,858,532,326
S01008883,735,445,290
S01008884,551,316,235
S01008885,650,429,221
S01008886,868,552,316
S01008887,546,364,182
S01008888,1081,617,464
S01008889,672,487,185
S01008890,581,389,192
S01008891,532,351,181
S01008892,844,541,303
S01008893,761,510,251
S01008894,709,443,266
S01008895,515,336,179
S01008896,667,432,235
S01008897,612,394,218
S01008898,719,432,287
S01008899,590,322,268
S01008900,713,450,263
S01008901,836,522,314
S01008902,828,499,329
S01008903,783,467,316
S01008904,865,474,391
S01008905,948,464,484
S01008906,723,357,366
S01008907,708,313,395
S01008908,820,443,377
S01008909,843,524,319
S01008910,1411,1064,347
S01008911,1117,890,227
S01008912,660,463,197
S01008913,369,235,134
S01008914,799,519,280
S01008915,501,332,169
S01008916,923,464,459
S01008917,532,267,265
S01008918,586,270,316
S01008919,482,200,282
S01008920,1235,885,350
S01008921,1057,544,513
S01008922,899,516,383
S01008923,1009,606,403
S01008924,1741,1112,629
S01008925,587,382,205
S01008926,1278,876,402
S01008927,947,687,260
S01008928,638,366,272
S01008929,1054,426,628
S01008930,779,388,391
S01008931,547,294,253
S01008932,875,597,278
S01008933,664,365,299
S01008934,605,342,263
S01008935,748,473,275
S01008936,448,282,166
S01008937,599,377,222
S01008938,680,449,231
S01008939,548,332,216
S01008940,520,313,207
S01008941,629,410,219
S01008942,859,536,323
S01008943,592,324,268
S01008944,686,390,296
S01008945,788,550,238
S01008946,636,369,267
S01008947,754,467,287
S01008948,704,442,262
S01008949,975,621,354
S01008950,743,477,266
S01008951,775,465,310
S01008952,1081,674,407
S01008953,783,482,301
S01008954,647,383,264
S01008955,652,456,196
S01008956,964,648,316
S01008957,837,525,312
S01008958,594,386,208
S01008959,782,529,253
S01008960,739,564,175
S01008961,748,484,264
S01008962,481,326,155
S01008963,707,457,250
S01008964,504,332,172
S01008965,516,310,206
S01008966,620,411,209
S01008967,779,506,273
S01008968,805,536,269
S01008969,766,516,250
S01008970,842,588,254
S01008971,522,361,161
S01008972,1035,690,345
S01008973,585,387,198
S01008974,629,405,224
S01008975,581,341,240
S01008976,541,340,201
S01008977,615,405,210
S01008978,537,364,173
S01008979,633,447,186
S01008980,592,411,181
S01008981,550,351,199
S01008982,696,468,228
S01008983,673,495,178
S01008984,366,249,117
S01008985,594,425,169
S01008986,645,447,198
S01008987,729,471,258
S01008988,725,453,272
S01008989,819,602,217
S01008990,983,762,221
S01008991,967,728,239
S01008992,336,208,128
S01008993,968,674,294
S01008994,782,524,258
S01008995,851,604,247
S01008996,533,345,188
S01008997,814,597,217
S01008998,863,573,290
S01008999,706,401,305
S01009000,848,550,298
S01009001,604,397,207
S01009002,664,462,202
S01009003,770,547,223
S01009004,639,451,188
S01009005,761,521,240
S01009006,960,553,407
S01009007,630,397,233
S01009008,681,436,245
S01009009,327,200,127
S01009010,1083,797,286
