dz_2011,total,good,not_good
S01006506,765,720,45
S01006507,1092,1035,57
S01006508,858,817,41
S01006509,715,658,57
S01006510,735,675,60
S01006511,1019,927,92
S01006512,407,391,16
S01006513,1006,967,39
S01006514,1117,1068,49
S01006515,1168,1123,45
S01006516,903,865,38
S01006517,1049,1017,32
S01006518,1049,1010,39
S01006519,874,840,34
S01006520,897,884,13
S01006521,577,539,38
S01006522,560,540,20
S01006523,1409,1325,84
S01006524,1299,1213,86
S01006525,1305,1245,60
S01006526,1529,1371,158
S01006527,1388,1246,142
S01006528,1125,1022,103
S01006529,1028,920,108
S01006530,1179,1032,147
S01006531,1278,1121,157
S01006532,806,741,65
S01006533,830,799,31
S01006534,983,930,53
S01006535,1063,1009,54
S01006536,1246,1180,66
S01006537,852,817,35
S01006538,686,645,41
S01006539,1008,920,88
S01006540,1259,1173,86
S01006541,990,916,74
S01006542,963,912,51
S01006543,1012,948,64
S01006544,1140,1093,47
S01006545,1112,1029,83
S01006546,1175,1126,49
S01006547,1409,1274,135
S01006548,770,743,27
S01006549,828,789,39
S01006550,1263,1196,67
S01006551,921,826,95
S01006552,1348,1139,209
S01006553,1022,923,99
S01006554,937,831,106
S01006555,1089,830,259
S01006556,1032,901,131
S01006557,862,765,97
S01006558,880,835,45
S01006559,639,601,38
S01006560,1056,999,57
S01006561,891,863,28
S01006562,1044,950,94
S01006563,1138,1064,74
S01006564,1172,1067,105
S01006565,1201,1093,108
S01006566,851,811,40
S01006567,1149,1040,109
S01006568,1104,1043,61
S01006569,749,701,48
S01006570,875,832,43
S01006571,1168,1126,42
S01006572,1364,1291,73
S01006573,706,686,20
S01006574,967,918,49
S01006575,1145,1103,42
S01006576,871,833,38
S01006577,925,892,33
S01006578,1514,1422,92
S01006579,1299,1248,51
S01006580,806,762,44
S01006581,1233,1170,63
S01006582,591,551,40
S01006583,964,929,35
S01006584,872,852,20
S01006585,809,712,97
S01006586,803,735,68
S01006587,502,445,57
S01006588,650,627,23
S01006589,1065,966,99
S01006590,617,568,49
S01006591,544,523,21
S01006592,434,418,16
S01006593,589,541,48
S01006594,761,718,43
S01006595,740,702,38
S01006596,964,892,72
S01006597,822,784,38
S01006598,1074,1028,46
S01006599,1087,958,129
S01006600,1326,1226,100
S01006601,953,892,61
S01006602,982,913,69
S01006603,1377,1241,136
S01006604,938,851,87
S01006605,868,747,121
S01006606,1380,1241,139
S01006607,1302,1172,130
S01006608,871,815,56
S01006609,1343,1195,148
S01006610,752,641,111
S01006611,1183,1054,129
S01006612,995,914,81
S01006613,474,459,15
S01006614,929,910,19
S01006615,445,431,14
S01006616,811,782,29
S01006617,1022,960,62
S01006618,568,543,25
S01006619,995,933,62
S01006620,1146,1086,60
S01006621,838,778,60
S01006622,655,636,19
S01006623,1500,1338,162
S01006624,800,712,88
S01006625,858,766,92
S01006626,839,718,121
S01006627,674,600,74
S01006628,1110,1019,91
S01006629,925,803,122
S01006630,867,732,135
S01006631,1155,1010,145
S01006632,960,838,122
S01006633,967,845,122
S01006634,804,708,96
S01006635,1001,863,138
S01006636,980,852,128
S01006637,606,553,53
S01006638,1061,906,155
S01006639,944,795,149
S01006640,201,182,19
S01006641,962,804,158
S01006642,822,760,62
S01006643,1056,971,85
S01006644,590,525,65
S01006645,1185,1034,151
S01006646,1040,980,60
S01006647,688,600,88
S01006648,1691,1579,112
S01006649,696,623,73
S01006650,914,833,81
S01006651,725,655,70
S01006652,678,616,62
S01006653,714,678,36
S01006654,861,730,131
S01006655,581,390,191
S01006656,906,841,65
S01006657,595,562,33
S01006658,1186,1095,91
S01006659,895,846,49
S01006660,639,575,64
S01006661,726,677,49
S01006662,685,611,74
S01006663,1263,1215,48
S01006664,421,398,23
S01006665,799,745,54
S01006666,1388,1143,245
S01006667,1059,846,213
S01006668,833,770,63
S01006669,1193,1013,180
S01006670,471,378,93
S01006671,1338,1265,73
S01006672,767,678,89
S01006673,960,881,79
S01006674,930,799,131
S01006675,520,455,65
S01006676,798,644,154
S01006677,697,598,99
S01006678,1092,962,130
S01006679,884,796,88
S01006680,801,690,111
S01006681,1134,922,212
S01006682,812,703,109
S01006683,1164,1046,118
S01006684,727,622,105
S01006685,854,712,142
S01006686,931,794,137
S01006687,987,870,117
S01006688,1064,926,138
S01006689,481,461,20
S01006690,772,699,73
S01006691,873,807,66
S01006692,918,836,82
S01006693,1157,1044,113
S01006694,1219,1043,176
S01006695,761,660,101
S01006696,1127,991,136
S01006697,1122,1016,106
S01006698,938,798,140
S01006699,820,751,69
S01006700,1319,1184,135
S01006701,1102,977,125
S01006702,996,875,121
S01006703,804,703,101
S01006704,896,789,107
S01006705,1004,891,113
S01006706,854,755,99
S01006707,772,691,81
S01006708,892,751,141
S01006709,1107,958,149
S01006710,1164,1048,116
S01006711,1146,992,154
S01006712,664,580,84
S01006713,997,889,108
S01006714,934,824,110
S01006715,1104,1001,103
S01006716,654,601,53
S01006717,1062,940,122
S01006718,713,640,73
S01006719,1015,892,123
S01006720,786,711,75
S01006721,1005,899,106
S01006722,852,766,86
S01006723,1025,916,109
S01006724,1319,1122,197
S01006725,1038,908,130
S01006726,987,878,109
S01006727,1187,976,211
S01006728,944,859,85
S01006729,863,757,106
S01006730,779,696,83
S01006731,557,493,64
S01006732,1047,989,58
S01006733,945,926,19
S01006734,1136,1102,34
S01006735,952,920,32
S01006736,920,902,18
S01006737,822,790,32
S01006738,660,620,40
S01006739,525,487,38
S01006740,1072,963,109
S01006741,812,724,88
S01006742,507,462,45
S01006743,968,879,89
S01006744,661,600,61
S01006745,1061,936,125
S01006746,768,707,61
S01006747,1207,1145,62
S01006748,1064,993,71
S01006749,1398,1273,125
S01006750,792,711,81
S01006751,486,443,43
S01006752,893,800,93
S01006753,946,875,71
S01006754,1233,1167,66
S01006755,817,780,37
S01006756,269,243,26
S01006757,1436,1362,74
S01006758,710,683,27
S01006759,646,611,35
S01006760,628,600,28
S01006761,1017,961,56
S01006762,1058,970,88
S01006763,1176,1154,22
S01006764,867,844,23
S01006765,781,749,32
S01006766,666,653,13
S01006767,939,843,96
S01006768,746,728,18
S01006769,1345,1269,76
S01006770,767,740,27
S01006771,570,549,21
S01006772,1452,1394,58
S01006773,736,713,23
S01006774,894,879,15
S01006775,805,736,69
S01006776,735,632,103
S01006777,1080,1044,36
S01006778,955,889,66
S01006779,1099,999,100
S01006780,899,826,73
S01006781,1030,969,61
S01006782,985,937,48
S01006783,680,633,47
S01006784,726,689,37
S01006785,714,686,28
S01006786,1124,1077,47
S01006787,1121,1059,62
S01006788,694,663,31
S01006789,973,891,82
S01006790,898,843,55
S01006791,514,489,25
S01006792,689,617,72
S01006793,639,601,38
S01006794,841,787,54
S01006795,703,675,28
S01006796,379,350,29
S01006797,673,651,22
S01006798,691,660,31
S01006799,960,879,81
S01006800,899,860,39
S01006801,739,662,77
S01006802,679,638,41
S01006803,751,703,48
S01006804,731,695,36
S01006805,1072,1009,63
S01006806,1015,956,59
S01006807,524,502,22
S01006808,890,830,60
S01006809,960,903,57
S01006810,1017,923,94
S01006811,881,837,44
S01006812,751,716,35
S01006813,864,806,58
S01006814,958,930,28
S01006815,612,556,56
S01006816,931,891,40
S01006817,710,672,38
S01006818,672,646,26
S01006819,819,788,31
S01006820,561,541,20
S01006821,938,890,48
S01006822,774,748,26
S01006823,881,813,68
S01006824,690,639,51
S01006825,1098,1053,45
S01006826,1229,1166,63
S01006827,994,929,65
S01006828,973,923,50
S01006829,257,245,12
S01006830,640,612,28
S01006831,1355,1293,62
S01006832,980,930,50
S01006833,724,703,21
S01006834,255,249,6
S01006835,1198,1094,104
S01006836,51,46,5
S01006837,488,466,22
S01006838,1067,1008,59
S01006839,922,875,47
S01006840,1184,1149,35
S01006841,1438,1377,61
S01006842,1101,1044,57
S01006843,1017,971,46
S01006844,722,682,40
S01006845,1016,980,36
S01006846,887,823,64
S01006847,832,790,42
S01006848,848,806,42
S01006849,400,365,35
S01006850,1213,1155,58
S01006851,763,707,56
S01006852,581,560,21
S01006853,841,808,33
S01006854,1352,1294,58
S01006855,746,724,22
S01006856,881,842,39
S01006857,971,925,46
S01006858,611,594,17
S01006859,1049,1028,21
S01006860,692,628,64
S01006861,243,229,14
S01006862,962,907,55
S01006863,618,578,40
S01006864,145,130,15
S01006865,947,895,52
S01006866,668,644,24
S01006867,1132,1046,86
S01006868,888,839,49
S01006869,576,525,51
S01006870,547,522,25
S01006871,986,926,60
S01006872,961,905,56
S01006873,1137,1034,103
S01006874,644,585,59
