dz_2011,total,pensioner,nonpensioner
S01007768,406,127,279
S01007769,363,127,236
S01007770,371,150,221
S01007771,367,147,220
S01007772,636,199,437
S01007773,314,84,230
S01007774,51,2,49
S01007775,511,92,419
S01007776,215,27,188
S01007777,201,24,177
S01007778,725,27,698
S01007779,342,58,284
S01007780,331,32,299
S01007781,342,31,311
S01007782,339,34,305
S01007783,440,104,336
S01007784,415,20,395
S01007785,229,46,183
S01007786,385,81,304
S01007787,326,53,273
S01007788,323,25,298
S01007789,430,36,394
S01007790,663,38,625
S01007791,401,29,372
S01007792,424,76,348
S01007793,501,140,361
S01007794,485,114,371
S01007795,291,39,252
S01007796,326,62,264
S01007797,302,55,247
S01007798,270,20,250
S01007799,142,12,130
S01007800,401,55,346
S01007801,388,69,319
S01007802,240,14,226
S01007803,677,134,543
S01007804,364,55,309
S01007805,382,28,354
S01007806,407,71,336
S01007807,334,47,287
S01007808,343,30,313
S01007809,551,189,362
S01007810,417,108,309
S01007811,325,43,282
S01007812,328,22,306
S01007813,436,64,372
S01007814,376,106,270
S01007815,450,112,338
S01007816,273,54,219
S01007817,377,104,273
S01007818,403,91,312
S01007819,353,108,245
S01007820,450,135,315
S01007821,397,149,248
S01007822,463,151,312
S01007823,349,100,249
S01007824,539,184,355
S01007825,630,218,412
S01007826,260,68,192
S01007827,336,30,306
S01007828,724,171,553
S01007829,420,172,248
S01007830,632,211,421
S01007831,605,146,459
S01007832,515,142,373
S01007833,605,317,288
S01007834,416,73,343
S01007835,368,114,254
S01007836,382,128,254
S01007837,553,139,414
S01007838,480,193,287
S01007839,527,187,340
S01007840,495,121,374
S01007841,447,92,355
S01007842,612,92,520
S01007843,503,90,413
S01007844,652,88,564
S01007845,477,97,380
S01007846,381,76,305
S01007847,705,149,556
S01007848,568,91,477
S01007849,484,77,407
S01007850,293,65,228
S01007851,548,223,325
S01007852,624,133,491
S01007853,485,141,344
S01007854,649,131,518
S01007855,401,75,326
S01007856,438,109,329
S01007857,286,54,232
S01007858,987,224,763
S01007859,660,123,537
S01007860,483,72,411
S01007861,432,86,346
S01007862,491,86,405
S01007863,441,62,379
S01007864,486,127,359
S01007865,523,49,474
S01007866,209,8,201
S01007867,494,31,463
S01007868,786,96,690
S01007869,808,88,720
S01007870,253,40,213
S01007871,463,84,379
S01007872,363,55,308
S01007873,328,83,245
S01007874,432,124,308
S01007875,339,64,275
S01007876,420,76,344
S01007877,398,98,300
S01007878,316,60,256
S01007879,505,88,417
S01007880,211,37,174
S01007881,278,54,224
S01007882,609,83,526
S01007883,527,104,423
S01007884,417,95,322
S01007885,462,106,356
S01007886,572,136,436
S01007887,300,74,226
S01007888,451,68,383
S01007889,510,139,371
S01007890,286,56,230
S01007891,550,120,430
S01007892,512,138,374
S01007893,543,119,424
S01007894,448,105,343
S01007895,350,117,233
S01007896,474,109,365
S01007897,623,92,531
S01007898,295,52,243
S01007899,213,45,168
S01007900,232,63,169
S01007901,350,92,258
S01007902,430,86,344
S01007903,383,108,275
S01007904,312,63,249
S01007905,340,48,292
S01007906,418,136,282
S01007907,385,143,242
S01007908,579,169,410
S01007909,286,44,242
S01007910,463,73,390
S01007911,483,109,374
S01007912,389,93,296
S01007913,549,146,403
S01007914,324,65,259
S01007915,410,80,330
S01007916,511,185,326
S01007917,563,107,456
S01007918,500,134,366
S01007919,383,80,303
S01007920,245,49,196
S01007921,520,118,402
S01007922,588,122,466
S01007923,515,88,427
S01007924,530,100,430
S01007925,264,47,217
S01007926,352,55,297
S01007927,237,38,199
S01007928,490,105,385
S01007929,586,63,523
S01007930,267,39,228
S01007931,562,136,426
S01007932,364,112,252
S01007933,529,99,430
S01007934,300,67,233
S01007935,643,157,486
S01007936,468,67,401
S01007937,601,97,504
S01007938,420,100,320
S01007939,469,117,352
S01007940,764,174,590
S01007941,257,46,211
S01007942,207,24,183
S01007943,444,111,333
S01007944,481,109,372
S01007945,620,148,472
S01007946,518,100,418
S01007947,474,104,370
S01007948,345,72,273
S01007949,455,123,332
S01007950,492,107,385
S01007951,456,121,335
S01007952,447,133,314
S01007953,450,99,351
S01007954,324,48,276
S01007955,478,71,407
S01007956,398,80,318
S01007957,605,182,423
S01007958,476,98,378
S01007959,671,176,495
S01007960,263,43,220
S01007961,468,88,380
S01007962,438,47,391
S01007963,467,58,409
S01007964,397,93,304
S01007965,360,82,278
S01007966,461,89,372
S01007967,351,61,290
S01007968,464,132,332
S01007969,390,116,274
S01007970,519,125,394
S01007971,515,142,373
S01007972,498,128,370
S01007973,383,88,295
S01007974,503,126,377
S01007975,324,93,231
S01007976,681,190,491
S01007977,304,55,249
S01007978,462,96,366
S01007979,389,79,310
S01007980,387,127,260
S01007981,361,137,224
S01007982,308,87,221
S01007983,663,244,419
S01007984,429,156,273
S01007985,412,92,320
S01007986,279,69,210
S01007987,450,84,366
S01007988,380,82,298
S01007989,290,26,264
S01007990,466,51,415
S01007991,357,28,329
S01007992,363,24,339
S01007993,364,64,300
S01007994,225,11,214
S01007995,271,35,236
S01007996,144,37,107
S01007997,296,77,219
S01007998,275,64,211
S01007999,389,91,298
S01008000,390,80,310
S01008001,398,65,333
S01008002,451,35,416
S01008003,284,33,251
S01008004,46,5,41
S01008005,39,3,36
S01008006,363,45,318
S01008007,261,25,236
S01008008,323,38,285
S01008009,499,65,434
S01008010,687,79,608
S01008011,579,177,402
S01008012,580,108,472
S01008013,446,115,331
S01008014,420,83,337
S01008015,481,108,373
S01008016,433,143,290
S01008017,375,131,244
S01008018,444,145,299
S01008019,450,137,313
S01008020,463,81,382
S01008021,315,83,232
S01008022,339,86,253
S01008023,601,60,541
S01008024,310,11,299
S01008025,372,71,301
S01008026,576,144,432
S01008027,382,104,278
S01008028,239,41,198
S01008029,1334,118,1216
S01008030,893,148,745
S01008031,668,132,536
S01008032,542,109,433
S01008033,405,67,338
S01008034,402,40,362
S01008035,426,86,340
S01008036,246,56,190
S01008037,594,125,469
S01008038,411,86,325
S01008039,453,107,346
S01008040,311,94,217
S01008041,513,168,345
S01008042,410,144,266
S01008043,571,182,389
S01008044,537,189,348
S01008045,579,188,391
S01008046,695,304,391
S01008047,292,109,183
S01008048,283,102,181
S01008049,450,183,267
S01008050,270,100,170
S01008051,480,123,357
S01008052,337,84,253
S01008053,426,152,274
S01008054,361,138,223
S01008055,384,104,280
S01008056,490,182,308
S01008057,582,205,377
S01008058,304,36,268
S01008059,260,62,198
S01008060,605,97,508
S01008061,373,83,290
S01008062,425,113,312
S01008063,357,110,247
S01008064,414,84,330
S01008065,437,84,353
S01008066,383,109,274
S01008067,281,81,200
S01008068,499,145,354
S01008069,484,114,370
S01008070,457,87,370
S01008071,396,90,306
S01008072,568,125,443
S01008073,178,50,128
S01008074,378,94,284
S01008075,246,103,143
S01008076,433,172,261
S01008077,406,127,279
S01008078,350,115,235
S01008079,341,107,234
S01008080,319,85,234
S01008081,298,81,217
S01008082,425,122,303
S01008083,313,93,220
S01008084,418,92,326
S01008085,461,70,391
S01008086,482,77,405
S01008087,433,143,290
S01008088,398,135,263
S01008089,378,123,255
S01008090,305,82,223
S01008091,199,51,148
S01008092,501,250,251
S01008093,371,139,232
S01008094,281,91,190
S01008095,485,160,325
S01008096,334,135,199
S01008097,414,186,228
S01008098,293,84,209
S01008099,209,42,167
S01008100,440,170,270
S01008101,539,65,474
S01008102,310,59,251
S01008103,406,139,267
S01008104,447,81,366
S01008105,580,119,461
S01008106,678,103,575
S01008107,442,32,410
S01008108,349,47,302
S01008109,332,56,276
S01008110,351,75,276
S01008111,349,124,225
S01008112,374,135,239
S01008113,399,120,279
S01008114,357,110,247
S01008115,368,47,321
S01008116,419,85,334
S01008117,329,106,223
S01008118,529,145,384
S01008119,303,69,234
S01008120,318,109,209
S01008121,269,96,173
S01008122,427,123,304
S01008123,445,144,301
S01008124,378,78,300
S01008125,484,115,369
S01008126,351,37,314
S01008127,194,42,152
S01008128,440,102,338
S01008129,473,91,382
S01008130,548,89,459
S01008131,398,71,327
S01008132,453,161,292
S01008133,417,152,265
S01008134,399,101,298
S01008135,700,101,599
S01008136,788,144,644
S01008137,603,77,526
S01008138,457,50,407
S01008139,498,104,394
S01008140,329,93,236
S01008141,434,101,333
S01008142,360,53,307
S01008143,539,139,400
S01008144,377,60,317
S01008145,417,86,331
S01008146,301,80,221
S01008147,389,66,323
S01008148,391,54,337
S01008149,435,100,335
S01008150,631,143,488
S01008151,481,123,358
S01008152,589,170,419
S01008153,295,37,258
S01008154,445,142,303
S01008155,345,76,269
S01008156,440,83,357
S01008157,430,79,351
S01008158,418,48,370
S01008159,551,114,437
S01008160,546,85,461
S01008161,565,63,502
S01008162,556,142,414
S01008163,383,73,310
S01008164,289,49,240
S01008165,305,15,290
S01008166,492,52,440
S01008167,599,63,536
S01008168,460,76,384
S01008169,586,79,507
S01008170,291,53,238
S01008171,474,127,347
S01008172,250,64,186
S01008173,304,53,251
S01008174,226,49,177
S01008175,378,54,324
S01008176,593,75,518
S01008177,416,112,304
S01008178,278,72,206
S01008179,126,7,119
S01008180,167,13,154
S01008181,284,87,197
S01008182,748,152,596
S01008183,474,108,366
S01008184,524,161,363
S01008185,679,164,515
S01008186,485,110,375
S01008187,327,61,266
S01008188,769,207,562
S01008189,486,122,364
S01008190,412,87,325
S01008191,547,96,451
S01008192,484,96,388
S01008193,391,90,301
S01008194,275,50,225
S01008195,481,53,428
S01008196,370,42,328
S01008197,727,45,682
S01008198,300,83,217
S01008199,298,35,263
S01008200,390,112,278
S01008201,600,132,468
S01008202,368,114,254
S01008203,283,53,230
S01008204,1189,242,947
S01008205,316,64,252
S01008206,676,136,540
S01008207,345,61,284
S01008208,413,31,382
S01008209,242,10,232
S01008210,642,114,528
S01008211,461,106,355
S01008212,256,24,232
S01008213,364,58,306
S01008214,400,122,278
S01008215,482,110,372
S01008216,315,55,260
S01008217,274,57,217
S01008218,828,58,770
S01008219,545,98,447
S01008220,223,20,203
S01008221,362,55,307
S01008222,332,114,218
S01008223,280,94,186
S01008224,406,71,335
S01008225,325,58,267
S01008226,379,116,263
S01008227,460,121,339
S01008228,346,86,260
S01008229,532,92,440
S01008230,305,13,292
S01008231,231,8,223
S01008232,91,14,77
S01008233,636,44,592
S01008234,803,98,705
S01008235,414,113,301
S01008236,462,111,351
S01008237,399,76,323
S01008238,464,108,356
S01008239,331,75,256
S01008240,564,134,430
S01008241,437,119,318
S01008242,553,176,377
S01008243,456,106,350
S01008244,427,106,321
S01008245,481,122,359
S01008246,465,68,397
S01008247,394,59,335
S01008248,580,165,415
S01008249,401,96,305
S01008250,494,117,377
S01008251,375,65,310
S01008252,475,149,326
S01008253,410,130,280
S01008254,545,139,406
S01008255,411,89,322
S01008256,448,85,363
S01008257,444,187,257
S01008258,591,118,473
S01008259,693,167,526
S01008260,460,85,375
S01008261,496,92,404
S01008262,401,88,313
S01008263,357,82,275
S01008264,409,104,305
S01008265,332,138,194
S01008266,449,158,291
S01008267,350,82,268
S01008268,355,127,228
S01008269,509,257,252
S01008270,570,265,305
S01008271,430,106,324
S01008272,414,94,320
S01008273,441,137,304
S01008274,416,105,311
S01008275,308,90,218
S01008276,249,48,201
S01008277,291,57,234
S01008278,334,92,242
S01008279,331,94,237
S01008280,578,160,418
S01008281,367,60,307
S01008282,326,67,259
S01008283,445,45,400
S01008284,597,99,498
S01008285,355,97,258
S01008286,588,140,448
S01008287,355,83,272
S01008288,455,149,306
S01008289,399,78,321
S01008290,464,91,373
S01008291,520,194,326
S01008292,590,71,519
S01008293,403,63,340
S01008294,271,42,229
S01008295,486,79,407
S01008296,397,107,290
S01008297,258,45,213
S01008298,451,84,367
S01008299,550,151,399
S01008300,412,84,328
S01008301,385,51,334
S01008302,373,96,277
S01008303,399,96,303
S01008304,212,51,161
S01008305,315,72,243
S01008306,239,46,193
S01008307,290,63,227
S01008308,238,77,161
S01008309,490,108,382
S01008310,467,142,325
S01008311,337,49,288
S01008312,343,62,281
S01008313,468,86,382
S01008314,527,58,469
S01008315,450,69,381
S01008316,391,23,368
S01008317,316,23,293
S01008318,607,115,492
S01008319,326,116,210
S01008320,308,102,206
S01008321,263,39,224
S01008322,812,144,668
S01008323,363,55,308
S01008324,254,37,217
S01008325,452,40,412
S01008326,517,75,442
S01008327,485,117,368
S01008328,310,27,283
S01008329,348,43,305
S01008330,363,62,301
S01008331,316,46,270
S01008332,432,133,299
S01008333,516,216,300
S01008334,439,152,287
S01008335,456,138,318
S01008336,448,95,353
S01008337,365,63,302
S01008338,262,17,245
S01008339,227,22,205
S01008340,356,37,319
S01008341,204,10,194
S01008342,471,110,361
S01008343,489,210,279
S01008344,355,97,258
S01008345,509,165,344
S01008346,383,108,275
S01008347,594,249,345
S01008348,429,150,279
S01008349,507,107,400
S01008350,333,131,202
S01008351,414,132,282
S01008352,344,109,235
S01008353,198,59,139
S01008354,397,79,318
S01008355,531,170,361
S01008356,385,78,307
S01008357,382,110,272
S01008358,409,136,273
S01008359,303,78,225
S01008360,493,100,393
S01008361,305,66,239
S01008362,480,76,404
S01008363,363,72,291
S01008364,352,105,247
S01008365,409,123,286
S01008366,461,166,295
S01008367,510,141,369
S01008368,443,107,336
S01008369,351,83,268
S01008370,300,73,227
S01008371,343,78,265
S01008372,337,62,275
S01008373,410,84,326
S01008374,318,73,245
S01008375,285,73,212
S01008376,267,55,212
S01008377,392,95,297
S01008378,460,156,304
S01008379,206,70,136
S01008380,238,43,195
S01008381,391,69,322
S01008382,342,83,259
S01008383,235,60,175
S01008384,387,83,304
S01008385,252,68,184
S01008386,402,85,317
S01008387,349,69,280
S01008388,243,20,223
S01008389,352,183,169
S01008390,300,88,212
S01008391,349,152,197
S01008392,330,53,277
S01008393,397,149,248
S01008394,388,91,297
S01008395,309,58,251
S01008396,363,145,218
S01008397,368,83,285
S01008398,354,106,248
S01008399,379,192,187
S01008400,434,131,303
S01008401,541,191,350
S01008402,415,134,281
S01008403,398,162,236
S01008404,392,122,270
S01008405,327,99,228
S01008406,520,214,306
S01008407,284,114,170
S01008408,325,60,265
S01008409,499,123,376
S01008410,371,133,238
S01008411,463,101,362
S01008412,274,63,211
S01008413,293,55,238
S01008414,215,36,179
S01008415,433,95,338
S01008416,549,108,441
S01008417,299,77,222
S01008418,312,87,225
S01008419,193,38,155
S01008420,236,58,178
S01008421,394,85,309
S01008422,396,109,287
S01008423,398,84,314
S01008424,454,164,290
S01008425,454,135,319
S01008426,516,161,355
S01008427,474,63,411
S01008428,413,153,260
S01008429,395,122,273
S01008430,458,139,319
S01008431,452,136,316
S01008432,473,171,302
S01008433,348,77,271
S01008434,421,84,337
S01008435,432,105,327
S01008436,451,136,315
S01008437,404,125,279
S01008438,249,41,208
S01008439,434,97,337
S01008440,479,143,336
S01008441,416,82,334
S01008442,336,54,282
S01008443,252,71,181
S01008444,297,46,251
S01008445,458,197,261
S01008446,646,299,347
S01008447,286,74,212
S01008448,365,97,268
S01008449,422,50,372
S01008450,256,16,240
S01008451,445,37,408
S01008452,432,22,410
S01008453,418,13,405
S01008454,575,45,530
S01008455,626,87,539
S01008456,668,68,600
S01008457,531,119,412
S01008458,434,61,373
S01008459,428,40,388
S01008460,587,35,552
S01008461,535,47,488
S01008462,399,79,320
S01008463,467,54,413
S01008464,453,99,354
S01008465,444,84,360
S01008466,352,50,302
S01008467,363,67,296
S01008468,368,68,300
S01008469,319,56,263
S01008470,393,64,329
S01008471,347,29,318
S01008472,312,41,271
S01008473,307,45,262
S01008474,468,111,357
S01008475,543,119,424
S01008476,448,121,327
S01008477,656,153,503
S01008478,522,142,380
S01008479,612,183,429
S01008480,231,37,194
S01008481,373,73,300
S01008482,422,109,313
S01008483,443,118,325
S01008484,418,95,323
S01008485,493,97,396
S01008486,459,165,294
S01008487,522,77,445
S01008488,733,152,581
S01008489,459,100,359
S01008490,664,109,555
S01008491,511,59,452
S01008492,515,22,493
S01008493,478,106,372
S01008494,487,57,430
S01008495,705,37,668
S01008496,805,35,770
S01008497,681,32,649
S01008498,525,32,493
S01008499,669,31,638
S01008500,240,8,232
S01008501,426,16,410
S01008502,392,12,380
S01008503,510,39,471
S01008504,848,90,758
S01008505,481,54,427
S01008506,552,143,409
S01008507,386,30,356
S01008508,496,149,347
S01008509,617,171,446
S01008510,390,101,289
S01008511,431,142,289
S01008512,457,118,339
S01008513,324,102,222
S01008514,328,115,213
S01008515,378,66,312
S01008516,772,101,671
S01008517,588,141,447
S01008518,503,81,422
S01008519,418,94,324
S01008520,541,167,374
S01008521,338,81,257
S01008522,252,55,197
S01008523,516,93,423
S01008524,582,102,480
S01008525,571,161,410
S01008526,448,137,311
S01008527,333,50,283
S01008528,304,51,253
S01008529,388,102,286
S01008530,530,122,408
S01008531,510,115,395
S01008532,305,89,216
S01008533,179,14,165
S01008534,319,34,285
S01008535,284,68,216
S01008536,311,104,207
S01008537,280,77,203
S01008538,287,117,170
S01008539,466,143,323
S01008540,425,144,281
S01008541,370,84,286
S01008542,431,76,355
S01008543,355,53,302
S01008544,216,12,204
S01008545,395,88,307
S01008546,337,97,240
S01008547,483,44,439
S01008548,476,88,388
S01008549,566,113,453
S01008550,464,65,399
S01008551,496,131,365
S01008552,444,103,341
S01008553,307,75,232
S01008554,368,45,323
S01008555,663,126,537
S01008556,539,155,384
S01008557,474,120,354
S01008558,433,105,328
S01008559,360,86,274
S01008560,379,83,296
S01008561,444,96,348
S01008562,426,108,318
S01008563,523,114,409
S01008564,506,136,370
S01008565,470,88,382
S01008566,460,80,380
S01008567,351,55,296
S01008568,384,54,330
S01008569,453,46,407
S01008570,552,70,482
S01008571,379,102,277
S01008572,415,85,330
S01008573,436,59,377
S01008574,441,56,385
S01008575,369,74,295
S01008576,484,120,364
S01008577,512,153,359
S01008578,377,117,260
S01008579,374,121,253
S01008580,404,108,296
S01008581,542,155,387
S01008582,662,152,510
S01008583,460,120,340
S01008584,602,125,477
S01008585,411,77,334
S01008586,433,111,322
S01008587,316,79,237
S01008588,488,143,345
S01008589,172,66,106
S01008590,413,156,257
S01008591,437,68,369
S01008592,397,100,297
S01008593,346,97,249
S01008594,391,79,312
S01008595,663,193,470
S01008596,496,98,398
S01008597,510,139,371
S01008598,499,84,415
S01008599,411,66,345
S01008600,377,56,321
S01008601,314,38,276
S01008602,321,44,277
S01008603,487,25,462
S01008604,515,57,458
S01008605,416,39,377
S01008606,392,71,321
S01008607,283,105,178
S01008608,376,133,243
S01008609,527,193,334
S01008610,549,192,357
S01008611,592,62,530
S01008612,376,25,351
S01008613,484,80,404
S01008614,399,42,357
S01008615,387,64,323
S01008616,315,24,291
S01008617,341,30,311
S01008618,267,18,249
S01008619,203,21,182
S01008620,290,17,273
S01008621,316,21,295
S01008622,305,26,279
S01008623,420,99,321
S01008624,396,162,234
S01008625,239,65,174
S01008626,482,81,401
S01008627,294,63,231
S01008628,344,53,291
S01008629,497,109,388
S01008630,404,76,328
S01008631,527,93,434
S01008632,584,97,487
S01008633,600,205,395
S01008634,276,50,226
S01008635,362,52,310
S01008636,407,98,309
S01008637,341,67,274
S01008638,513,113,400
S01008639,587,41,546
S01008640,552,33,519
S01008641,481,43,438
S01008642,483,42,441
S01008643,451,37,414
S01008644,333,57,276
S01008645,472,52,420
S01008646,704,67,637
S01008647,408,21,387
S01008648,549,45,504
S01008649,758,59,699
S01008650,589,31,558
S01008651,640,43,597
S01008652,510,30,480
S01008653,402,32,370
S01008654,746,30,716
S01008655,501,34,467
S01008656,734,48,686
S01008657,520,50,470
S01008658,757,82,675
S01008659,623,41,582
S01008660,572,25,547
S01008661,646,61,585
S01008662,462,21,441
S01008663,531,57,474
S01008664,534,36,498
S01008665,666,39,627
S01008666,342,26,316
S01008667,656,48,608
S01008668,462,29,433
S01008669,219,10,209
S01008670,402,27,375
S01008671,491,37,454
S01008672,341,46,295
S01008673,705,36,669
S01008674,467,32,435
S01008675,564,70,494
S01008676,435,32,403
S01008677,456,26,430
S01008678,504,13,491
S01008679,641,83,558
S01008680,478,57,421
S01008681,600,95,505
S01008682,490,44,446
S01008683,872,100,772
S01008684,643,62,581
S01008685,490,63,427
S01008686,717,152,565
S01008687,637,71,566
S01008688,713,37,676
S01008689,760,108,652
S01008690,635,89,546
S01008691,827,60,767
S01008692,688,46,642
S01008693,301,80,221
S01008694,783,70,713
S01008695,496,63,433
S01008696,285,57,228
S01008697,453,108,345
S01008698,329,116,213
S01008699,563,171,392
S01008700,349,121,228
S01008701,423,35,388
S01008702,405,33,372
S01008703,639,60,579
S01008704,712,80,632
S01008705,419,63,356
S01008706,589,76,513
S01008707,547,50,497
S01008708,492,30,462
S01008709,427,38,389
S01008710,416,34,382
S01008711,387,86,301
S01008712,546,127,419
S01008713,292,33,259
S01008714,341,81,260
S01008715,367,114,253
S01008716,354,107,247
S01008717,215,18,197
S01008718,260,46,214
S01008719,487,52,435
S01008720,277,49,228
S01008721,310,27,283
S01008722,480,173,307
S01008723,304,50,254
S01008724,444,142,302
S01008725,343,75,268
S01008726,509,127,382
S01008727,509,100,409
S01008728,267,45,222
S01008729,330,46,284
S01008730,527,45,482
S01008731,280,85,195
S01008732,447,79,368
S01008733,528,90,438
S01008734,354,73,281
S01008735,459,146,313
S01008736,290,93,197
S01008737,339,118,221
S01008738,352,127,225
S01008739,240,60,180
S01008740,289,90,199
S01008741,477,157,320
S01008742,377,161,216
S01008743,576,131,445
S01008744,519,149,370
S01008745,283,65,218
S01008746,572,87,485
S01008747,292,133,159
S01008748,441,157,284
S01008749,494,157,337
S01008750,338,118,220
S01008751,554,151,403
S01008752,558,116,442
S01008753,497,103,394
S01008754,534,91,443
S01008755,575,85,490
S01008756,503,102,401
S01008757,469,108,361
S01008758,557,119,438
S01008759,395,96,299
S01008760,635,104,531
S01008761,432,51,381
S01008762,282,69,213
S01008763,385,69,316
S01008764,306,49,257
S01008765,576,74,502
S01008766,618,128,490
S01008767,406,87,319
S01008768,1471,102,1369
S01008769,1210,63,1147
S01008770,1143,59,1084
S01008771,1143,59,1084
S01008772,640,148,492
S01008773,646,105,541
S01008774,495,46,449
S01008775,245,35,210
S01008776,706,61,645
S01008777,678,108,570
S01008778,615,24,591
S01008779,585,33,552
S01008780,522,16,506
S01008781,639,16,623
S01008782,509,15,494
S01008783,312,7,305
S01008784,463,29,434
S01008785,609,93,516
S01008786,692,62,630
S01008787,388,38,350
S01008788,485,27,458
S01008789,375,122,253
S01008790,510,50,460
S01008791,486,35,451
S01008792,527,69,458
S01008793,594,115,479
S01008794,579,163,416
S01008795,715,69,646
S01008796,670,89,581
S01008797,640,90,550
S01008798,629,82,547
S01008799,389,35,354
S01008800,760,76,684
S01008801,539,26,513
S01008802,779,53,726
S01008803,669,67,602
S01008804,454,29,425
S01008805,429,41,388
S01008806,669,51,618
S01008807,612,59,553
S01008808,391,64,327
S01008809,427,95,332
S01008810,554,61,493
S01008811,389,28,361
S01008812,475,35,440
S01008813,534,48,486
S01008814,660,67,593
S01008815,743,54,689
S01008816,321,49,272
S01008817,661,42,619
S01008818,596,75,521
S01008819,550,53,497
S01008820,829,99,730
S01008821,314,41,273
S01008822,339,54,285
S01008823,401,84,317
S01008824,641,125,516
S01008825,296,61,235
S01008826,378,53,325
S01008827,473,99,374
S01008828,497,120,377
S01008829,449,155,294
S01008830,553,155,398
S01008831,471,162,309
S01008832,350,99,251
S01008833,578,189,389
S01008834,568,142,426
S01008835,486,137,349
S01008836,330,55,275
S01008837,950,67,883
S01008838,606,77,529
S01008839,661,74,587
S01008840,510,69,441
S01008841,661,29,632
S01008842,63,17,46
S01008843,464,30,434
S01008844,499,23,476
S01008845,420,29,391
S01008846,452,39,413
S01008847,376,33,343
S01008848,442,40,402
S01008849,552,74,478
S01008850,785,116,669
S01008851,725,150,575
S01008852,622,98,524
S01008853,352,19,333
S01008854,538,60,478
S01008855,668,57,611
S01008856,389,25,364
S01008857,527,65,462
S01008858,705,167,538
S01008859,712,152,560
S01008860,715,110,605
S01008861,454,82,372
S01008862,683,66,617
S01008863,435,63,372
S01008864,586,141,445
S01008865,616,183,433
S01008866,609,76,533
S01008867,513,96,417
S01008868,564,40,524
S01008869,666,118,548
S01008870,645,103,542
S01008871,645,71,574
S01008872,492,54,438
S01008873,387,78,309
S01008874,501,103,398
S01008875,679,181,498
S01008876,379,146,233
S01008877,393,118,275
S01008878,590,174,416
S01008879,411,110,301
S01008880,333,82,251
S01008881,289,97,192
S01008882,444,80,364
S01008883,435,143,292
S01008884,361,145,216
S01008885,377,105,272
S01008886,579,141,438
S01008887,358,99,259
S01008888,599,101,498
S01008889,442,94,348
S01008890,354,108,246
S01008891,329,106,223
S01008892,614,210,404
S01008893,434,121,313
S01008894,390,110,280
S01008895,334,112,222
S01008896,368,79,289
S01008897,390,122,268
S01008898,412,104,308
S01008899,389,88,301
S01008900,415,86,329
S01008901,504,114,390
S01008902,533,96,437
S01008903,524,151,373
S01008904,474,61,413
S01008905,598,67,531
S01008906,457,30,427
S01008907,413,45,368
S01008908,487,67,420
S01008909,508,90,418
S01008910,820,70,750
S01008911,665,28,637
S01008912,378,84,294
S01008913,208,31,177
S01008914,511,152,359
S01008915,301,77,224
S01008916,692,213,479
S01008917,379,58,321
S01008918,399,19,380
S01008919,344,62,282
S01008920,733,34,699
S01008921,703,116,587
S01008922,549,78,471
S01008923,644,100,544
S01008924,1019,76,943
S01008925,319,12,307
S01008926,768,44,724
S01008927,578,30,548
S01008928,355,69,286
S01008929,795,124,671
S01008930,514,79,435
S01008931,339,61,278
S01008932,551,64,487
S01008933,388,32,356
S01008934,378,52,326
S01008935,467,139,328
S01008936,260,80,180
S01008937,424,131,293
S01008938,402,126,276
S01008939,323,115,208
S01008940,314,121,193
S01008941,386,115,271
S01008942,536,153,383
S01008943,340,119,221
S01008944,429,149,280
S01008945,422,97,325
S01008946,397,141,256
S01008947,470,176,294
S01008948,485,166,319
S01008949,587,159,428
S01008950,481,141,340
S01008951,547,122,425
S01008952,718,130,588
S01008953,521,149,372
S01008954,478,163,315
S01008955,394,79,315
S01008956,580,68,512
S01008957,489,92,397
S01008958,447,131,316
S01008959,444,82,362
S01008960,373,25,348
S01008961,479,118,361
S01008962,275,62,213
S01008963,422,126,296
S01008964,299,103,196
S01008965,321,125,196
S01008966,391,134,257
S01008967,473,149,324
S01008968,455,134,321
S01008969,460,134,326
S01008970,485,118,367
S01008971,273,58,215
S01008972,611,160,451
S01008973,361,94,267
S01008974,448,150,298
S01008975,518,241,277
S01008976,322,86,236
S01008977,350,96,254
S01008978,303,50,253
S01008979,357,29,328
S01008980,334,33,301
S01008981,365,129,236
S01008982,408,62,346
S01008983,407,27,380
S01008984,227,32,195
S01008985,370,87,283
S01008986,408,146,262
S01008987,438,165,273
S01008988,481,130,351
S01008989,490,67,423
S01008990,591,53,538
S01008991,531,51,480
S01008992,204,50,154
S01008993,553,122,431
S01008994,439,74,365
S01008995,457,79,378
S01008996,322,79,243
S01008997,453,63,390
S01008998,453,42,411
S01008999,455,132,323
S01009000,486,124,362
S01009001,323,77,246
S01009002,388,83,305
S01009003,430,79,351
S01009004,333,55,278
S01009005,445,74,371
S01009006,588,150,438
S01009007,379,79,300
S01009008,445,127,318
S01009009,252,65,187
S01009010,535,55,480
S01009011,436,41,395
S01009012,357,53,304
S01009013,422,56,366
S01009014,379,91,288
S01009015,303,88,215
S01009016,250,78,172
S01009017,327,65,262
S01009018,326,56,270
S01009019,385,67,318
S01009020,462,93,369
S01009021,344,97,247
S01009022,447,139,308
S01009023,435,135,300
S01009024,590,187,403
S01009025,433,115,318
S01009026,509,127,382
S01009027,432,113,319
S01009028,289,75,214
S01009029,386,99,287
S01009030,458,114,344
S01009031,356,83,273
S01009032,299,95,204
S01009033,405,125,280
S01009034,283,81,202
S01009035,381,97,284
S01009036,437,76,361
