"output_area","All people in households","Owned","Owned: Owned outright","Owned: Owned with a mortgage or loan","Owned: Shared ownership (part owned and part rented)","Social rented","Social rented: Rented from council (Local authority)","Social rented: Other social rented","Private rented","Private rented: Private landlord or letting agency","Private rented: Employer of a household member","Private rented: Relative or friend of a household member","Private rented: Other","Living rent free"
"S00100218",109,68,12,56,0,28,28,0,13,13,0,0,0,0
"S00100219",63,39,11,28,0,23,23,0,0,0,0,0,0,1
"S00100220",116,76,13,63,0,31,25,6,9,9,0,0,0,0
"S00100221",150,122,44,78,0,19,19,0,6,6,0,0,0,3
"S00100222",105,50,21,29,0,55,55,0,0,0,0,0,0,0
"S00100223",139,125,31,94,0,14,14,0,0,0,0,0,0,0
"S00100224",142,124,82,42,0,5,5,0,12,12,0,0,0,1
"S00100225",130,116,60,56,0,2,2,0,12,12,0,0,0,0
"S00100226",110,106,55,49,2,4,4,0,0,0,0,0,0,0
"S00100227",108,67,18,49,0,30,22,8,11,11,0,0,0,0
"S00100228",93,27,15,12,0,61,8,53,5,5,0,0,0,0
"S00100229",193,88,12,76,0,61,23,38,44,44,0,0,0,0
"S00100230",88,2,1,1,0,86,20,66,0,0,0,0,0,0
"S00100231",98,41,20,21,0,42,7,35,15,12,0,0,3,0
"S00100232",84,7,7,0,0,75,11,64,2,2,0,0,0,0
"S00100233",102,16,10,6,0,79,14,65,7,6,0,0,1,0
"S00100234",124,16,5,11,0,106,16,90,2,0,0,0,2,0
"S00100235",123,16,2,14,0,106,20,86,1,1,0,0,0,0
"S00100236",137,16,5,11,0,106,13,93,15,12,0,0,3,0
"S00100237",117,37,1,36,0,70,67,3,8,5,0,3,0,2
"S00100238",141,43,2,41,0,89,86,3,9,5,0,4,0,0
"S00100239",122,54,22,32,0,60,60,0,7,7,0,0,0,1
"S00100240",106,21,6,15,0,81,81,0,4,4,0,0,0,0
"S00100241",176,9,3,6,0,164,107,57,3,3,0,0,0,0
"S00100242",153,32,5,27,0,107,86,21,14,14,0,0,0,0
"S00100243",111,56,17,39,0,43,35,8,12,12,0,0,0,0
"S00100244",87,31,9,22,0,50,48,2,6,6,0,0,0,0
"S00100245",98,44,23,21,0,51,45,6,3,3,0,0,0,0
"S00100246",122,42,8,34,0,77,75,2,3,3,0,0,0,0
"S00100247",89,54,19,35,0,27,27,0,7,7,0,0,0,1
"S00100248",113,55,6,49,0,56,56,0,2,2,0,0,0,0
"S00100249",140,50,14,36,0,90,84,6,0,0,0,0,0,0
"S00100250",109,53,9,44,0,49,49,0,7,7,0,0,0,0
"S00100251",113,57,18,39,0,38,31,7,18,17,0,1,0,0
"S00100252",140,61,32,29,0,71,59,12,7,7,0,0,0,1
"S00100253",114,54,19,35,0,53,53,0,7,7,0,0,0,0
"S00100254",92,45,14,31,0,44,41,3,3,2,0,1,0,0
"S00100255",125,68,36,32,0,25,10,15,31,30,0,1,0,1
"S00100256",57,20,8,12,0,35,34,1,2,1,0,1,0,0
"S00100257",117,38,16,22,0,73,17,56,6,5,1,0,0,0
"S00100258",66,51,12,39,0,14,10,4,0,0,0,0,0,1
"S00100259",121,121,79,42,0,0,0,0,0,0,0,0,0,0
"S00100260",73,44,11,32,1,23,23,0,6,6,0,0,0,0
"S00100261",71,29,11,18,0,38,37,1,2,2,0,0,0,2
"S00100262",173,85,18,67,0,70,58,12,16,16,0,0,0,2
"S00100263",116,115,59,56,0,1,1,0,0,0,0,0,0,0
"S00100264",102,98,34,64,0,2,2,0,1,1,0,0,0,1
"S00100265",78,71,15,56,0,6,6,0,1,1,0,0,0,0
"S00100266",141,137,45,92,0,0,0,0,4,4,0,0,0,0
"S00100267",51,17,2,15,0,30,30,0,4,4,0,0,0,0
"S00100268",119,54,18,36,0,55,50,5,10,8,0,2,0,0
"S00100269",122,24,5,19,0,88,87,1,10,10,0,0,0,0
"S00100270",81,37,10,27,0,34,34,0,8,5,0,3,0,2
"S00100271",94,59,23,36,0,23,23,0,8,8,0,0,0,4
"S00100272",100,28,7,21,0,52,48,4,20,20,0,0,0,0
"S00100273",73,34,8,26,0,29,26,3,9,9,0,0,0,1
"S00100274",122,80,23,57,0,20,16,4,17,14,0,3,0,5
"S00100275",80,29,17,12,0,47,44,3,3,3,0,0,0,1
"S00100276",103,71,25,46,0,29,29,0,3,1,0,2,0,0
"S00100277",52,40,28,12,0,5,3,2,7,6,0,1,0,0
"S00100278",86,31,18,13,0,16,16,0,36,32,0,3,1,3
"S00100279",68,4,2,2,0,58,57,1,6,6,0,0,0,0
"S00100280",67,36,14,22,0,29,29,0,2,1,0,1,0,0
"S00100281",101,37,15,22,0,63,60,3,1,1,0,0,0,0
"S00100282",82,27,7,20,0,46,46,0,9,9,0,0,0,0
"S00100283",114,37,14,23,0,68,68,0,9,9,0,0,0,0
"S00100284",140,71,23,48,0,51,15,36,16,9,0,2,5,2
"S00100285",51,4,0,4,0,47,45,2,0,0,0,0,0,0
"S00100286",76,19,2,17,0,39,39,0,18,12,0,6,0,0
"S00100287",64,8,4,4,0,47,43,4,9,9,0,0,0,0
"S00100288",115,66,22,44,0,46,29,17,3,3,0,0,0,0
"S00100289",97,69,26,43,0,12,0,12,14,14,0,0,0,2
"S00100290",61,15,9,6,0,43,43,0,3,3,0,0,0,0
"S00100291",73,57,17,40,0,1,1,0,15,15,0,0,0,0
"S00100292",82,62,21,41,0,10,10,0,10,10,0,0,0,0
"S00100293",63,3,0,3,0,58,39,19,2,2,0,0,0,0
"S00100294",56,8,2,6,0,45,45,0,3,2,0,1,0,0
"S00100295",176,24,5,19,0,144,106,38,6,6,0,0,0,2
"S00100296",207,7,0,7,0,200,14,186,0,0,0,0,0,0
"S00100297",169,24,4,20,0,137,127,10,8,8,0,0,0,0
"S00100298",140,60,22,38,0,72,65,7,8,8,0,0,0,0
"S00100299",78,9,4,5,0,63,60,3,6,6,0,0,0,0
"S00100300",206,22,0,22,0,169,18,151,15,15,0,0,0,0
"S00100301",151,17,0,17,0,132,9,123,2,2,0,0,0,0
"S00100302",84,7,1,6,0,54,35,19,23,22,0,1,0,0
"S00100303",126,0,0,0,0,119,18,101,7,7,0,0,0,0
"S00100304",178,63,0,63,0,111,3,108,4,2,0,0,2,0
"S00100305",106,89,20,69,0,14,11,3,3,3,0,0,0,0
"S00100306",147,135,63,72,0,6,6,0,6,6,0,0,0,0
"S00100307",131,117,46,71,0,10,10,0,4,4,0,0,0,0
"S00100308",142,116,69,47,0,16,15,1,10,10,0,0,0,0
"S00100309",86,73,26,47,0,4,0,4,9,9,0,0,0,0
"S00100310",111,94,52,42,0,4,0,4,13,11,0,2,0,0
"S00100311",120,113,55,58,0,5,5,0,2,2,0,0,0,0
"S00100312",114,110,60,50,0,0,0,0,4,4,0,0,0,0
"S00100313",156,140,50,90,0,3,3,0,12,12,0,0,0,1
"S00100314",136,128,81,47,0,0,0,0,8,8,0,0,0,0
"S00100315",178,167,78,89,0,3,3,0,8,8,0,0,0,0
"S00100316",107,98,31,67,0,7,6,1,2,0,0,2,0,0
"S00100317",63,18,1,17,0,40,38,2,5,4,1,0,0,0
"S00100318",109,37,12,25,0,29,29,0,42,42,0,0,0,1
"S00100319",108,18,2,16,0,48,47,1,42,41,0,1,0,0
"S00100320",96,27,7,20,0,50,47,3,18,18,0,0,0,1
"S00100321",137,38,0,38,0,68,68,0,31,1,0,0,30,0
"S00100322",157,56,30,26,0,101,99,2,0,0,0,0,0,0
"S00100323",107,28,5,23,0,79,79,0,0,0,0,0,0,0
"S00100324",179,32,4,28,0,147,141,6,0,0,0,0,0,0
"S00100325",116,26,13,13,0,90,90,0,0,0,0,0,0,0
"S00100326",121,17,5,12,0,104,104,0,0,0,0,0,0,0
"S00100327",94,15,2,12,1,75,75,0,2,0,0,2,0,2
"S00100328",58,27,17,10,0,27,27,0,4,0,0,4,0,0
"S00100329",106,55,22,28,5,47,47,0,4,4,0,0,0,0
"S00100330",84,13,10,3,0,61,60,1,10,10,0,0,0,0
"S00100331",119,52,8,44,0,67,63,4,0,0,0,0,0,0
"S00100332",125,53,17,36,0,67,39,28,5,5,0,0,0,0
"S00100333",99,18,7,8,3,73,73,0,8,8,0,0,0,0
"S00100334",165,57,24,33,0,105,65,40,3,1,0,2,0,0
"S00100335",84,36,5,31,0,48,45,3,0,0,0,0,0,0
"S00100336",131,67,12,55,0,51,51,0,10,10,0,0,0,3
"S00100337",62,12,0,12,0,49,49,0,1,1,0,0,0,0
"S00100338",69,64,16,48,0,5,5,0,0,0,0,0,0,0
"S00100339",77,32,7,25,0,44,44,0,1,1,0,0,0,0
"S00100340",114,66,25,37,4,48,48,0,0,0,0,0,0,0
"S00100341",91,43,10,33,0,35,34,1,12,10,0,2,0,1
"S00100342",145,136,43,93,0,2,2,0,7,7,0,0,0,0
"S00100343",97,58,13,45,0,26,26,0,10,10,0,0,0,3
"S00100344",119,109,45,64,0,8,4,4,2,2,0,0,0,0
"S00100345",105,104,51,53,0,0,0,0,0,0,0,0,0,1
"S00100346",113,106,25,81,0,5,2,3,2,0,0,2,0,0
"S00100347",131,126,47,79,0,2,2,0,3,0,0,3,0,0
"S00100348",97,92,28,64,0,0,0,0,5,5,0,0,0,0
"S00100349",115,104,20,84,0,2,2,0,9,7,0,2,0,0
"S00100350",53,48,23,25,0,5,0,5,0,0,0,0,0,0
"S00100351",112,111,61,50,0,0,0,0,0,0,0,0,0,1
"S00100352",99,94,37,57,0,5,5,0,0,0,0,0,0,0
"S00100353",111,79,29,50,0,22,22,0,9,9,0,0,0,1
"S00100354",84,54,18,36,0,22,21,1,7,7,0,0,0,1
"S00100355",103,80,34,46,0,14,14,0,9,9,0,0,0,0
"S00100356",88,71,28,42,1,5,5,0,8,8,0,0,0,4
"S00100357",96,75,26,49,0,13,13,0,7,7,0,0,0,1
"S00100358",145,120,58,62,0,21,21,0,4,4,0,0,0,0
"S00100359",98,79,21,58,0,15,15,0,2,2,0,0,0,2
"S00100360",133,112,47,65,0,0,0,0,20,16,3,1,0,1
"S00100361",74,69,25,44,0,1,1,0,4,4,0,0,0,0
"S00100362",56,53,22,31,0,3,3,0,0,0,0,0,0,0
"S00100363",61,38,14,24,0,22,15,7,0,0,0,0,0,1
"S00100364",80,65,24,41,0,14,14,0,1,1,0,0,0,0
"S00100365",87,31,16,15,0,44,44,0,12,10,0,2,0,0
"S00100366",115,76,27,49,0,27,26,1,12,12,0,0,0,0
"S00100367",94,35,20,15,0,55,44,11,4,2,0,2,0,0
"S00100368",91,78,46,32,0,10,8,2,3,3,0,0,0,0
"S00100369",121,86,29,57,0,35,4,31,0,0,0,0,0,0
"S00100370",106,98,62,36,0,5,5,0,3,3,0,0,0,0
"S00100371",102,9,4,5,0,92,85,7,1,1,0,0,0,0
"S00100372",79,34,21,13,0,45,16,29,0,0,0,0,0,0
"S00100373",94,75,42,33,0,12,12,0,7,3,0,4,0,0
"S00100374",147,101,37,64,0,25,23,2,21,21,0,0,0,0
"S00100375",129,98,37,61,0,28,28,0,3,3,0,0,0,0
"S00100376",101,64,18,46,0,33,27,6,4,4,0,0,0,0
"S00100377",129,90,29,61,0,33,33,0,6,6,0,0,0,0
"S00100378",99,74,13,61,0,16,13,3,6,6,0,0,0,3
"S00100379",100,61,28,31,2,29,29,0,10,7,0,1,2,0
"S00100380",86,63,22,41,0,16,16,0,7,5,0,2,0,0
"S00100381",128,67,33,34,0,55,35,20,6,3,0,3,0,0
"S00100382",124,91,25,66,0,17,15,2,16,16,0,0,0,0
"S00100383",149,134,3,127,4,4,4,0,11,11,0,0,0,0
"S00100384",117,6,2,4,0,107,107,0,2,2,0,0,0,2
"S00100385",144,96,21,75,0,32,32,0,15,12,0,3,0,1
"S00100386",99,37,12,25,0,51,50,1,11,11,0,0,0,0
"S00100387",104,57,14,43,0,36,32,4,11,11,0,0,0,0
"S00100388",117,80,25,55,0,22,22,0,14,14,0,0,0,1
"S00100389",91,70,23,47,0,19,18,1,2,2,0,0,0,0
"S00100390",100,69,20,49,0,21,21,0,10,10,0,0,0,0
"S00100391",129,92,30,62,0,28,25,3,9,9,0,0,0,0
"S00100392",89,62,33,29,0,14,14,0,12,12,0,0,0,1
"S00100393",88,73,18,55,0,12,6,6,3,3,0,0,0,0
"S00100394",135,68,21,44,3,64,28,36,3,3,0,0,0,0
"S00100395",53,46,7,39,0,5,5,0,2,2,0,0,0,0
"S00100396",138,92,8,68,16,42,1,41,4,4,0,0,0,0
"S00100397",65,40,11,29,0,25,5,20,0,0,0,0,0,0
"S00100398",178,96,11,85,0,61,17,44,21,13,0,8,0,0
"S00100399",100,52,9,43,0,8,2,6,40,38,0,2,0,0
"S00100400",142,87,17,70,0,41,13,28,14,10,4,0,0,0
"S00100401",161,91,27,64,0,20,6,14,50,48,0,0,2,0
"S00100402",122,64,12,52,0,39,8,31,19,18,0,1,0,0
"S00100403",111,73,26,47,0,21,9,12,17,15,0,2,0,0
"S00100404",109,81,23,58,0,20,3,17,8,7,0,1,0,0
"S00100405",132,99,27,72,0,23,3,20,10,10,0,0,0,0
"S00100406",121,105,49,56,0,2,2,0,6,6,0,0,0,8
"S00100407",77,53,18,35,0,19,3,16,5,5,0,0,0,0
"S00100408",75,55,32,23,0,16,0,16,4,3,0,1,0,0
"S00100409",195,93,33,60,0,85,85,0,17,17,0,0,0,0
"S00100410",143,79,14,65,0,55,55,0,7,7,0,0,0,2
"S00100411",98,52,12,40,0,43,40,3,3,3,0,0,0,0
"S00100412",108,75,39,36,0,31,31,0,2,0,0,0,2,0
"S00100413",93,46,9,37,0,44,44,0,2,2,0,0,0,1
"S00100414",142,78,22,56,0,56,56,0,8,8,0,0,0,0
"S00100415",123,41,11,30,0,77,77,0,5,5,0,0,0,0
"S00100416",111,61,13,48,0,39,36,3,11,11,0,0,0,0
"S00100417",134,38,9,29,0,95,94,1,1,0,0,1,0,0
"S00100418",191,115,17,98,0,65,62,3,11,6,0,5,0,0
"S00100419",120,78,17,61,0,39,39,0,3,3,0,0,0,0
"S00100420",50,5,2,3,0,42,2,40,3,3,0,0,0,0
"S00100421",141,116,31,85,0,13,13,0,12,12,0,0,0,0
"S00100422",149,81,22,59,0,51,51,0,14,12,0,2,0,3
"S00100423",92,79,10,69,0,0,0,0,6,6,0,0,0,7
"S00100424",63,14,7,7,0,48,20,28,1,1,0,0,0,0
"S00100425",117,93,36,57,0,13,13,0,9,9,0,0,0,2
"S00100426",84,49,25,24,0,27,27,0,6,6,0,0,0,2
"S00100427",121,115,34,81,0,6,4,2,0,0,0,0,0,0
"S00100428",130,116,45,71,0,9,8,1,5,4,0,1,0,0
"S00100429",95,95,49,46,0,0,0,0,0,0,0,0,0,0
"S00100430",59,29,13,16,0,23,23,0,4,4,0,0,0,3
"S00100431",136,59,18,41,0,67,44,23,9,7,0,2,0,1
"S00100432",112,101,54,47,0,7,7,0,4,4,0,0,0,0
"S00100433",55,54,27,27,0,0,0,0,1,1,0,0,0,0
"S00100434",66,24,7,17,0,34,32,2,8,8,0,0,0,0
"S00100435",117,85,26,59,0,29,28,1,3,3,0,0,0,0
"S00100436",66,30,14,16,0,29,26,3,7,5,0,2,0,0
"S00100437",132,26,11,15,0,104,104,0,1,1,0,0,0,1
"S00100438",95,63,15,48,0,29,29,0,2,2,0,0,0,1
"S00100439",87,41,8,33,0,46,46,0,0,0,0,0,0,0
"S00100440",79,53,8,45,0,23,23,0,3,3,0,0,0,0
"S00100441",156,118,30,88,0,25,25,0,13,13,0,0,0,0
"S00100442",131,100,38,62,0,23,22,1,3,3,0,0,0,5
"S00100443",89,55,11,44,0,33,33,0,1,0,0,1,0,0
"S00100444",131,63,14,49,0,65,65,0,3,3,0,0,0,0
"S00100445",101,56,17,39,0,37,37,0,7,4,0,3,0,1
"S00100446",91,49,21,28,0,39,39,0,3,3,0,0,0,0
"S00100447",79,50,26,24,0,25,25,0,4,3,0,1,0,0
"S00100448",116,76,26,50,0,36,36,0,4,0,0,4,0,0
"S00100449",77,22,6,16,0,43,43,0,11,6,0,5,0,1
"S00100450",152,64,24,40,0,86,57,29,2,2,0,0,0,0
"S00100451",84,54,13,41,0,23,23,0,7,5,0,2,0,0
"S00100452",60,30,12,18,0,27,6,21,3,3,0,0,0,0
"S00100453",94,26,10,16,0,63,62,1,5,5,0,0,0,0
"S00100454",76,31,5,26,0,45,42,3,0,0,0,0,0,0
"S00100455",115,31,11,20,0,83,82,1,1,0,0,1,0,0
"S00100456",155,98,21,77,0,36,36,0,21,19,0,2,0,0
"S00100457",91,69,15,54,0,21,21,0,0,0,0,0,0,1
"S00100458",122,76,13,63,0,32,32,0,9,9,0,0,0,5
"S00100459",97,87,11,76,0,5,5,0,4,4,0,0,0,1
"S00100460",126,56,16,40,0,53,32,21,15,13,0,2,0,2
"S00100461",75,43,14,29,0,29,29,0,1,1,0,0,0,2
"S00100462",135,93,26,67,0,26,26,0,14,9,0,5,0,2
"S00100463",137,85,22,63,0,45,45,0,7,7,0,0,0,0
"S00100464",72,45,4,41,0,8,8,0,19,19,0,0,0,0
"S00100465",90,37,18,19,0,49,49,0,4,3,0,1,0,0
"S00100466",104,83,19,64,0,5,5,0,16,10,0,1,5,0
"S00100467",110,67,29,38,0,34,34,0,7,7,0,0,0,2
"S00100468",78,23,14,9,0,47,47,0,6,6,0,0,0,2
"S00100469",126,119,47,72,0,0,0,0,6,6,0,0,0,1
"S00100470",139,109,27,82,0,13,13,0,15,15,0,0,0,2
"S00100471",112,102,15,87,0,5,5,0,5,5,0,0,0,0
"S00100472",67,62,28,34,0,0,0,0,4,3,0,1,0,1
"S00100473",55,34,12,22,0,19,19,0,2,2,0,0,0,0
"S00100474",108,90,52,38,0,5,0,5,13,13,0,0,0,0
"S00100475",135,114,30,84,0,3,3,0,17,17,0,0,0,1
"S00100476",94,49,9,40,0,20,20,0,22,19,0,3,0,3
"S00100477",105,74,37,37,0,28,28,0,3,3,0,0,0,0
"S00100478",142,120,52,68,0,15,4,11,3,3,0,0,0,4
"S00100479",194,188,50,138,0,2,2,0,4,2,0,0,2,0
"S00100480",97,87,25,62,0,0,0,0,8,8,0,0,0,2
"S00100481",161,157,82,75,0,0,0,0,2,2,0,0,0,2
"S00100482",106,56,32,24,0,33,32,1,17,17,0,0,0,0
"S00100483",183,177,72,105,0,3,0,3,3,3,0,0,0,0
"S00100484",149,134,33,101,0,7,3,4,6,6,0,0,0,2
"S00100485",80,71,41,30,0,4,4,0,3,3,0,0,0,2
"S00100486",110,90,32,58,0,9,9,0,9,8,0,0,1,2
"S00100487",95,82,39,43,0,10,10,0,3,3,0,0,0,0
"S00100488",100,63,26,37,0,37,37,0,0,0,0,0,0,0
"S00100489",98,16,6,10,0,79,79,0,3,3,0,0,0,0
"S00100490",79,6,2,4,0,58,58,0,13,13,0,0,0,2
"S00100491",75,23,6,17,0,46,46,0,6,6,0,0,0,0
"S00100492",103,24,9,15,0,70,68,2,9,9,0,0,0,0
"S00100493",100,56,18,38,0,33,33,0,5,5,0,0,0,6
"S00100494",82,59,19,40,0,6,0,6,17,17,0,0,0,0
"S00100495",87,52,16,36,0,30,17,13,5,5,0,0,0,0
"S00100496",89,74,23,51,0,12,12,0,3,2,0,1,0,0
"S00100497",174,159,61,98,0,6,6,0,8,4,0,4,0,1
"S00100498",98,79,31,48,0,16,16,0,3,2,0,1,0,0
"S00100499",90,44,7,37,0,31,26,5,15,13,0,2,0,0
"S00100500",105,89,37,52,0,10,10,0,6,6,0,0,0,0
"S00100501",73,56,23,33,0,15,15,0,2,2,0,0,0,0
"S00100502",119,95,40,55,0,11,11,0,12,10,0,2,0,1
"S00100503",68,29,10,19,0,34,33,1,5,2,0,3,0,0
"S00100504",72,33,16,17,0,25,5,20,14,13,0,0,1,0
"S00100505",62,20,8,12,0,30,0,30,12,9,0,3,0,0
"S00100506",136,77,32,45,0,52,19,33,7,7,0,0,0,0
"S00100507",90,47,20,27,0,33,31,2,8,6,0,2,0,2
"S00100508",103,78,23,55,0,16,15,1,8,7,0,1,0,1
"S00100509",68,53,25,28,0,7,7,0,8,8,0,0,0,0
"S00100510",90,85,30,55,0,0,0,0,5,5,0,0,0,0
"S00100511",94,35,18,17,0,51,51,0,8,5,0,3,0,0
"S00100512",94,84,15,69,0,4,4,0,6,6,0,0,0,0
"S00100513",69,39,11,28,0,23,20,3,6,6,0,0,0,1
"S00100514",106,53,27,26,0,38,38,0,15,15,0,0,0,0
"S00100515",83,56,23,33,0,12,12,0,13,12,0,0,1,2
"S00100516",108,104,32,72,0,1,1,0,3,0,0,3,0,0
"S00100517",113,107,45,62,0,0,0,0,6,6,0,0,0,0
"S00100518",179,169,45,124,0,4,0,4,6,6,0,0,0,0
"S00100519",177,88,19,69,0,68,68,0,17,17,0,0,0,4
"S00100520",89,64,26,38,0,19,19,0,2,2,0,0,0,4
"S00100521",84,57,17,40,0,20,20,0,5,5,0,0,0,2
"S00100522",154,84,28,56,0,62,62,0,8,8,0,0,0,0
"S00100523",83,36,7,29,0,39,18,21,7,7,0,0,0,1
"S00100524",110,67,11,56,0,35,34,1,4,4,0,0,0,4
"S00100525",146,114,30,84,0,13,13,0,18,18,0,0,0,1
"S00100526",149,126,56,68,2,15,15,0,8,4,0,4,0,0
"S00100527",101,74,26,48,0,16,16,0,6,4,0,0,2,5
"S00100528",119,64,26,38,0,55,53,2,0,0,0,0,0,0
"S00100529",122,93,46,47,0,20,20,0,9,8,0,1,0,0
"S00100530",67,41,17,24,0,4,2,2,21,14,4,1,2,1
"S00100531",77,41,9,32,0,31,31,0,5,3,0,2,0,0
"S00100532",111,62,7,55,0,38,38,0,11,11,0,0,0,0
"S00100533",78,39,11,28,0,34,34,0,4,4,0,0,0,1
"S00100534",114,85,29,56,0,25,25,0,4,4,0,0,0,0
"S00100535",145,110,44,66,0,16,16,0,19,19,0,0,0,0
"S00100536",94,82,27,55,0,3,3,0,7,5,0,2,0,2
"S00100537",125,93,28,65,0,19,19,0,10,10,0,0,0,3
"S00100538",164,156,69,87,0,0,0,0,8,8,0,0,0,0
"S00100539",113,108,28,80,0,2,2,0,3,3,0,0,0,0
"S00100540",73,48,9,39,0,21,21,0,4,4,0,0,0,0
"S00100541",98,57,21,36,0,20,20,0,17,17,0,0,0,4
"S00100542",134,112,42,70,0,0,0,0,15,15,0,0,0,7
"S00100543",95,57,14,43,0,23,13,10,11,10,0,0,1,4
"S00100544",86,74,29,45,0,3,3,0,9,9,0,0,0,0
"S00100545",155,97,24,73,0,42,35,7,16,16,0,0,0,0
"S00100546",201,125,22,103,0,39,29,10,34,34,0,0,0,3
"S00100547",152,94,8,86,0,4,4,0,54,50,0,4,0,0
"S00100548",54,49,15,34,0,4,4,0,1,1,0,0,0,0
"S00100549",67,29,16,13,0,32,32,0,5,4,0,1,0,1
"S00100550",170,150,61,89,0,8,8,0,12,12,0,0,0,0
"S00100551",149,127,53,74,0,22,22,0,0,0,0,0,0,0
"S00100552",171,130,25,105,0,36,36,0,5,5,0,0,0,0
"S00100553",91,44,20,24,0,34,34,0,11,11,0,0,0,2
"S00100554",55,55,22,33,0,0,0,0,0,0,0,0,0,0
"S00100555",154,127,38,89,0,17,17,0,10,10,0,0,0,0
"S00100556",67,45,20,25,0,13,12,1,9,9,0,0,0,0
"S00100557",163,120,47,73,0,31,31,0,9,6,0,3,0,3
"S00100558",115,94,50,44,0,2,2,0,16,16,0,0,0,3
"S00100559",60,7,4,3,0,50,48,2,3,3,0,0,0,0
"S00100560",67,64,25,39,0,3,3,0,0,0,0,0,0,0
"S00100561",64,58,22,36,0,1,1,0,5,2,0,3,0,0
"S00100562",147,139,71,68,0,3,3,0,3,3,0,0,0,2
"S00100563",66,47,29,17,1,14,14,0,4,1,0,3,0,1
"S00100564",128,75,25,50,0,49,49,0,2,1,0,1,0,2
"S00100565",142,122,47,75,0,20,20,0,0,0,0,0,0,0
"S00100566",126,85,37,48,0,23,23,0,16,16,0,0,0,2
"S00100567",100,26,19,7,0,71,71,0,2,2,0,0,0,1
"S00100568",87,50,21,29,0,35,35,0,2,1,0,1,0,0
"S00100569",119,56,12,44,0,51,50,1,10,8,0,2,0,2
"S00100570",107,85,29,56,0,20,20,0,2,2,0,0,0,0
"S00100571",111,92,25,67,0,12,12,0,7,7,0,0,0,0
"S00100572",94,25,1,24,0,66,65,1,3,3,0,0,0,0
"S00100573",107,99,63,36,0,3,2,1,0,0,0,0,0,5
"S00100574",82,30,11,19,0,45,45,0,7,5,1,1,0,0
"S00100575",132,91,34,57,0,28,28,0,13,13,0,0,0,0
"S00100576",126,59,24,35,0,64,39,25,2,2,0,0,0,1
"S00100577",115,82,31,51,0,22,3,19,10,10,0,0,0,1
"S00100578",156,141,40,101,0,4,4,0,11,11,0,0,0,0
"S00100579",195,183,51,132,0,5,5,0,6,6,0,0,0,1
"S00100580",129,122,26,96,0,3,0,3,4,4,0,0,0,0
"S00100581",114,108,40,68,0,5,5,0,1,1,0,0,0,0
"S00100582",167,138,46,92,0,20,20,0,9,9,0,0,0,0
"S00100583",104,72,35,37,0,28,28,0,1,0,0,1,0,3
"S00100584",157,142,70,72,0,11,7,4,4,0,0,4,0,0
"S00100585",152,92,25,67,0,49,49,0,10,9,0,1,0,1
"S00100586",107,7,5,2,0,96,94,2,4,4,0,0,0,0
"S00100587",118,66,19,47,0,31,25,6,19,19,0,0,0,2
"S00100588",129,45,18,26,1,76,76,0,8,8,0,0,0,0
"S00100589",119,83,24,59,0,25,2,23,11,11,0,0,0,0
"S00100590",106,57,28,29,0,42,39,3,7,7,0,0,0,0
"S00100591",102,58,33,25,0,35,33,2,9,9,0,0,0,0
"S00100592",96,74,35,39,0,18,17,1,4,4,0,0,0,0
"S00100593",119,62,10,52,0,55,53,2,0,0,0,0,0,2
"S00100594",114,84,30,54,0,23,23,0,6,6,0,0,0,1
"S00100595",120,94,47,47,0,16,16,0,10,8,0,2,0,0
"S00100596",84,52,15,37,0,14,14,0,9,9,0,0,0,9
"S00100597",89,57,30,27,0,31,31,0,1,1,0,0,0,0
"S00100598",98,97,40,57,0,0,0,0,0,0,0,0,0,1
"S00100599",112,106,36,70,0,2,2,0,4,0,0,4,0,0
"S00100600",128,117,35,81,1,3,0,3,5,5,0,0,0,3
"S00100601",119,115,36,79,0,2,2,0,1,1,0,0,0,1
"S00100602",69,14,2,12,0,46,46,0,9,9,0,0,0,0
"S00100603",94,53,13,40,0,35,35,0,4,4,0,0,0,2
"S00100604",84,67,27,40,0,13,13,0,4,4,0,0,0,0
"S00100605",72,39,10,29,0,21,21,0,12,12,0,0,0,0
"S00100606",96,61,14,47,0,6,6,0,29,19,0,10,0,0
"S00100607",97,40,8,32,0,35,35,0,22,17,0,5,0,0
"S00100608",71,63,41,22,0,1,1,0,3,3,0,0,0,4
"S00100609",95,83,21,62,0,0,0,0,12,9,1,2,0,0
"S00100610",158,113,10,103,0,1,1,0,43,43,0,0,0,1
"S00100611",144,123,38,85,0,0,0,0,18,17,0,1,0,3
"S00100612",92,81,33,48,0,10,10,0,1,0,0,1,0,0
"S00100613",72,33,6,27,0,30,30,0,8,7,0,1,0,1
"S00100614",86,36,7,29,0,36,36,0,14,14,0,0,0,0
"S00100615",82,81,30,51,0,1,1,0,0,0,0,0,0,0
"S00100616",98,97,46,51,0,0,0,0,1,1,0,0,0,0
"S00100617",143,143,68,75,0,0,0,0,0,0,0,0,0,0
"S00100618",89,82,41,41,0,0,0,0,7,7,0,0,0,0
"S00100619",92,86,44,42,0,3,3,0,3,3,0,0,0,0
"S00100620",166,151,72,79,0,8,8,0,7,3,0,4,0,0
"S00100621",132,91,38,53,0,27,23,4,13,13,0,0,0,1
"S00100622",144,113,32,81,0,14,1,13,17,17,0,0,0,0
"S00100623",193,173,43,130,0,13,0,13,7,3,0,4,0,0
"S00100624",169,142,64,78,0,4,4,0,21,21,0,0,0,2
