"output_area","ALL PEOPLE AGED 16 - 74","Number of people aged 16 - 74: Large employers and higher managers","Number of people aged 16 - 74: Higher professional occupations","Number of people aged 16 - 74: Lower managerial and professional occupations","Number of people aged 16 - 74: Intermediate occupations","Number of people aged 16 - 74: Small employers and own account workers","Number of people aged 16 - 74: Lower supervisory and technical occupations","Number of people aged 16 - 74: Semi-routine occupations","Number of people aged 16 - 74: Routine occupations","Number of people aged 16 - 74: Never worked","Number of people aged 16 - 74: Long-term unemployed","Number of people aged 16 - 74: Full-time students","Number of people aged 16 - 74: Not classifiable for other reasons"
"60QA000001",47,2.13,8.51,21.28,14.89,12.77,6.38,0,6.38,0,2.13,4.26,21.28
"60QA000002",128,7.03,12.5,18.75,10.94,13.28,3.13,7.81,4.69,3.13,1.56,5.47,11.72
"60QA000003",56,7.14,10.71,21.43,7.14,14.29,7.14,5.36,7.14,3.57,1.79,5.36,8.93
"60QA000004",51,13.73,3.92,25.49,1.96,3.92,1.96,5.88,3.92,5.88,1.96,13.73,17.65
"60QA000005",54,18.52,5.56,25.93,5.56,9.26,3.7,0,0,3.7,0,9.26,18.52
"60QA000006",162,6.79,3.7,7.41,3.09,30.86,5.56,4.94,7.41,19.75,0,4.94,5.56
"60QA000007",53,7.55,7.55,22.64,7.55,13.21,3.77,1.89,0,0,0,13.21,22.64
"60QA000008",76,3.95,14.47,17.11,9.21,13.16,6.58,3.95,6.58,0,0,9.21,15.79
"60QA000009",122,5.74,6.56,14.75,8.2,20.49,5.74,13.93,4.92,0.82,0,4.92,13.93
"60QA000010",54,0,16.67,24.07,12.96,9.26,9.26,5.56,7.41,1.85,0,9.26,3.7
"60QA000011",46,6.52,0,26.09,13.04,15.22,8.7,10.87,8.7,2.17,0,2.17,6.52
"60QA000012",65,3.08,13.85,29.23,12.31,13.85,4.62,4.62,3.08,0,0,4.62,10.77
"60QA000013",165,4.85,8.48,19.39,7.88,10.91,10.3,11.52,9.7,1.82,0,5.45,9.7
"60QA000014",82,8.54,15.85,29.27,3.66,10.98,3.66,9.76,0,1.22,0,8.54,8.54
"60QA000015",57,3.51,24.56,15.79,15.79,7.02,10.53,5.26,1.75,0,0,10.53,5.26
"60QA000016",114,7.02,14.04,28.95,8.77,1.75,6.14,8.77,5.26,1.75,0.88,12.28,4.39
"60QA000017",109,1.83,0.92,8.26,8.26,1.83,6.42,13.76,20.18,5.5,2.75,1.83,28.44
"60QA000018",96,1.04,3.13,15.63,11.46,3.13,7.29,21.88,19.79,2.08,0,3.13,11.46
"60QA000019",56,0,16.07,26.79,5.36,3.57,5.36,0,14.29,0,0,25,3.57
"60QA000020",64,4.69,10.94,25,12.5,4.69,0,15.63,3.13,0,0,23.44,0
"60QA000021",55,0,14.55,14.55,9.09,1.82,10.91,16.36,3.64,0,0,27.27,1.82
"60QA000022",52,3.85,15.38,23.08,5.77,0,7.69,13.46,5.77,0,1.92,23.08,0
"60QA000023",81,0,22.22,25.93,7.41,3.7,9.88,8.64,3.7,0,2.47,8.64,7.41
"60QA000024",85,2.35,14.12,18.82,4.71,7.06,4.71,5.88,8.24,1.18,2.35,12.94,17.65
"60QA000025",50,0,0,12,4,0,4,14,6,10,0,6,44
"60QA000026",45,0,6.67,22.22,6.67,2.22,4.44,15.56,2.22,0,0,13.33,26.67
"60QA000027",67,1.49,13.43,25.37,5.97,1.49,8.96,5.97,10.45,0,0,19.4,7.46
"60QA000028",119,1.68,12.61,21.85,4.2,0.84,7.56,6.72,1.68,0,0,41.18,1.68
"60QA000029",56,3.57,8.93,16.07,7.14,0,3.57,12.5,5.36,0,0,35.71,7.14
"60QA000030",62,1.61,0,14.52,11.29,0,8.06,17.74,16.13,6.45,1.61,4.84,17.74
"60QA000031",66,0,7.58,12.12,7.58,0,6.06,7.58,3.03,0,0,50,6.06
"60QA000032",86,1.16,10.47,16.28,11.63,2.33,4.65,11.63,11.63,4.65,1.16,20.93,3.49
"60QA000033",111,2.7,17.12,24.32,6.31,3.6,5.41,9.91,4.5,0,0.9,24.32,0.9
"60QA000034",170,0,1.18,0.59,1.18,0,0,0,0.59,0,0.59,95.88,0
"60QA000035",162,0.62,4.32,19.75,8.64,0,4.94,9.26,1.85,0.62,0,48.77,1.23
"60QA000036",107,0.93,5.61,21.5,6.54,0.93,9.35,11.21,4.67,2.8,2.8,27.1,6.54
"60QA000037",60,0,6.67,15,8.33,0,5,10,6.67,0,1.67,46.67,0
"60QA000038",79,0,2.53,12.66,6.33,1.27,7.59,18.99,21.52,6.33,1.27,6.33,15.19
"60QA000039",131,3.82,22.14,24.43,4.58,8.4,5.34,7.63,2.29,0,1.53,9.92,9.92
"60QA000040",104,6.73,11.54,33.65,6.73,7.69,2.88,7.69,3.85,3.85,0,6.73,8.65
"60QA000041",63,4.76,19.05,30.16,14.29,4.76,9.52,4.76,1.59,1.59,0,1.59,7.94
"60QA000042",50,0,14,42,10,2,8,8,4,2,0,6,4
"60QA000043",89,0,3.37,15.73,11.24,5.62,4.49,13.48,8.99,0,3.37,6.74,26.97
"60QA000044",105,4.76,20,22.86,4.76,1.9,3.81,3.81,0.95,4.76,0,22.86,9.52
"60QA000045",62,8.06,17.74,38.71,4.84,4.84,4.84,1.61,4.84,1.61,1.61,0,11.29
"60QA000046",87,3.45,18.39,28.74,9.2,11.49,6.9,6.9,1.15,0,0,11.49,2.3
"60QA000047",105,8.57,18.1,31.43,12.38,3.81,2.86,0.95,0.95,0,0,9.52,11.43
"60QA000048",90,4.44,15.56,21.11,5.56,6.67,6.67,10,4.44,6.67,0,7.78,11.11
"60QA000049",94,5.32,13.83,27.66,19.15,1.06,6.38,8.51,3.19,1.06,1.06,3.19,9.57
"60QA000050",109,2.75,13.76,26.61,17.43,5.5,11.01,6.42,5.5,0,0,7.34,3.67
"60QA000051",61,0,4.92,9.84,8.2,6.56,9.84,13.11,11.48,0,1.64,16.39,18.03
"60QA000052",88,0,18.18,23.86,6.82,3.41,12.5,2.27,3.41,1.14,0,21.59,6.82
"60QA000053",70,7.14,20,21.43,12.86,2.86,7.14,10,7.14,1.43,0,7.14,2.86
"60QA000054",101,2.97,9.9,35.64,10.89,5.94,3.96,6.93,8.91,0,0,9.9,4.95
"60QA000055",121,3.31,13.22,25.62,6.61,14.05,4.13,6.61,0.83,0.83,0.83,16.53,7.44
"60QA000056",98,1.02,23.47,22.45,12.24,1.02,10.2,13.27,3.06,0,1.02,2.04,10.2
"60QA000057",66,9.09,19.7,21.21,6.06,3.03,10.61,6.06,4.55,1.52,0,16.67,1.52
"60QA000058",80,6.25,18.75,15,6.25,8.75,11.25,5,2.5,2.5,0,13.75,10
"60QA000059",74,1.35,12.16,20.27,12.16,2.7,14.86,5.41,5.41,0,0,2.7,22.97
"60QA000060",76,1.32,13.16,27.63,10.53,3.95,7.89,15.79,9.21,0,0,5.26,5.26
"60QA000061",77,0,7.79,28.57,9.09,3.9,5.19,5.19,5.19,1.3,0,25.97,7.79
"60QA000062",60,3.33,5,40,15,1.67,13.33,6.67,3.33,1.67,0,3.33,6.67
"60QA000063",65,1.54,12.31,21.54,9.23,1.54,7.69,12.31,1.54,0,0,29.23,3.08
"60QA000064",93,2.15,7.53,31.18,7.53,2.15,17.2,8.6,7.53,0,1.08,12.9,2.15
"60QA000065",96,2.08,10.42,34.38,9.38,5.21,7.29,7.29,4.17,0,2.08,13.54,4.17
"60QA000066",78,2.56,8.97,23.08,17.95,5.13,11.54,11.54,5.13,0,0,6.41,7.69
"60QA000067",68,2.94,20.59,32.35,14.71,0,5.88,10.29,1.47,0,2.94,4.41,4.41
"60QA000068",65,1.54,9.23,15.38,7.69,4.62,12.31,10.77,6.15,0,1.54,27.69,3.08
"60QA000069",104,0.96,6.73,17.31,7.69,11.54,4.81,9.62,16.35,3.85,2.88,11.54,6.73
"60QA000070",48,2.08,8.33,12.5,12.5,14.58,12.5,8.33,10.42,2.08,2.08,6.25,8.33
"60QA000071",64,1.56,14.06,25,15.63,9.38,3.13,9.38,7.81,0,0,9.38,4.69
"60QA000072",59,1.69,15.25,27.12,6.78,3.39,6.78,8.47,6.78,0,0,15.25,8.47
"60QA000073",73,2.74,10.96,17.81,15.07,1.37,10.96,10.96,9.59,0,1.37,9.59,9.59
"60QA000074",89,2.25,15.73,16.85,11.24,3.37,10.11,8.99,2.25,2.25,0,16.85,10.11
"60QA000075",59,0,20.34,28.81,8.47,0,3.39,6.78,5.08,0,0,20.34,6.78
"60QA000076",151,0,6.62,13.91,3.31,2.65,5.96,12.58,8.61,1.32,2.65,32.45,9.93
"60QA000077",56,1.79,0,10.71,3.57,1.79,14.29,25,28.57,1.79,0,3.57,8.93
"60QA000078",118,0.85,2.54,21.19,12.71,4.24,11.02,10.17,14.41,3.39,0,6.78,12.71
"60QA000079",46,2.17,2.17,10.87,2.17,2.17,10.87,17.39,26.09,0,8.7,4.35,13.04
"60QA000080",85,0,1.18,11.76,12.94,2.35,8.24,18.82,27.06,1.18,1.18,3.53,11.76
"60QA000081",55,0,0,9.09,7.27,1.82,9.09,27.27,20,3.64,1.82,7.27,12.73
"60QA000082",178,1.12,2.81,11.8,8.99,7.87,8.99,15.17,18.54,5.06,2.81,2.81,14.04
"60QA000083",82,3.66,3.66,25.61,9.76,3.66,6.1,15.85,12.2,0,0,2.44,17.07
"60QA000084",76,0,0,15.79,7.89,5.26,9.21,9.21,22.37,2.63,0,1.32,26.32
"60QA000085",93,0,0,16.13,9.68,2.15,10.75,11.83,19.35,1.08,1.08,5.38,22.58
"60QA000086",88,0,4.55,19.32,6.82,1.14,12.5,12.5,14.77,0,0,6.82,21.59
"60QA000087",113,2.65,5.31,17.7,14.16,0.88,7.96,16.81,8.85,2.65,0,7.96,15.04
"60QA000088",128,1.56,3.91,12.5,14.06,4.69,8.59,9.38,19.53,0.78,0,9.38,15.63
"60QA000089",73,0,5.48,21.92,10.96,1.37,6.85,23.29,13.7,0,4.11,1.37,10.96
"60QA000090",70,0,0,24.29,20,5.71,8.57,11.43,12.86,4.29,1.43,0,11.43
"60QA000091",77,0,0,14.29,14.29,1.3,14.29,24.68,12.99,0,0,9.09,9.09
"60QA000092",58,3.45,5.17,22.41,10.34,5.17,10.34,15.52,17.24,0,0,6.9,3.45
"60QA000093",88,0,3.41,15.91,7.95,1.14,9.09,18.18,25,2.27,1.14,6.82,9.09
"60QA000094",66,0,1.52,13.64,13.64,1.52,19.7,18.18,18.18,0,0,7.58,6.06
"60QA000095",58,1.72,6.9,20.69,15.52,3.45,17.24,10.34,12.07,1.72,0,5.17,5.17
"60QA000096",100,1,3,21,14,5,13,12,13,1,1,10,6
"60QA000097",78,1.28,8.97,26.92,10.26,2.56,3.85,19.23,15.38,1.28,3.85,0,6.41
"60QA000098",71,1.41,2.82,18.31,11.27,0,15.49,15.49,15.49,4.23,1.41,2.82,11.27
"60QA000099",87,1.15,6.9,11.49,10.34,2.3,5.75,19.54,25.29,2.3,2.3,6.9,5.75
"60QA000100",55,0,3.64,16.36,14.55,3.64,9.09,18.18,14.55,1.82,0,3.64,14.55
"60QA000101",54,0,1.85,22.22,14.81,3.7,12.96,14.81,16.67,1.85,0,3.7,7.41
"60QA000102",65,1.54,4.62,20,10.77,3.08,15.38,16.92,18.46,1.54,0,1.54,6.15
"60QA000103",68,0,4.41,25,25,1.47,5.88,5.88,13.24,0,1.47,5.88,11.76
"60QA000104",64,1.56,3.13,18.75,3.13,1.56,7.81,18.75,17.19,3.13,1.56,17.19,6.25
"60QA000105",50,2,4,24,2,2,10,18,14,2,0,4,18
"60QA000106",67,0,7.46,20.9,11.94,1.49,11.94,17.91,13.43,2.99,1.49,2.99,7.46
"60QA000107",70,0,1.43,11.43,14.29,2.86,20,17.14,15.71,0,1.43,8.57,7.14
"60QA000108",98,0,11.22,23.47,11.22,5.1,11.22,13.27,12.24,2.04,0,4.08,6.12
"60QA000109",59,0,11.86,15.25,16.95,1.69,13.56,13.56,11.86,0,1.69,8.47,5.08
"60QA000110",102,0,0,11.76,10.78,0.98,13.73,18.63,17.65,4.9,1.96,0.98,18.63
"60QA000111",69,0,4.35,20.29,13.04,2.9,13.04,21.74,10.14,0,0,7.25,7.25
"60QA000112",43,2.33,0,13.95,4.65,2.33,2.33,16.28,13.95,2.33,0,0,41.86
"60QA000113",39,0,0,10.26,5.13,0,7.69,23.08,28.21,7.69,0,0,17.95
"60QA000114",57,0,0,10.53,7.02,3.51,7.02,24.56,19.3,0,3.51,12.28,12.28
"60QA000115",54,1.85,0,12.96,3.7,0,7.41,11.11,20.37,1.85,0,1.85,38.89
"60QA000116",65,0,0,9.23,1.54,0,10.77,12.31,10.77,3.08,1.54,0,50.77
"60QA000117",84,1.19,10.71,2.38,9.52,2.38,8.33,15.48,21.43,8.33,0,5.95,14.29
"60QA000118",82,1.22,1.22,14.63,8.54,1.22,10.98,18.29,15.85,1.22,0,7.32,19.51
"60QA000119",76,0,2.63,13.16,9.21,3.95,10.53,10.53,15.79,2.63,2.63,3.95,25
"60QA000120",74,0,2.7,12.16,6.76,4.05,16.22,17.57,16.22,2.7,0,2.7,18.92
"60QA000121",100,0,1,10,13,7,7,14,25,2,2,3,16
"60QA000122",75,0,1.33,10.67,9.33,4,16,18.67,18.67,2.67,1.33,2.67,14.67
"60QA000123",83,2.41,4.82,12.05,8.43,7.23,3.61,18.07,20.48,0,3.61,2.41,16.87
"60QA000124",92,2.17,0,9.78,3.26,3.26,7.61,20.65,28.26,1.09,2.17,6.52,15.22
"60QA000125",91,0,1.1,6.59,5.49,1.1,12.09,15.38,20.88,5.49,3.3,7.69,20.88
"60QA000126",89,0,1.12,7.87,5.62,3.37,12.36,15.73,21.35,6.74,3.37,7.87,14.61
"60QA000127",98,0,1.02,9.18,5.1,1.02,8.16,18.37,32.65,5.1,2.04,3.06,14.29
"60QA000128",72,0,1.39,12.5,1.39,1.39,12.5,18.06,16.67,4.17,2.78,6.94,22.22
"60QA000129",80,0,0,13.75,7.5,2.5,11.25,28.75,21.25,1.25,0,6.25,7.5
"60QA000130",67,0,0,5.97,10.45,2.99,7.46,31.34,28.36,2.99,0,4.48,5.97
"60QA000131",107,0,1.87,12.15,4.67,0,10.28,21.5,23.36,7.48,9.35,3.74,5.61
"60QA000132",70,1.43,1.43,8.57,2.86,0,18.57,20,21.43,2.86,1.43,4.29,17.14
"60QA000133",84,2.38,1.19,11.9,10.71,3.57,14.29,17.86,7.14,1.19,0,1.19,28.57
"60QA000134",52,0,0,11.54,9.62,0,7.69,19.23,34.62,1.92,1.92,0,13.46
"60QA000135",45,0,0,13.33,6.67,2.22,17.78,20,17.78,4.44,2.22,2.22,13.33
"60QA000136",70,0,15.71,17.14,15.71,7.14,8.57,17.14,7.14,1.43,0,2.86,7.14
"60QA000137",68,2.94,5.88,22.06,10.29,5.88,7.35,16.18,19.12,0,0,7.35,2.94
"60QA000138",89,0,4.49,25.84,13.48,1.12,12.36,13.48,12.36,2.25,0,3.37,11.24
"60QA000139",88,2.27,9.09,20.45,6.82,6.82,15.91,19.32,9.09,0,0,4.55,5.68
"60QA000140",63,0,1.59,17.46,3.17,1.59,15.87,17.46,17.46,3.17,1.59,3.17,17.46
"60QA000141",63,0,0,14.29,6.35,0,7.94,11.11,22.22,3.17,1.59,9.52,23.81
"60QA000142",48,0,4.17,14.58,14.58,2.08,2.08,10.42,20.83,0,2.08,4.17,25
"60QA000143",67,0,1.49,4.48,4.48,0,4.48,28.36,34.33,2.99,0,1.49,17.91
"60QA000144",101,0,0,3.96,3.96,1.98,10.89,18.81,26.73,2.97,0.99,10.89,18.81
"60QA000145",107,0.93,1.87,6.54,0.93,0.93,11.21,14.02,26.17,3.74,2.8,7.48,23.36
"60QA000146",39,0,2.56,5.13,5.13,0,0,7.69,12.82,5.13,0,0,61.54
"60QA000147",71,4.23,1.41,11.27,5.63,0,9.86,26.76,22.54,1.41,0,7.04,9.86
"60QA000148",114,2.63,0.88,7.02,2.63,2.63,10.53,19.3,25.44,2.63,1.75,4.39,20.18
"60QA000149",63,0,0,7.94,4.76,1.59,6.35,14.29,33.33,6.35,3.17,6.35,15.87
"60QA000150",78,1.28,0,8.97,3.85,0,8.97,23.08,28.21,3.85,2.56,5.13,14.1
"60QA000151",130,3.85,3.85,19.23,10.77,10.77,7.69,16.15,7.69,3.85,0,3.08,13.08
"60QA000152",55,3.64,3.64,18.18,12.73,9.09,1.82,14.55,7.27,0,1.82,5.45,21.82
"60QA000153",76,1.32,2.63,28.95,7.89,6.58,10.53,18.42,6.58,1.32,0,5.26,10.53
"60QA000154",73,2.74,2.74,20.55,10.96,2.74,10.96,15.07,10.96,2.74,5.48,1.37,13.7
"60QA000155",57,0,1.75,8.77,8.77,5.26,0,19.3,21.05,3.51,0,0,31.58
"60QA000156",122,0.82,0,10.66,6.56,0.82,11.48,15.57,22.13,4.92,1.64,6.56,18.85
"60QA000157",82,0,0,4.88,6.1,2.44,8.54,15.85,24.39,3.66,1.22,3.66,29.27
"60QA000158",127,0,0.79,3.15,2.36,0.79,11.81,15.75,33.07,3.94,0,9.45,18.9
"60QA000159",89,1.12,0,5.62,7.87,7.87,14.61,17.98,20.22,4.49,1.12,2.25,16.85
"60QA000160",75,0,1.33,13.33,8,2.67,13.33,17.33,14.67,1.33,1.33,1.33,25.33
"60QA000161",77,2.6,1.3,7.79,5.19,3.9,15.58,15.58,22.08,5.19,2.6,0,18.18
"60QA000162",87,8.05,12.64,26.44,4.6,2.3,5.75,10.34,6.9,1.15,0,9.2,12.64
"60QA000163",72,4.17,0,11.11,9.72,4.17,12.5,16.67,13.89,0,0,2.78,25
"60QA000164",77,2.6,1.3,18.18,5.19,5.19,11.69,15.58,19.48,0,1.3,6.49,12.99
"60QA000165",75,5.33,4,32,10.67,8,12,12,6.67,0,1.33,2.67,5.33
"60QA000166",100,5,5,12,10,5,12,9,15,1,0,2,24
"60QA000167",114,0,1.75,10.53,11.4,4.39,6.14,18.42,21.05,0,0,4.39,21.93
"60QA000168",101,3.96,9.9,23.76,12.87,2.97,0.99,4.95,1.98,0,0,8.91,29.7
"60QA000169",85,2.35,3.53,23.53,9.41,7.06,8.24,15.29,4.71,1.18,0,7.06,17.65
"60QA000170",96,2.08,9.38,20.83,12.5,7.29,5.21,6.25,8.33,3.13,0,8.33,16.67
"60QA000171",21,0,0,4.76,NA,0,4.76,9.52,0,0,0,0,80.95
"60QA000172",71,2.82,0,15.49,14.08,5.63,8.45,19.72,9.86,1.41,0,2.82,19.72
"60QA000173",87,0,1.15,13.79,5.75,5.75,9.2,26.44,14.94,0,0,5.75,17.24
"60QA000174",89,0,2.25,25.84,7.87,5.62,4.49,15.73,7.87,1.12,0,7.87,21.35
"60QA000175",115,4.35,5.22,13.04,7.83,2.61,9.57,16.52,14.78,3.48,0,7.83,14.78
"60QA000176",84,1.19,4.76,13.1,5.95,3.57,4.76,16.67,11.9,3.57,2.38,4.76,27.38
"60QA000177",86,1.16,1.16,15.12,10.47,3.49,10.47,13.95,18.6,3.49,1.16,6.98,13.95
"60QA000178",51,0,0,7.84,15.69,5.88,11.76,17.65,13.73,1.96,1.96,3.92,19.61
"60QA000179",52,0,1.92,15.38,5.77,9.62,9.62,19.23,15.38,0,0,5.77,17.31
"60QA000180",83,0,7.23,16.87,7.23,6.02,13.25,15.66,19.28,1.2,0,3.61,9.64
"60QA000181",70,1.43,1.43,11.43,11.43,5.71,5.71,20,14.29,1.43,2.86,2.86,21.43
"60QA000182",78,1.28,0,11.54,6.41,0,10.26,17.95,19.23,5.13,2.56,6.41,19.23
"60QA000183",85,3.53,3.53,7.06,8.24,1.18,8.24,22.35,18.82,2.35,0,8.24,16.47
"60QA000184",78,1.28,0,10.26,5.13,5.13,10.26,20.51,30.77,1.28,1.28,5.13,8.97
"60QA000185",90,0,0,12.22,13.33,5.56,10,13.33,24.44,2.22,1.11,0,17.78
"60QA000186",59,0,0,5.08,3.39,3.39,10.17,11.86,18.64,6.78,1.69,8.47,30.51
"60QA000187",94,1.06,0,8.51,7.45,2.13,5.32,11.7,15.96,1.06,1.06,3.19,42.55
"60QA000188",55,1.82,0,20,7.27,1.82,7.27,20,12.73,0,0,7.27,21.82
"60QA000189",72,1.39,2.78,12.5,4.17,4.17,6.94,11.11,22.22,0,0,8.33,26.39
"60QA000190",88,0,0,5.68,10.23,2.27,7.95,22.73,15.91,1.14,2.27,4.55,27.27
"60QA000191",109,0.92,3.67,11.93,11.93,3.67,11.93,19.27,13.76,1.83,0,3.67,17.43
"60QA000192",101,1.98,0,8.91,11.88,3.96,8.91,10.89,24.75,3.96,0,1.98,22.77
"60QA000193",63,0,0,11.11,7.94,3.17,7.94,19.05,14.29,0,1.59,1.59,33.33
"60QA000194",82,1.22,1.22,7.32,8.54,4.88,6.1,15.85,12.2,3.66,0,6.1,32.93
"60QA000195",73,0,0,15.07,5.48,4.11,12.33,9.59,17.81,1.37,0,8.22,26.03
"60QA000196",80,1.25,1.25,10,7.5,1.25,12.5,13.75,15,1.25,5,5,26.25
"60QA000197",87,0,1.15,19.54,9.2,5.75,8.05,11.49,22.99,3.45,1.15,4.6,12.64
"60QA000198",67,0,0,10.45,11.94,0,7.46,14.93,14.93,2.99,0,5.97,31.34
"60QA000199",89,2.25,1.12,4.49,10.11,4.49,5.62,12.36,11.24,3.37,0,4.49,40.45
"60QA000200",112,1.79,1.79,7.14,11.61,3.57,9.82,11.61,16.07,1.79,0,4.46,30.36
"60QA000201",91,0,2.2,13.19,10.99,5.49,7.69,16.48,9.89,2.2,1.1,1.1,29.67
"60QA000202",24,0,0,NA,12.5,8.33,4.17,8.33,0,0,0,4.17,62.5
"60QA000203",102,0,2.94,13.73,6.86,1.96,9.8,20.59,22.55,0.98,0,4.9,15.69
"60QA000204",57,0,1.75,8.77,10.53,0,14.04,19.3,15.79,0,0,0,29.82
"60QA000205",62,0,1.61,6.45,4.84,1.61,6.45,12.9,17.74,6.45,0,4.84,37.1
"60QA000206",48,0,0,10.42,4.17,6.25,6.25,20.83,12.5,4.17,0,2.08,33.33
"60QA000207",43,0,2.33,13.95,6.98,2.33,9.3,23.26,18.6,0,0,0,23.26
"60QA000208",122,0.82,4.1,8.2,10.66,5.74,9.02,18.03,16.39,4.1,0.82,4.92,17.21
"60QA000209",98,1.02,1.02,13.27,10.2,3.06,8.16,22.45,18.37,4.08,1.02,1.02,16.33
"60QA000210",75,1.33,0,12,9.33,2.67,9.33,13.33,25.33,5.33,1.33,4,16
"60QA000211",95,2.11,0,4.21,10.53,3.16,10.53,21.05,15.79,2.11,1.05,3.16,26.32
"60QA000212",121,0.83,2.48,12.4,9.92,3.31,4.96,14.05,18.18,1.65,0.83,0.83,30.58
"60QA000213",135,2.22,1.48,5.19,11.11,4.44,11.11,16.3,16.3,2.96,0,2.22,26.67
"60QA000214",117,0,0.85,11.97,8.55,8.55,9.4,22.22,10.26,1.71,0,6.84,19.66
"60QA000215",79,3.8,1.27,12.66,11.39,3.8,13.92,6.33,16.46,2.53,0,3.8,24.05
"60QA000216",94,1.06,2.13,12.77,8.51,1.06,8.51,23.4,14.89,3.19,2.13,10.64,11.7
"60QA000217",85,2.35,0,12.94,12.94,4.71,8.24,14.12,18.82,2.35,0,11.76,11.76
"60QA000218",86,8.14,15.12,36.05,8.14,6.98,4.65,3.49,0,0,1.16,5.81,10.47
"60QA000219",105,9.52,15.24,20,3.81,10.48,2.86,1.9,3.81,0,0,10.48,21.9
"60QA000220",69,8.7,7.25,27.54,10.14,8.7,4.35,2.9,4.35,1.45,0,10.14,14.49
"60QA000221",102,6.86,14.71,19.61,13.73,8.82,4.9,8.82,2.94,0.98,0,3.92,14.71
"60QA000222",131,6.11,15.27,24.43,7.63,3.05,3.05,8.4,3.05,1.53,0.76,12.98,13.74
"60QA000223",275,5.09,6.18,7.27,2.18,4,2.18,1.45,2.18,0.73,0,63.27,5.45
"60QA000224",97,7.22,13.4,26.8,6.19,13.4,2.06,4.12,0,1.03,1.03,4.12,20.62
"60QA000225",90,7.78,22.22,18.89,8.89,6.67,4.44,2.22,1.11,0,0,4.44,23.33
"60QA000226",98,6.12,18.37,23.47,6.12,7.14,5.1,6.12,3.06,0,0,12.24,12.24
"60QA000227",92,9.78,19.57,28.26,6.52,4.35,2.17,6.52,2.17,0,0,6.52,14.13
"60QA000228",61,4.92,21.31,34.43,3.28,1.64,1.64,1.64,1.64,1.64,0,3.28,24.59
"60QA000229",72,5.56,13.89,18.06,2.78,20.83,4.17,9.72,2.78,1.39,1.39,13.89,5.56
"60QA000230",55,7.27,9.09,30.91,12.73,5.45,3.64,3.64,1.82,0,0,3.64,21.82
"60QA000231",77,5.19,18.18,16.88,7.79,3.9,5.19,11.69,6.49,0,0,3.9,20.78
"60QA000232",132,4.55,6.82,28.79,9.09,7.58,6.82,9.09,3.79,0,2.27,10.61,10.61
"60QA000233",136,3.68,18.38,26.47,8.82,9.56,2.94,3.68,2.94,2.21,2.21,6.62,12.5
"60QA000234",92,5.43,23.91,27.17,8.7,2.17,1.09,9.78,1.09,3.26,0,5.43,11.96
"60QA000235",80,7.5,13.75,27.5,10,10,7.5,2.5,7.5,1.25,1.25,1.25,10
"60QA000236",88,6.82,15.91,23.86,5.68,2.27,4.55,5.68,2.27,4.55,1.14,12.5,14.77
"60QA000237",72,5.56,18.06,27.78,9.72,4.17,6.94,4.17,1.39,1.39,0,11.11,9.72
"60QA000238",72,4.17,18.06,20.83,18.06,1.39,9.72,6.94,4.17,0,0,9.72,6.94
"60QA000239",58,1.72,24.14,27.59,6.9,3.45,1.72,8.62,1.72,0,0,24.14,0
"60QA000240",64,3.13,7.81,17.19,25,0,10.94,10.94,4.69,0,1.56,18.75,0
"60QA000241",55,1.82,12.73,23.64,20,1.82,7.27,10.91,5.45,1.82,0,7.27,7.27
"60QA000242",109,0,4.59,19.27,6.42,2.75,10.09,6.42,5.5,2.75,0.92,41.28,0
"60QA000243",58,0,18.97,37.93,10.34,0,8.62,5.17,3.45,0,0,15.52,0
"60QA000244",69,1.45,7.25,30.43,17.39,5.8,8.7,5.8,2.9,0,0,14.49,5.8
"60QA000245",64,6.25,0,21.88,10.94,4.69,3.13,1.56,6.25,0,3.13,37.5,4.69
"60QA000246",99,0,13.13,27.27,6.06,3.03,13.13,15.15,7.07,0,0,12.12,3.03
"60QA000247",64,0,7.81,28.13,17.19,1.56,9.38,7.81,4.69,1.56,0,18.75,3.13
"60QA000248",97,1.03,8.25,21.65,12.37,2.06,5.15,17.53,5.15,2.06,2.06,13.4,9.28
"60QA000249",62,0,1.61,14.52,9.68,1.61,8.06,19.35,8.06,0,3.23,32.26,1.61
"60QA000250",70,2.86,17.14,32.86,10,1.43,4.29,7.14,8.57,2.86,2.86,10,0
"60QA000251",57,3.51,7.02,22.81,5.26,0,7.02,5.26,8.77,17.54,5.26,17.54,0
"60QA000252",67,7.46,11.94,22.39,10.45,0,7.46,8.96,7.46,4.48,0,5.97,13.43
"60QA000253",82,4.88,13.41,23.17,3.66,2.44,6.1,8.54,12.2,3.66,3.66,12.2,6.1
"60QA000254",126,1.59,7.14,20.63,14.29,1.59,10.32,10.32,4.76,2.38,0.79,18.25,7.94
"60QA000255",105,0,7.62,35.24,17.14,0.95,7.62,12.38,4.76,0,0,8.57,5.71
"60QA000256",106,2.83,16.04,29.25,12.26,2.83,10.38,6.6,6.6,1.89,0,5.66,5.66
"60QA000257",71,2.82,16.9,26.76,9.86,1.41,5.63,7.04,5.63,0,0,18.31,5.63
"60QA000258",75,0,17.33,25.33,10.67,4,9.33,9.33,5.33,0,0,6.67,12
"60QA000259",80,5,20,16.25,8.75,2.5,5,5,1.25,5,1.25,10,20
"60QA000260",65,4.62,10.77,24.62,10.77,6.15,9.23,9.23,1.54,0,0,16.92,6.15
