dz_2001,total,good,not_good
S01000001,872,842,30
S01000002,678,667,11
S01000003,788,781,7
S01000004,612,601,11
S01000005,643,626,17
S01000006,644,619,25
S01000007,751,720,31
S01000008,580,563,17
S01000009,681,660,21
S01000010,514,500,14
S01000011,1043,1032,11
S01000012,1528,1509,19
S01000013,836,812,24
S01000014,881,849,32
S01000015,669,659,10
S01000016,540,536,4
S01000017,848,817,31
S01000018,520,512,8
S01000019,648,614,34
S01000020,914,884,30
S01000021,861,816,45
S01000022,627,622,5
S01000023,762,751,11
S01000024,519,508,11
S01000025,865,841,24
S01000026,849,794,55
S01000027,798,789,9
S01000028,919,857,62
S01000029,729,722,7
S01000030,449,419,30
S01000031,941,917,24
S01000032,1063,999,64
S01000033,802,744,58
S01000034,1238,1224,14
S01000035,1034,1002,32
S01000036,683,646,37
S01000037,765,729,36
S01000038,678,634,44
S01000039,902,854,48
S01000040,934,892,42
S01000041,831,791,40
S01000042,755,696,59
S01000043,896,866,30
S01000044,959,908,51
S01000045,569,556,13
S01000046,754,733,21
S01000047,807,759,48
S01000048,960,939,21
S01000049,747,728,19
S01000050,744,727,17
S01000051,797,780,17
S01000052,627,580,47
S01000053,1100,1039,61
S01000054,801,779,22
S01000055,803,754,49
S01000056,1014,983,31
S01000057,699,664,35
S01000058,712,706,6
S01000059,957,944,13
S01000060,634,592,42
S01000061,1001,975,26
S01000062,1038,1023,15
S01000063,910,891,19
S01000064,623,590,33
S01000065,1002,974,28
S01000066,959,913,46
S01000067,1065,1033,32
S01000068,879,854,25
S01000069,718,655,63
S01000070,658,628,30
S01000071,812,759,53
S01000072,907,852,55
S01000073,630,614,16
S01000074,870,811,59
S01000075,539,522,17
S01000076,721,712,9
S01000077,951,937,14
S01000078,1097,1057,40
S01000079,1448,1427,21
S01000080,1015,997,18
S01000081,889,882,7
S01000082,933,883,50
S01000083,774,758,16
S01000084,859,810,49
S01000085,520,510,10
S01000086,725,711,14
S01000087,1071,1044,27
S01000088,934,918,16
S01000089,947,928,19
S01000090,769,758,11
S01000091,1096,1068,28
S01000092,906,891,15
S01000093,735,723,12
S01000094,712,703,9
S01000095,717,702,15
S01000096,690,649,41
S01000097,1001,981,20
S01000098,1240,1209,31
S01000099,811,793,18
S01000100,871,857,14
S01000101,888,872,16
S01000102,795,756,39
S01000103,628,626,2
S01000104,905,890,15
S01000105,870,856,14
S01000106,724,712,12
S01000107,1269,1236,33
S01000108,753,711,42
S01000109,1019,965,54
S01000110,846,794,52
S01000111,791,775,16
S01000112,983,941,42
S01000113,607,600,7
S01000114,814,780,34
S01000115,838,768,70
S01000116,923,909,14
S01000117,1033,1011,22
S01000118,712,673,39
S01000119,835,792,43
S01000120,566,550,16
S01000121,718,678,40
S01000122,701,658,43
S01000123,673,660,13
S01000124,988,944,44
S01000125,648,623,25
S01000126,945,869,76
S01000127,766,753,13
S01000128,1804,1768,36
S01000129,1005,975,30
