dz_2001,total,scotland,ruk,elsewhere
S01000001,765,587,118,60
S01000002,687,591,70,26
S01000003,838,759,60,19
S01000004,641,557,53,31
S01000005,663,524,89,50
S01000006,626,542,60,24
S01000007,735,593,98,44
S01000008,584,523,44,17
S01000009,710,648,49,13
S01000010,568,506,39,23
S01000011,918,584,156,178
S01000012,816,735,52,29
S01000013,898,744,87,67
S01000014,919,812,77,30
S01000015,655,587,52,16
S01000016,564,296,105,163
S01000017,937,864,54,19
S01000018,577,540,25,12
S01000019,531,429,66,36
S01000020,877,552,176,149
S01000021,862,763,41,58
S01000022,663,435,128,100
S01000023,805,521,158,126
S01000024,512,350,108,54
S01000025,874,514,202,158
S01000026,930,875,37,18
S01000027,815,648,96,71
S01000028,969,919,39,11
S01000029,742,400,140,202
S01000030,500,476,11,13
S01000031,866,627,142,97
S01000032,1089,1034,43,12
S01000033,796,737,38,21
S01000034,1012,706,202,104
S01000035,1009,912,49,48
S01000036,744,687,32,25
S01000037,800,724,46,30
S01000038,684,651,19,14
S01000039,942,869,42,31
S01000040,970,907,44,19
S01000041,838,754,55,29
S01000042,790,717,40,33
S01000043,837,719,71,47
S01000044,951,868,59,24
S01000045,581,496,51,34
S01000046,768,659,66,43
S01000047,759,647,72,40
S01000048,925,769,92,64
S01000049,764,638,77,49
S01000050,618,537,51,30
S01000051,788,706,60,22
S01000052,677,646,23,8
S01000053,1014,824,99,91
S01000054,777,669,57,51
S01000055,754,684,51,19
S01000056,1049,719,207,123
S01000057,700,652,29,19
S01000058,710,568,72,70
S01000059,806,641,113,52
S01000060,577,529,31,17
S01000061,963,743,117,103
S01000062,991,809,123,59
S01000063,983,784,132,67
S01000064,648,594,36,18
S01000065,953,777,120,56
S01000066,800,699,75,26
S01000067,897,732,89,76
S01000068,862,642,130,90
S01000069,684,637,31,16
S01000070,646,595,36,15
S01000071,740,672,41,27
S01000072,832,672,89,71
S01000073,619,554,39,26
S01000074,763,702,49,12
S01000075,547,446,75,26
S01000076,770,668,65,37
S01000077,917,719,132,66
S01000078,817,693,87,37
S01000079,952,652,176,124
S01000080,927,745,113,69
S01000081,924,753,105,66
S01000082,954,858,70,26
S01000083,757,563,120,74
S01000084,674,592,47,35
S01000085,555,455,60,40
S01000086,745,532,117,96
S01000087,820,589,105,126
S01000088,639,455,104,80
S01000089,1003,808,108,87
S01000090,800,559,141,100
S01000091,929,708,125,96
S01000092,851,631,132,88
S01000093,404,301,46,57
S01000094,575,416,110,49
S01000095,703,531,92,80
S01000096,706,627,45,34
S01000097,967,671,156,140
S01000098,1022,724,175,123
S01000099,762,638,73,51
S01000100,760,561,125,74
S01000101,885,610,158,117
S01000102,747,603,77,67
S01000103,603,419,109,75
S01000104,863,634,117,112
S01000105,885,762,69,54
S01000106,706,442,145,119
S01000107,889,685,137,67
S01000108,606,480,73,53
S01000109,895,681,128,86
S01000110,820,720,59,41
S01000111,762,556,121,85
S01000112,970,734,118,118
S01000113,545,414,71,60
S01000114,876,775,64,37
S01000115,873,804,47,22
S01000116,901,637,167,97
S01000117,1056,830,148,78
S01000118,704,622,51,31
S01000119,786,619,107,60
S01000120,574,427,97,50
S01000121,796,700,68,28
S01000122,764,701,44,19
S01000123,648,514,78,56
S01000124,985,726,140,119
S01000125,701,594,57,50
S01000126,867,713,90,64
S01000127,798,671,81,46
S01000128,1538,1137,161,240
S01000129,549,368,102,79
S01000130,865,698,100,67
S01000131,659,485,109,65
S01000132,784,571,128,85
S01000133,737,677,46,14
S01000134,762,719,32,11
S01000135,721,648,45,28
S01000136,706,660,32,14
S01000137,786,599,96,91
S01000138,822,642,125,55
S01000139,817,765,31,21
S01000140,943,868,62,13
S01000141,945,728,103,114
S01000142,772,728,30,14
S01000143,633,495,76,62
S01000144,547,398,80,69
S01000145,905,847,39,19
S01000146,963,751,139,73
S01000147,735,608,71,56
S01000148,694,653,28,13
S01000149,1011,789,136,86
S01000150,636,597,32,7
S01000151,907,867,31,9
S01000152,1083,909,103,71
S01000153,529,447,51,31
S01000154,557,526,28,3
S01000155,784,747,32,5
S01000156,970,689,140,141
S01000157,692,650,26,16
S01000158,933,872,43,18
S01000159,1014,827,90,97
S01000160,813,756,48,9
S01000161,959,743,147,69
S01000162,886,785,56,45
S01000163,1022,967,38,17
S01000164,471,408,38,25
S01000165,861,766,59,36
S01000166,1147,769,198,180
S01000167,712,661,38,13
S01000168,956,905,29,22
S01000169,761,707,32,22
S01000170,1035,819,153,63
S01000171,892,730,95,67
S01000172,501,467,17,17
S01000173,811,738,40,33
S01000174,873,631,122,120
S01000175,528,424,74,30
S01000176,744,559,104,81
