"dz_2001","total","house","flat","caravan","shared"
"S01000001",852,463,388,1,0
"S01000002",678,658,20,0,0
"S01000003",788,655,133,0,0
"S01000004",612,520,92,0,0
"S01000005",643,255,386,2,0
"S01000006",577,434,143,0,0
"S01000007",749,712,37,0,0
"S01000008",580,428,152,0,0
"S01000009",681,654,26,1,0
"S01000010",514,461,53,0,0
"S01000011",940,926,14,0,0
"S01000012",1528,1479,47,2,0
"S01000013",836,683,151,2,0
"S01000014",881,810,64,7,0
"S01000015",669,587,82,0,0
"S01000016",467,442,25,0,0
"S01000017",848,789,59,0,0
"S01000018",520,479,41,0,0
"S01000019",568,518,48,2,0
"S01000020",711,534,177,0,0
"S01000021",861,776,85,0,0
"S01000022",627,596,31,0,0
"S01000023",762,732,30,0,0
"S01000024",496,485,9,2,0
"S01000025",807,783,24,0,0
"S01000026",820,417,403,0,0
"S01000027",798,734,64,0,0
"S01000028",919,636,280,3,0
"S01000029",729,718,11,0,0
"S01000030",449,296,153,0,0
"S01000031",941,665,276,0,0
"S01000032",1063,858,205,0,0
"S01000033",802,278,524,0,0
"S01000034",1237,1161,76,0,0
"S01000035",981,697,284,0,0
"S01000036",674,586,88,0,0
"S01000037",705,278,411,12,4
"S01000038",675,560,115,0,0
"S01000039",902,493,409,0,0
"S01000040",932,516,412,4,0
"S01000041",818,519,299,0,0
"S01000042",748,453,295,0,0
"S01000043",892,294,598,0,0
"S01000044",955,369,586,0,0
"S01000045",569,553,16,0,0
"S01000046",754,711,43,0,0
"S01000047",805,128,677,0,0
"S01000048",960,749,211,0,0
"S01000049",713,610,103,0,0
"S01000050",703,578,125,0,0
"S01000051",797,772,25,0,0
"S01000052",627,323,304,0,0
"S01000053",1058,523,535,0,0
"S01000054",801,704,97,0,0
"S01000055",724,237,487,0,0
"S01000056",1014,966,44,4,0
"S01000057",699,450,249,0,0
"S01000058",694,577,117,0,0
"S01000059",957,690,267,0,0
"S01000060",634,274,360,0,0
"S01000061",1000,789,211,0,0
"S01000062",1038,377,661,0,0
"S01000063",910,664,246,0,0
"S01000064",623,286,337,0,0
"S01000065",1002,473,527,0,2
"S01000066",806,214,589,0,3
"S01000067",1065,667,398,0,0
"S01000068",851,498,351,0,2
"S01000069",718,111,607,0,0
"S01000070",658,237,421,0,0
"S01000071",812,64,748,0,0
"S01000072",907,702,205,0,0
"S01000073",626,604,22,0,0
"S01000074",870,92,778,0,0
"S01000075",539,123,416,0,0
"S01000076",721,715,6,0,0
"S01000077",909,596,313,0,0
"S01000078",1097,70,1018,0,9
"S01000079",1422,339,1079,4,0
"S01000080",1013,252,756,0,5
"S01000081",889,658,231,0,0
"S01000082",904,268,627,1,8
"S01000083",772,453,319,0,0
"S01000084",843,79,764,0,0
"S01000085",513,40,470,0,3
"S01000086",678,248,430,0,0
"S01000087",1020,636,375,0,9
"S01000088",916,135,773,0,8
"S01000089",909,895,12,2,0
"S01000090",769,254,511,0,4
"S01000091",1032,147,878,0,7
"S01000092",906,45,861,0,0
