dz_2001,total,house,flat,caravan,shared
S01000001,747,401,343,1,2
S01000002,687,678,9,0,0
S01000003,838,735,103,0,0
S01000004,641,540,101,0,0
S01000005,663,256,407,0,0
S01000006,593,446,147,0,0
S01000007,708,687,20,1,0
S01000008,584,460,124,0,0
S01000009,706,680,26,0,0
S01000010,568,522,46,0,0
S01000011,877,850,24,3,0
S01000012,814,801,13,0,0
S01000013,898,742,156,0,0
S01000014,919,869,50,0,0
S01000015,655,565,90,0,0
S01000016,560,531,29,0,0
S01000017,937,887,50,0,0
S01000018,577,539,38,0,0
S01000019,531,528,3,0,0
S01000020,805,603,201,1,0
S01000021,862,813,49,0,0
S01000022,663,646,17,0,0
S01000023,805,800,5,0,0
S01000024,488,482,2,4,0
S01000025,850,841,9,0,0
S01000026,930,510,420,0,0
S01000027,815,758,57,0,0
S01000028,969,672,297,0,0
S01000029,742,722,20,0,0
S01000030,500,310,190,0,0
S01000031,866,691,173,0,2
S01000032,1089,907,182,0,0
S01000033,796,233,563,0,0
S01000034,925,902,23,0,0
S01000035,1009,789,216,4,0
S01000036,702,614,88,0,0
S01000037,736,285,432,19,0
S01000038,682,606,76,0,0
S01000039,942,536,406,0,0
S01000040,970,559,411,0,0
S01000041,827,532,295,0,0
S01000042,790,480,304,3,3
S01000043,837,290,547,0,0
S01000044,946,377,569,0,0
S01000045,581,577,4,0,0
S01000046,763,755,8,0,0
S01000047,751,123,628,0,0
S01000048,925,765,160,0,0
S01000049,737,653,84,0,0
S01000050,588,537,51,0,0
S01000051,788,780,6,2,0
S01000052,677,384,286,7,0
S01000053,971,529,442,0,0
S01000054,777,677,100,0,0
S01000055,711,287,424,0,0
S01000056,1049,1007,40,2,0
S01000057,700,474,226,0,0
S01000058,703,619,83,1,0
S01000059,785,615,170,0,0
S01000060,577,278,299,0,0
S01000061,955,798,157,0,0
S01000062,990,347,634,4,5
S01000063,944,652,280,1,11
S01000064,648,339,309,0,0
S01000065,947,461,484,0,2
S01000066,750,203,546,1,0
S01000067,893,671,222,0,0
S01000068,824,464,358,0,2
S01000069,684,124,560,0,0
S01000070,646,247,397,0,2
S01000071,740,43,697,0,0
S01000072,832,643,189,0,0
S01000073,611,584,27,0,0
S01000074,763,103,660,0,0
S01000075,547,132,415,0,0
S01000076,770,766,4,0,0
S01000077,909,635,265,0,9
S01000078,817,31,785,1,0
S01000079,920,275,645,0,0
S01000080,926,236,687,0,3
S01000081,924,695,227,0,2
S01000082,928,299,628,1,0
S01000083,757,449,301,0,7
S01000084,665,90,574,1,0
S01000085,543,33,510,0,0
S01000086,695,267,428,0,0
S01000087,582,486,94,0,2
S01000088,621,147,474,0,0
S01000089,962,959,3,0,0
S01000090,800,279,520,1,0
S01000091,870,139,730,0,1
S01000092,851,34,817,0,0
S01000093,390,75,312,0,3
S01000094,575,10,565,0,0
S01000095,703,204,499,0,0
S01000096,706,360,346,0,0
S01000097,929,608,312,0,9
S01000098,914,103,794,0,17
S01000099,762,706,56,0,0
S01000100,695,107,582,0,6
S01000101,885,539,346,0,0
S01000102,747,48,691,0,8
S01000103,603,79,517,0,7
S01000104,819,741,75,0,3
S01000105,885,771,114,0,0
S01000106,706,521,170,0,15
S01000107,889,22,865,0,2
S01000108,537,192,337,1,7
S01000109,885,69,807,0,9
S01000110,800,716,82,2,0
S01000111,754,364,387,0,3
S01000112,970,89,881,0,0
S01000113,545,332,208,1,4
S01000114,627,184,443,0,0
S01000115,873,555,318,0,0
S01000116,893,81,812,0,0
S01000117,987,672,315,0,0
S01000118,674,434,240,0,0
S01000119,786,47,739,0,0
S01000120,574,192,382,0,0
S01000121,760,588,172,0,0
S01000122,764,431,333,0,0
S01000123,648,635,13,0,0
S01000124,985,55,925,5,0
S01000125,701,47,654,0,0
S01000126,861,81,774,0,6
S01000127,798,606,192,0,0
S01000128,930,35,887,0,8
S01000129,549,10,538,1,0
S01000130,865,77,785,0,3
S01000131,659,269,390,0,0
S01000132,776,202,571,0,3
S01000133,737,624,113,0,0
S01000134,762,360,402,0,0
S01000135,721,22,699,0,0
S01000136,706,437,269,0,0
S01000137,786,90,696,0,0
S01000138,805,72,729,0,4
S01000139,817,731,86,0,0
S01000140,943,882,61,0,0
S01000141,833,499,331,0,3
S01000142,772,393,379,0,0
S01000143,633,627,6,0,0
S01000144,517,9,508,0,0
S01000145,905,645,258,2,0
S01000146,959,39,920,0,0
S01000147,671,22,649,0,0
S01000148,694,262,432,0,0
S01000149,1011,95,916,0,0
S01000150,636,478,158,0,0
S01000151,907,238,669,0,0
S01000152,835,344,491,0,0
S01000153,529,36,493,0,0
S01000154,557,548,9,0,0
S01000155,784,633,151,0,0
S01000156,967,37,930,0,0
S01000157,667,122,545,0,0
S01000158,933,477,456,0,0
S01000159,956,933,23,0,0
S01000160,813,797,16,0,0
S01000161,958,313,641,0,4
S01000162,886,433,453,0,0
S01000163,1022,913,109,0,0
S01000164,471,41,430,0,0
S01000165,861,71,790,0,0
S01000166,1047,340,700,0,7
S01000167,712,548,164,0,0
S01000168,954,866,88,0,0
S01000169,750,608,142,0,0
S01000170,1031,435,596,0,0
S01000171,892,889,3,0,0
S01000172,501,242,259,0,0
S01000173,811,366,444,1,0
