dz_2011,total,single,married
S01006962,665,239,426
S01006963,863,267,596
S01006964,661,284,377
S01006965,449,169,280
S01006966,618,288,330
S01006967,589,176,413
S01006968,926,383,543
S01006969,865,383,482
S01006970,553,161,392
S01006971,737,316,421
S01006972,355,125,230
S01006973,466,178,288
S01006974,992,340,652
S01006975,869,347,522
S01006976,449,162,287
S01006977,663,254,409
S01006978,607,221,386
S01006979,1045,364,681
S01006980,490,153,337
S01006981,618,204,414
S01006982,722,311,411
S01006983,788,297,491
S01006984,609,237,372
S01006985,1029,393,636
S01006986,360,167,193
S01006987,781,294,487
S01006988,365,134,231
S01006989,553,171,382
S01006990,333,109,224
S01006991,554,232,322
S01006992,650,207,443
S01006993,554,168,386
S01006994,480,180,300
S01006995,691,222,469
S01006996,535,178,357
S01006997,456,151,305
S01006998,750,282,468
S01006999,626,205,421
S01007000,881,360,521
S01007001,756,317,439
S01007002,310,129,181
S01007003,430,144,286
S01007004,822,288,534
S01007005,703,225,478
S01007006,755,279,476
S01007007,583,194,389
S01007008,720,361,359
S01007009,1087,513,574
S01007010,833,395,438
S01007011,955,519,436
S01007012,768,383,385
S01007013,740,264,476
S01007014,783,240,543
S01007015,567,196,371
S01007016,418,141,277
S01007017,907,440,467
S01007018,944,344,600
S01007019,848,366,482
S01007020,821,409,412
S01007021,1103,493,610
S01007022,379,129,250
S01007023,582,219,363
S01007024,896,314,582
S01007025,944,461,483
S01007026,799,366,433
S01007027,1116,497,619
S01007028,1013,418,595
S01007029,417,141,276
S01007030,767,327,440
S01007031,487,218,269
S01007032,1001,557,444
S01007033,932,414,518
S01007034,782,397,385
S01007035,770,391,379
S01007036,820,323,497
S01007037,886,347,539
S01007038,651,325,326
S01007039,566,270,296
S01007040,814,344,470
S01007041,820,368,452
S01007042,702,282,420
S01007043,833,317,516
S01007044,833,332,501
S01007045,691,253,438
S01007046,431,204,227
S01007047,778,324,454
S01007048,1050,385,665
S01007049,794,362,432
S01007050,764,311,453
S01007051,783,311,472
S01007052,423,169,254
S01007053,642,267,375
S01007054,843,340,503
S01007055,383,136,247
S01007056,633,258,375
S01007057,737,270,467
S01007058,679,273,406
S01007059,896,351,545
S01007060,513,264,249
S01007061,836,296,540
S01007062,552,184,368
S01007063,1098,418,680
S01007064,560,219,341
S01007065,596,239,357
S01007066,531,223,308
S01007067,1071,452,619
S01007068,626,273,353
S01007069,840,407,433
S01007070,629,302,327
S01007071,895,327,568
S01007072,1181,473,708
S01007073,1400,583,817
S01007074,920,331,589
S01007075,792,354,438
S01007076,673,261,412
S01007077,700,260,440
S01007078,857,425,432
S01007079,1005,518,487
S01007080,725,325,400
S01007081,809,404,405
S01007082,519,293,226
S01007083,758,424,334
S01007084,740,358,382
S01007085,895,526,369
S01007086,910,671,239
S01007087,793,491,302
S01007088,508,297,211
S01007089,444,124,320
S01007090,427,168,259
S01007091,211,57,154
S01007092,596,268,328
S01007093,862,268,594
S01007094,931,317,614
S01007095,522,199,323
S01007096,753,258,495
S01007097,676,238,438
S01007098,406,149,257
S01007099,499,167,332
S01007100,695,261,434
S01007101,980,430,550
S01007102,607,214,393
S01007103,632,233,399
S01007104,380,118,262
S01007105,536,218,318
S01007106,755,311,444
S01007107,517,179,338
S01007108,535,211,324
S01007109,777,341,436
S01007110,769,322,447
S01007111,419,158,261
S01007112,727,230,497
S01007113,700,309,391
S01007114,686,230,456
S01007115,610,212,398
S01007116,513,134,379
S01007117,488,101,387
S01007118,703,313,390
S01007119,770,367,403
S01007120,878,408,470
S01007121,634,395,239
S01007122,492,237,255
S01007123,836,423,413
S01007124,893,381,512
S01007125,608,285,323
S01007126,771,443,328
S01007127,496,293,203
S01007128,846,416,430
S01007129,530,171,359
S01007130,566,220,346
S01007131,640,212,428
S01007132,566,174,392
S01007133,508,231,277
S01007134,665,276,389
S01007135,547,203,344
S01007136,251,81,170
S01007137,118,46,72
S01007138,355,141,214
S01007139,604,200,404
S01007140,653,217,436
S01007141,520,220,300
S01007142,120,40,80
S01007143,371,118,253
S01007144,1208,431,777
S01007145,792,301,491
S01007146,733,276,457
S01007147,754,227,527
S01007148,433,111,322
S01007149,785,196,589
S01007150,726,257,469
S01007151,864,324,540
S01007152,675,254,421
S01007153,830,269,561
S01007154,800,441,359
S01007155,589,252,337
S01007156,777,308,469
S01007157,647,285,362
S01007158,682,255,427
S01007159,717,384,333
S01007160,669,307,362
S01007161,771,354,417
S01007162,351,174,177
S01007163,898,340,558
S01007164,689,308,381
S01007165,748,302,446
S01007166,919,368,551
S01007167,757,241,516
S01007168,851,277,574
S01007169,725,261,464
S01007170,561,195,366
S01007171,1036,549,487
S01007172,981,491,490
S01007173,475,158,317
S01007174,582,233,349
S01007175,672,264,408
S01007176,847,323,524
S01007177,622,357,265
S01007178,765,473,292
S01007179,1050,346,704
S01007180,894,335,559
S01007181,977,440,537
S01007182,1012,489,523
S01007183,1066,536,530
S01007184,854,499,355
S01007185,747,496,251
S01007186,527,361,166
S01007187,658,428,230
S01007188,627,375,252
S01007189,798,497,301
S01007190,838,338,500
S01007191,604,286,318
S01007192,678,320,358
S01007193,659,327,332
S01007194,453,257,196
S01007195,758,376,382
S01007196,523,278,245
S01007197,309,210,99
S01007198,368,199,169
S01007199,786,428,358
S01007200,746,351,395
S01007201,882,399,483
S01007202,659,294,365
S01007203,712,262,450
S01007204,813,365,448
S01007205,622,227,395
S01007206,297,164,133
S01007207,859,354,505
S01007208,673,442,231
S01007209,606,408,198
S01007210,837,490,347
S01007211,639,347,292
S01007212,675,330,345
S01007213,739,372,367
S01007214,835,551,284
S01007215,778,401,377
S01007216,706,323,383
S01007217,723,335,388
S01007218,632,187,445
S01007219,876,380,496
S01007220,652,329,323
S01007221,530,179,351
S01007222,885,389,496
S01007223,558,181,377
S01007224,596,245,351
S01007225,835,339,496
S01007226,746,297,449
S01007227,1116,452,664
S01007228,611,226,385
S01007229,971,343,628
S01007230,1039,559,480
S01007231,632,385,247
S01007232,479,271,208
S01007233,582,237,345
S01007234,524,241,283
S01007235,872,433,439
S01007236,935,425,510
S01007237,631,243,388
S01007238,798,296,502
S01007239,1077,394,683
S01007240,474,179,295
S01007241,952,347,605
S01007242,873,312,561
S01007243,1016,360,656
S01007244,530,173,357
S01007245,639,243,396
S01007246,508,162,346
S01007247,862,334,528
S01007248,706,208,498
S01007249,507,178,329
S01007250,649,319,330
S01007251,528,282,246
S01007252,667,283,384
S01007253,622,208,414
S01007254,741,412,329
S01007255,819,455,364
S01007256,645,382,263
S01007257,699,434,265
S01007258,654,330,324
S01007259,769,434,335
S01007260,903,488,415
S01007261,842,285,557
S01007262,582,235,347
S01007263,1020,436,584
S01007264,758,307,451
S01007265,934,520,414
S01007266,671,290,381
S01007267,456,164,292
S01007268,465,159,306
S01007269,525,185,340
S01007270,405,156,249
S01007271,938,439,499
S01007272,896,493,403
S01007273,539,238,301
S01007274,703,387,316
S01007275,653,274,379
S01007276,892,400,492
S01007277,800,278,522
S01007278,754,235,519
S01007279,532,181,351
S01007280,520,196,324
S01007281,894,390,504
S01007282,400,165,235
S01007283,750,309,441
S01007284,711,347,364
S01007285,838,374,464
S01007286,1075,479,596
S01007287,466,223,243
S01007288,609,254,355
S01007289,792,290,502
S01007290,329,162,167
S01007291,499,255,244
S01007292,562,185,377
S01007293,857,476,381
S01007294,784,381,403
S01007295,524,369,155
S01007296,527,397,130
S01007297,788,367,421
S01007298,446,232,214
S01007299,788,413,375
S01007300,614,349,265
S01007301,703,268,435
S01007302,721,319,402
S01007303,829,331,498
S01007304,489,185,304
S01007305,777,298,479
S01007306,819,365,454
S01007307,776,263,513
S01007308,669,271,398
S01007309,643,292,351
S01007310,787,328,459
S01007311,781,361,420
S01007312,684,276,408
S01007313,728,314,414
S01007314,735,293,442
S01007315,626,292,334
S01007316,905,478,427
S01007317,912,443,469
S01007318,488,229,259
S01007319,706,322,384
S01007320,827,334,493
S01007321,514,207,307
S01007322,674,325,349
S01007323,491,248,243
S01007324,245,124,121
S01007325,650,310,340
S01007326,849,355,494
S01007327,774,385,389
S01007328,880,444,436
S01007329,522,236,286
S01007330,715,277,438
S01007331,725,279,446
S01007332,560,201,359
S01007333,939,412,527
S01007334,715,431,284
S01007335,826,393,433
S01007336,630,424,206
S01007337,572,325,247
S01007338,931,367,564
S01007339,714,281,433
S01007340,628,310,318
S01007341,677,290,387
S01007342,698,258,440
S01007343,638,265,373
S01007344,488,210,278
S01007345,480,339,141
S01007346,773,590,183
S01007347,953,537,416
S01007348,681,400,281
S01007349,540,313,227
S01007350,579,298,281
S01007351,564,230,334
S01007352,434,159,275
S01007353,594,238,356
S01007354,675,258,417
S01007355,1107,494,613
S01007356,602,249,353
S01007357,706,290,416
S01007358,1268,561,707
S01007359,762,359,403
S01007360,668,282,386
S01007361,908,445,463
S01007362,864,409,455
S01007363,858,398,460
S01007364,848,455,393
S01007365,379,174,205
S01007366,502,291,211
S01007367,542,312,230
S01007368,525,314,211
S01007369,894,447,447
S01007370,736,465,271
S01007371,698,323,375
S01007372,849,348,501
S01007373,489,179,310
S01007374,688,298,390
S01007375,417,160,257
S01007376,831,376,455
S01007377,546,186,360
S01007378,2883,2470,413
S01007379,748,322,426
S01007380,599,268,331
S01007381,414,125,289
S01007382,827,344,483
S01007383,668,276,392
S01007384,826,337,489
S01007385,1126,460,666
S01007386,715,216,499
S01007387,778,263,515
S01007388,608,172,436
S01007389,588,142,446
S01007390,278,105,173
S01007391,542,147,395
S01007392,389,122,267
S01007393,860,391,469
S01007394,660,318,342
S01007395,1059,689,370
S01007396,974,635,339
S01007397,792,348,444
S01007398,543,293,250
S01007399,564,382,182
S01007400,775,351,424
S01007401,643,238,405
S01007402,600,212,388
S01007403,549,105,444
S01007404,582,221,361
S01007405,424,161,263
S01007406,590,215,375
S01007407,657,216,441
S01007408,742,328,414
S01007409,573,250,323
S01007410,714,399,315
S01007411,719,483,236
S01007412,481,223,258
S01007413,603,223,380
S01007414,261,80,181
S01007415,730,337,393
S01007416,393,223,170
S01007417,197,67,130
S01007418,586,270,316
S01007419,676,357,319
S01007420,1274,849,425
S01007421,508,241,267
S01007422,679,360,319
S01007423,311,151,160
S01007424,668,218,450
S01007425,827,315,512
S01007426,744,397,347
S01007427,669,290,379
S01007428,926,448,478
S01007429,773,412,361
S01007430,467,224,243
S01007431,553,193,360
S01007432,591,220,371
S01007433,787,319,468
S01007434,492,252,240
S01007435,671,309,362
S01007436,862,515,347
S01007437,472,253,219
S01007438,590,294,296
S01007439,797,364,433
S01007440,684,241,443
S01007441,544,172,372
S01007442,630,171,459
S01007443,807,337,470
S01007444,1155,474,681
S01007445,599,186,413
S01007446,591,207,384
S01007447,528,164,364
S01007448,838,255,583
S01007449,838,370,468
S01007450,1022,506,516
S01007451,560,224,336
S01007452,595,280,315
S01007453,78,38,40
S01007454,490,230,260
S01007455,690,343,347
S01007456,846,458,388
S01007457,563,316,247
S01007458,691,218,473
S01007459,754,262,492
S01007460,771,385,386
S01007461,764,482,282
S01007462,805,435,370
S01007463,794,455,339
S01007464,882,489,393
S01007465,607,382,225
S01007466,814,546,268
S01007467,865,465,400
S01007468,934,337,597
S01007469,552,216,336
S01007470,536,320,216
S01007471,415,171,244
S01007472,930,464,466
S01007473,387,207,180
S01007474,355,116,239
S01007475,433,196,237
S01007476,674,241,433
S01007477,651,287,364
S01007478,752,418,334
S01007479,362,187,175
S01007480,682,326,356
S01007481,849,247,602
S01007482,645,265,380
S01007483,831,369,462
S01007484,733,404,329
S01007485,665,378,287
S01007486,690,466,224
S01007487,1017,604,413
S01007488,870,397,473
S01007489,767,312,455
S01007490,996,452,544
S01007491,605,307,298
S01007492,584,281,303
S01007493,737,307,430
S01007494,664,258,406
S01007495,573,184,389
S01007496,890,336,554
S01007497,512,204,308
S01007498,956,369,587
S01007499,660,263,397
S01007500,636,241,395
S01007501,554,204,350
S01007502,556,216,340
S01007503,896,367,529
S01007504,918,381,537
S01007505,347,129,218
S01007506,454,146,308
S01007507,1207,483,724
S01007508,581,257,324
S01007509,591,201,390
S01007510,791,298,493
S01007511,942,416,526
S01007512,462,196,266
S01007513,889,418,471
S01007514,513,282,231
S01007515,527,209,318
S01007516,636,326,310
S01007517,484,215,269
S01007518,750,329,421
S01007519,501,195,306
S01007520,798,316,482
S01007521,595,207,388
S01007522,992,443,549
S01007523,424,184,240
S01007524,749,304,445
S01007525,481,209,272
S01007526,805,428,377
S01007527,1217,493,724
S01007528,821,398,423
S01007529,702,252,450
S01007530,427,158,269
S01007531,635,250,385
S01007532,406,163,243
S01007533,644,271,373
S01007534,1105,524,581
S01007535,729,302,427
S01007536,867,372,495
S01007537,1235,565,670
S01007538,633,238,395
S01007539,759,298,461
S01007540,717,350,367
S01007541,986,474,512
S01007542,751,393,358
S01007543,1016,468,548
S01007544,1248,463,785
S01007545,1075,381,694
S01007546,486,187,299
S01007547,425,157,268
S01007548,704,281,423
S01007549,653,254,399
S01007550,1051,416,635
S01007551,1100,459,641
S01007552,821,387,434
S01007553,841,374,467
S01007554,723,327,396
S01007555,632,229,403
S01007556,628,265,363
S01007557,936,390,546
S01007558,457,169,288
S01007559,614,238,376
S01007560,888,403,485
S01007561,882,389,493
S01007562,629,248,381
S01007563,882,374,508
S01007564,991,365,626
S01007565,802,307,495
S01007566,618,238,380
S01007567,407,150,257
S01007568,615,230,385
S01007569,784,318,466
S01007570,808,301,507
S01007571,448,155,293
S01007572,549,236,313
S01007573,156,94,62
S01007574,1127,463,664
S01007575,722,374,348
S01007576,839,539,300
S01007577,707,377,330
S01007578,679,382,297
S01007579,399,233,166
S01007580,728,387,341
S01007581,485,247,238
S01007582,722,346,376
S01007583,967,627,340
S01007584,704,389,315
S01007585,870,346,524
S01007586,781,394,387
S01007587,694,383,311
S01007588,823,290,533
S01007589,952,580,372
S01007590,547,180,367
S01007591,733,355,378
S01007592,864,503,361
S01007593,914,401,513
S01007594,739,282,457
S01007595,797,282,515
S01007596,644,257,387
S01007597,496,179,317
S01007598,857,328,529
S01007599,534,251,283
S01007600,828,412,416
S01007601,515,267,248
S01007602,822,310,512
S01007603,750,256,494
S01007604,845,244,601
S01007605,935,322,613
S01007606,506,238,268
S01007607,805,248,557
S01007608,866,314,552
S01007609,747,404,343
S01007610,696,454,242
S01007611,896,611,285
S01007612,855,643,212
S01007613,839,426,413
S01007614,680,238,442
S01007615,1055,532,523
S01007616,773,450,323
S01007617,577,274,303
S01007618,702,306,396
S01007619,637,280,357
S01007620,710,231,479
S01007621,650,239,411
S01007622,692,255,437
S01007623,401,111,290
S01007624,594,217,377
S01007625,575,199,376
S01007626,381,165,216
S01007627,205,88,117
S01007628,709,277,432
S01007629,588,221,367
S01007630,667,238,429
S01007631,500,173,327
S01007632,1336,569,767
S01007633,1252,472,780
S01007634,540,195,345
S01007635,693,239,454
S01007636,1079,464,615
S01007637,1174,593,581
S01007638,906,457,449
S01007639,768,370,398
S01007640,495,223,272
S01007641,545,195,350
S01007642,927,405,522
S01007643,787,343,444
S01007644,703,293,410
S01007645,640,235,405
S01007646,573,256,317
S01007647,903,385,518
S01007648,926,418,508
S01007649,632,291,341
S01007650,873,361,512
S01007651,618,246,372
S01007652,653,294,359
S01007653,915,380,535
S01007654,1008,438,570
S01007655,626,233,393
S01007656,779,293,486
S01007657,532,223,309
S01007658,533,236,297
S01007659,804,331,473
S01007660,1072,506,566
S01007661,672,346,326
S01007662,858,494,364
S01007663,929,393,536
S01007664,479,265,214
S01007665,551,251,300
S01007666,247,85,162
S01007667,431,113,318
S01007668,1037,512,525
S01007669,475,288,187
S01007670,750,407,343
S01007671,581,239,342
S01007672,878,239,639
S01007673,547,201,346
S01007674,923,393,530
S01007675,569,204,365
S01007676,440,141,299
S01007677,119,35,84
S01007678,641,314,327
S01007679,728,364,364
S01007680,766,273,493
S01007681,456,205,251
S01007682,907,398,509
S01007683,1004,455,549
S01007684,1050,400,650
S01007685,1022,512,510
S01007686,980,493,487
S01007687,893,585,308
S01007688,1036,847,189
S01007689,604,485,119
S01007690,1218,966,252
S01007691,1918,1739,179
S01007692,893,733,160
S01007693,677,584,93
S01007694,374,331,43
S01007695,953,709,244
S01007696,792,632,160
S01007697,1144,826,318
S01007698,1008,814,194
S01007699,676,538,138
S01007700,815,410,405
S01007701,386,298,88
S01007702,304,250,54
S01007703,1025,645,380
S01007704,1176,893,283
S01007705,760,728,32
S01007706,729,683,46
S01007707,237,199,38
S01007708,953,662,291
S01007709,696,522,174
S01007710,1025,888,137
S01007711,1140,921,219
S01007712,889,701,188
S01007713,532,366,166
S01007714,528,309,219
S01007715,524,394,130
S01007716,1000,778,222
S01007717,765,596,169
S01007718,878,684,194
S01007719,1325,900,425
S01007720,998,467,531
S01007721,974,567,407
S01007722,843,585,258
S01007723,937,643,294
S01007724,599,478,121
S01007725,1152,792,360
S01007726,738,510,228
S01007727,643,511,132
S01007728,885,695,190
S01007729,783,604,179
S01007730,760,530,230
S01007731,421,314,107
S01007732,559,474,85
S01007733,748,338,410
S01007734,733,295,438
S01007735,714,295,419
S01007736,724,282,442
S01007737,842,469,373
S01007738,995,476,519
S01007739,695,370,325
S01007740,619,288,331
S01007741,790,427,363
S01007742,654,322,332
S01007743,770,445,325
S01007744,663,403,260
S01007745,846,534,312
S01007746,744,399,345
S01007747,693,434,259
S01007748,528,349,179
S01007749,808,285,523
S01007750,917,322,595
S01007751,693,264,429
S01007752,1046,462,584
S01007753,777,400,377
S01007754,1108,587,521
S01007755,690,386,304
S01007756,785,421,364
S01007757,1139,343,796
S01007758,1004,478,526
S01007759,1124,747,377
S01007760,882,340,542
S01007761,803,337,466
S01007762,720,470,250
S01007763,716,353,363
S01007764,805,252,553
