"dz_2011","total","llti","no_llti"
"S01006506",872,136,736
"S01006507",836,133,703
"S01006508",643,76,567
"S01006509",580,95,485
"S01006510",644,149,495
"S01006511",751,136,615
"S01006512",519,71,448
"S01006513",470,101,369
"S01006514",1043,134,909
"S01006515",762,74,688
"S01006516",718,84,634
"S01006517",1014,136,878
"S01006518",627,73,554
"S01006519",865,110,755
"S01006520",729,39,690
"S01006521",727,56,671
"S01006522",574,49,525
"S01006523",1016,207,809
"S01006524",776,182,594
"S01006525",798,100,698
"S01006526",902,183,719
"S01006527",683,143,540
"S01006528",1034,178,856
"S01006529",896,161,735
"S01006530",684,155,529
"S01006531",1030,253,777
"S01006532",744,161,583
"S01006533",712,85,627
"S01006534",910,97,813
"S01006535",1105,89,1016
"S01006536",948,90,858
"S01006537",697,96,601
"S01006538",569,88,481
"S01006539",747,124,623
"S01006540",960,127,833
"S01006541",858,166,692
"S01006542",1001,151,850
"S01006543",797,148,649
"S01006544",1071,152,919
"S01006545",1065,188,877
"S01006546",630,95,535
"S01006547",1268,230,1038
"S01006548",721,102,619
"S01006549",811,128,683
"S01006550",947,178,769
"S01006551",420,125,295
"S01006552",870,118,752
"S01006553",846,225,621
"S01006554",712,149,563
"S01006555",814,158,656
"S01006556",838,238,600
"S01006557",701,161,540
"S01006558",722,90,632
"S01006559",507,37,470
"S01006560",1033,172,861
"S01006561",766,99,667
"S01006562",718,161,557
"S01006563",826,117,709
"S01006564",983,162,821
"S01006565",988,126,862
"S01006566",757,78,679
"S01006567",835,144,691
"S01006568",923,57,866
"S01006569",566,55,511
"S01006570",791,80,711
"S01006571",888,87,801
"S01006572",905,93,812
"S01006573",724,62,662
"S01006574",1001,117,884
"S01006575",951,107,844
"S01006576",659,70,589
"S01006577",769,57,712
"S01006578",1096,152,944
"S01006579",1021,76,945
"S01006580",717,70,647
"S01006581",889,107,782
"S01006582",871,71,800
"S01006583",712,45,667
"S01006584",628,33,595
"S01006585",795,114,681
"S01006586",1019,179,840
"S01006587",453,35,418
"S01006588",587,44,543
"S01006589",682,69,613
"S01006590",649,69,580
"S01006591",735,53,682
"S01006592",680,31,649
"S01006593",768,73,695
"S01006594",539,90,449
"S01006595",934,70,864
"S01006596",725,84,641
"S01006597",520,41,479
"S01006598",957,75,882
"S01006599",807,177,630
"S01006600",1100,234,866
"S01006601",1002,118,884
"S01006602",879,147,732
"S01006603",849,206,643
"S01006604",678,156,522
"S01006605",802,200,602
"S01006606",831,195,636
"S01006607",934,189,745
"S01006608",1199,118,1081
"S01006609",1063,232,831
"S01006610",449,91,358
"S01006611",919,222,697
"S01006612",861,154,707
"S01006613",612,48,564
"S01006614",678,40,638
"S01006615",329,31,298
"S01006616",788,55,733
"S01006617",581,94,487
"S01006618",514,72,442
"S01006619",881,133,748
"S01006620",948,150,798
"S01006621",520,72,448
"S01006622",669,52,617
"S01006623",765,186,579
"S01006624",959,166,793
"S01006625",623,114,509
"S01006626",718,157,561
"S01006627",1046,152,894
"S01006628",910,102,808
"S01006629",803,202,601
"S01006630",627,155,472
"S01006631",933,213,720
"S01006632",812,141,671
"S01006633",699,122,577
"S01006634",634,113,521
"S01006635",658,109,549
"S01006636",870,161,709
"S01006637",753,161,592
"S01006638",834,152,682
"S01006639",945,209,736
"S01006640",723,33,690
"S01006641",608,63,545
"S01006642",1373,116,1257
"S01006643",730,47,683
"S01006644",963,135,828
"S01006645",687,154,533
"S01006646",1062,114,948
"S01006647",591,92,499
"S01006648",1804,153,1651
"S01006649",1106,145,961
"S01006650",714,66,648
"S01006651",635,103,532
"S01006652",545,50,495
"S01006653",656,56,600
"S01006654",914,213,701
"S01006655",632,137,495
"S01006656",967,124,843
"S01006657",536,52,484
"S01006658",1212,119,1093
"S01006659",632,59,573
"S01006660",420,44,376
"S01006661",729,97,632
"S01006662",942,133,809
"S01006663",562,49,513
"S01006664",223,13,210
"S01006665",712,71,641
"S01006666",1403,340,1063
"S01006667",741,183,558
"S01006668",908,78,830
"S01006669",1219,215,1004
"S01006670",929,137,792
"S01006671",2534,115,2419
"S01006672",810,133,677
"S01006673",787,117,670
"S01006674",938,240,698
"S01006675",712,104,608
"S01006676",747,153,594
"S01006677",723,131,592
"S01006678",1148,200,948
"S01006679",654,120,534
"S01006680",851,143,708
"S01006681",840,265,575
"S01006682",853,165,688
"S01006683",872,124,748
"S01006684",684,137,547
"S01006685",740,157,583
"S01006686",622,131,491
"S01006687",833,184,649
"S01006688",950,284,666
"S01006689",629,40,589
"S01006690",594,107,487
"S01006691",559,63,496
"S01006692",742,107,635
"S01006693",1015,140,875
"S01006694",865,283,582
"S01006695",712,164,548
"S01006696",849,192,657
"S01006697",926,169,757
"S01006698",691,193,498
"S01006699",471,66,405
"S01006700",830,181,649
"S01006701",728,141,587
"S01006702",668,137,531
"S01006703",675,142,533
"S01006704",605,154,451
"S01006705",816,198,618
"S01006706",619,121,498
"S01006707",608,129,479
"S01006708",814,203,611
"S01006709",975,215,760
"S01006710",853,237,616
"S01006711",815,231,584
"S01006712",403,124,279
"S01006713",833,221,612
"S01006714",597,143,454
"S01006715",623,105,518
"S01006716",710,139,571
"S01006717",1068,269,799
"S01006718",627,130,497
"S01006719",916,187,729
"S01006720",587,107,480
"S01006721",942,211,731
"S01006722",637,124,513
"S01006723",800,172,628
"S01006724",1005,170,835
"S01006725",620,143,477
"S01006726",1391,208,1183
"S01006727",1015,252,763
"S01006728",754,129,625
"S01006729",831,186,645
"S01006730",704,115,589
"S01006731",577,134,443
"S01006732",998,164,834
"S01006733",900,69,831
"S01006734",976,126,850
"S01006735",1004,123,881
"S01006736",1079,53,1026
"S01006737",582,77,505
"S01006738",829,92,737
"S01006739",607,68,539
"S01006740",737,151,586
"S01006741",666,186,480
"S01006742",460,115,345
"S01006743",531,106,425
"S01006744",608,107,501
"S01006745",822,204,618
"S01006746",846,193,653
"S01006747",816,152,664
"S01006748",917,153,764
"S01006749",909,179,730
"S01006750",720,159,561
"S01006751",360,77,283
"S01006752",712,137,575
"S01006753",913,139,774
"S01006754",900,129,771
"S01006755",888,122,766
"S01006756",870,133,737
"S01006757",924,198,726
"S01006758",694,64,630
"S01006759",464,44,420
"S01006760",406,43,363
"S01006761",697,89,608
"S01006762",938,232,706
"S01006763",606,45,561
"S01006764",790,71,719
"S01006765",586,54,532
"S01006766",608,49,559
"S01006767",689,103,586
"S01006768",599,57,542
"S01006769",883,111,772
"S01006770",731,87,644
"S01006771",241,26,215
"S01006772",839,104,735
"S01006773",958,131,827
"S01006774",651,54,597
"S01006775",618,109,509
"S01006776",416,122,294
"S01006777",649,75,574
"S01006778",634,108,526
"S01006779",695,145,550
"S01006780",545,83,462
"S01006781",691,116,575
"S01006782",744,80,664
"S01006783",672,123,549
"S01006784",499,78,421
"S01006785",611,52,559
"S01006786",686,64,622
"S01006787",796,132,664
"S01006788",946,133,813
"S01006789",539,112,427
"S01006790",808,181,627
"S01006791",536,103,433
"S01006792",677,110,567
"S01006793",554,102,452
"S01006794",560,115,445
"S01006795",542,80,462
"S01006796",667,82,585
"S01006797",913,108,805
"S01006798",802,102,700
"S01006799",729,161,568
"S01006800",681,74,607
"S01006801",956,203,753
"S01006802",675,114,561
"S01006803",687,125,562
"S01006804",748,80,668
"S01006805",1122,126,996
"S01006806",1031,134,897
"S01006807",620,86,534
"S01006808",628,85,543
"S01006809",816,168,648
"S01006810",877,148,729
"S01006811",1090,118,972
"S01006812",750,95,655
"S01006813",569,89,480
"S01006814",696,95,601
"S01006815",577,109,468
"S01006816",723,135,588
"S01006817",851,94,757
"S01006818",719,97,622
"S01006819",1266,109,1157
"S01006820",444,45,399
"S01006821",1042,100,942
"S01006822",1918,175,1743
"S01006823",732,122,610
"S01006824",822,135,687
"S01006825",807,88,719
"S01006826",951,184,767
"S01006827",769,146,623
"S01006828",982,181,801
"S01006830",729,102,627
"S01006831",538,68,470
"S01006832",1148,198,950
"S01006833",455,71,384
"S01006835",701,206,495
"S01006837",486,61,425
"S01006838",648,66,582
"S01006839",1040,162,878
"S01006840",674,65,609
"S01006841",922,87,835
"S01006842",811,94,717
"S01006843",835,90,745
"S01006844",671,82,589
"S01006845",833,73,760
"S01006846",551,93,458
"S01006847",712,113,599
"S01006848",1536,167,1369
"S01006849",411,29,382
"S01006850",959,128,831
"S01006851",805,158,647
"S01006852",595,77,518
"S01006853",852,67,785
"S01006854",433,50,383
"S01006855",851,104,747
"S01006856",678,72,606
"S01006857",1356,187,1169
"S01006858",642,70,572
"S01006859",996,107,889
"S01006860",542,119,423
"S01006861",742,41,701
"S01006862",681,113,568
"S01006863",549,89,460
"S01006865",789,114,675
"S01006866",549,75,474
