dz_2011,total,pensioner,student,other
S01007574,927,158,0,769
S01007575,452,124,0,328
S01007576,488,74,0,414
S01007577,391,70,0,321
S01007578,380,78,0,302
S01007579,298,49,0,249
S01007580,347,53,0,294
S01007581,256,55,0,201
S01007582,386,90,0,296
S01007583,653,121,1,531
S01007584,471,101,0,370
S01007585,507,190,0,317
S01007586,505,106,0,399
S01007587,306,93,0,213
S01007588,384,117,0,267
S01007589,602,125,1,476
S01007590,289,106,0,183
S01007591,550,122,1,427
S01007592,561,108,2,451
S01007593,477,133,0,344
S01007594,334,77,0,257
S01007595,443,126,0,317
S01007596,347,116,0,231
S01007597,254,58,0,196
S01007598,462,118,1,343
S01007599,361,65,2,294
S01007600,459,114,1,344
S01007601,300,30,1,269
S01007602,390,53,0,337
S01007603,370,52,0,318
S01007604,437,116,1,320
S01007605,496,142,1,353
S01007606,314,77,0,237
S01007607,390,105,0,285
S01007608,410,113,0,297
S01007609,495,101,1,393
S01007610,384,89,1,294
S01007611,704,217,0,487
S01007612,609,107,10,492
S01007613,452,102,4,346
S01007614,484,129,0,355
S01007615,640,166,0,474
S01007616,470,109,2,359
S01007617,299,79,0,220
S01007618,357,129,0,228
S01007619,328,86,0,242
S01007620,376,109,0,267
S01007621,422,145,0,277
S01007622,553,145,0,408
S01007623,250,69,0,181
S01007624,302,56,0,246
S01007625,304,70,0,234
S01007626,269,35,0,234
S01007627,251,69,0,182
S01007628,407,157,0,250
S01007629,345,88,1,256
S01007630,338,70,0,268
S01007631,269,62,0,207
S01007632,743,170,0,573
S01007633,687,178,0,509
S01007634,346,85,0,261
S01007635,429,172,0,257
S01007636,655,233,0,422
S01007637,641,165,0,476
S01007638,522,180,0,342
S01007639,451,80,0,371
S01007640,303,57,0,246
S01007641,369,93,0,276
S01007642,558,195,0,363
S01007643,505,162,0,343
S01007644,491,145,0,346
S01007645,382,84,0,298
S01007646,260,53,0,207
S01007647,496,141,0,355
S01007648,559,172,1,386
S01007649,339,88,1,250
S01007650,463,134,0,329
S01007651,282,64,0,218
S01007652,378,106,0,272
S01007653,490,117,0,373
S01007654,541,125,0,416
S01007655,341,76,0,265
S01007656,393,88,0,305
S01007657,243,41,0,202
S01007658,307,84,0,223
S01007659,477,131,0,346
S01007660,601,132,0,469
S01007661,441,130,0,311
S01007662,575,191,0,384
S01007663,514,150,0,364
S01007664,283,82,0,201
S01007665,324,93,0,231
S01007666,198,57,0,141
S01007667,283,74,0,209
S01007668,547,121,0,426
S01007669,268,41,0,227
S01007670,468,90,0,378
S01007671,341,79,0,262
S01007672,449,178,0,271
S01007673,304,64,0,240
S01007674,515,113,0,402
S01007675,332,73,0,259
S01007676,232,58,0,174
S01007677,107,34,0,73
S01007678,380,120,0,260
S01007679,463,138,0,325
S01007680,386,107,0,279
S01007681,239,66,0,173
S01007682,453,100,12,341
S01007683,444,113,14,317
S01007684,508,142,9,357
S01007685,385,96,6,283
S01007686,517,116,24,377
S01007687,429,85,50,294
S01007688,648,56,89,503
S01007689,288,43,51,194
S01007690,540,51,141,348
S01007691,847,33,216,598
S01007692,494,68,126,300
S01007693,554,67,84,403
S01007694,474,67,73,334
S01007695,663,170,48,445
S01007696,586,62,93,431
S01007697,816,169,49,598
S01007698,728,20,60,648
S01007699,454,25,44,385
S01007700,450,78,8,364
S01007701,272,40,19,213
S01007702,375,17,49,309
S01007703,627,119,30,478
S01007704,720,81,53,586
S01007705,410,9,122,279
S01007706,509,14,169,326
S01007707,675,16,75,584
S01007708,587,102,15,470
S01007709,455,102,14,339
S01007710,1215,63,142,1010
S01007711,647,84,91,472
S01007712,538,49,48,441
S01007713,285,45,12,228
S01007714,321,49,3,269
S01007715,402,79,13,310
S01007716,706,177,27,502
S01007717,567,97,8,462
S01007718,640,157,7,476
S01007719,952,219,5,728
S01007720,577,210,1,366
S01007721,636,174,2,460
S01007722,613,128,6,479
S01007723,648,203,2,443
S01007724,444,16,12,416
S01007725,839,189,8,642
S01007726,506,75,4,427
S01007727,591,69,29,493
S01007728,706,51,27,628
S01007729,588,28,22,538
S01007730,578,46,12,520
S01007731,396,33,6,357
S01007732,523,62,27,434
S01007733,338,49,1,288
S01007734,384,120,0,264
S01007735,359,89,0,270
S01007736,350,86,1,263
S01007737,598,178,1,419
S01007738,565,189,0,376
S01007739,462,211,0,251
S01007740,337,97,0,240
S01007741,512,209,2,301
S01007742,375,123,1,251
S01007743,457,78,0,379
S01007744,403,113,0,290
S01007745,533,114,1,418
S01007746,409,63,0,346
S01007747,401,56,0,345
S01007748,369,58,1,310
S01007749,338,79,1,258
S01007750,412,168,0,244
S01007751,337,137,1,199
S01007752,567,289,1,277
S01007753,430,87,0,343
S01007754,601,129,1,471
S01007755,417,120,0,297
S01007756,468,140,0,328
S01007757,562,199,0,363
S01007758,570,261,1,308
S01007759,806,245,1,560
S01007760,438,162,0,276
S01007761,383,108,0,275
S01007762,474,155,0,319
S01007763,425,201,0,224
S01007764,374,90,2,282
S01007765,434,154,0,280
S01007766,470,167,1,302
S01007767,444,139,0,305
S01007768,406,127,1,278
S01007769,363,127,0,236
S01007770,371,150,0,221
S01007771,367,147,1,219
S01007772,636,199,0,437
S01007773,314,84,0,230
S01007774,51,2,0,49
S01007775,511,92,0,419
S01007776,215,27,0,188
S01007777,201,24,0,177
S01007778,725,27,0,698
S01007779,342,58,0,284
S01007780,331,32,0,299
S01007781,342,31,0,311
S01007782,339,34,2,303
S01007783,440,104,0,336
S01007784,415,20,0,395
S01007785,229,46,0,183
S01007786,385,81,0,304
S01007787,326,53,0,273
S01007788,323,25,0,298
S01007789,430,36,0,394
S01007790,663,38,0,625
S01007791,401,29,0,372
S01007792,424,76,0,348
S01007793,501,140,0,361
S01007794,485,114,0,371
S01007795,291,39,0,252
S01007796,326,62,0,264
S01007797,302,55,0,247
S01007798,270,20,0,250
S01007799,142,12,0,130
S01007800,401,55,0,346
S01007801,388,69,0,319
S01007802,240,14,0,226
S01007803,677,134,0,543
S01007804,364,55,0,309
S01007805,382,28,0,354
S01007806,407,71,0,336
S01007807,334,47,0,287
S01007808,343,30,0,313
S01007809,551,189,2,360
S01007810,417,108,1,308
S01007811,325,43,0,282
S01007812,328,22,0,306
S01007813,436,64,0,372
S01007814,376,106,1,269
S01007815,450,112,0,338
S01007816,273,54,0,219
S01007817,377,104,0,273
S01007818,403,91,0,312
S01007819,353,108,1,244
S01007820,450,135,0,315
S01007821,397,149,0,248
S01007822,463,151,0,312
S01007823,349,100,1,248
S01007824,539,184,1,354
S01007825,630,218,0,412
S01007826,260,68,0,192
S01007827,336,30,2,304
S01007828,724,171,5,548
S01007829,420,172,3,245
S01007830,632,211,11,410
S01007831,605,146,6,453
S01007832,515,142,4,369
S01007833,605,317,2,286
S01007834,416,73,9,334
S01007835,368,114,0,254
S01007836,382,128,0,254
S01007837,553,139,0,414
S01007838,480,193,1,286
S01007839,527,187,4,336
S01007840,495,121,4,370
S01007841,447,92,0,355
S01007842,612,92,4,516
S01007843,503,90,8,405
S01007844,652,88,6,558
S01007845,477,97,0,380
S01007846,381,76,0,305
S01007847,705,149,0,556
S01007848,568,91,2,475
S01007849,484,77,0,407
S01007850,293,65,0,228
S01007851,548,223,0,325
S01007852,624,133,0,491
S01007853,485,141,3,341
S01007854,649,131,0,518
S01007855,401,75,2,324
S01007856,438,109,0,329
S01007857,286,54,0,232
S01007858,987,224,2,761
S01007859,660,123,1,536
S01007860,483,72,1,410
S01007861,432,86,0,346
S01007862,491,86,0,405
S01007863,441,62,0,379
S01007864,486,127,3,356
S01007865,523,49,1,473
S01007866,209,8,0,201
S01007867,494,31,1,462
S01007868,786,96,3,687
S01007869,808,88,4,716
S01007870,253,40,0,213
S01007871,463,84,0,379
S01007872,363,55,0,308
S01007873,328,83,0,245
S01007874,432,124,0,308
S01007875,339,64,0,275
S01007876,420,76,0,344
S01007877,398,98,0,300
S01007878,316,60,0,256
S01007879,505,88,0,417
S01007880,211,37,0,174
S01007881,278,54,0,224
S01007882,609,83,0,526
S01007883,527,104,0,423
S01007884,417,95,0,322
S01007885,462,106,0,356
S01007886,572,136,0,436
S01007887,300,74,0,226
S01007888,451,68,0,383
S01007889,510,139,0,371
S01007890,286,56,0,230
S01007891,550,120,0,430
S01007892,512,138,0,374
S01007893,543,119,0,424
S01007894,448,105,0,343
S01007895,350,117,0,233
S01007896,474,109,0,365
S01007897,623,92,0,531
S01007898,295,52,0,243
S01007899,213,45,0,168
S01007900,232,63,0,169
S01007901,350,92,0,258
S01007902,430,86,0,344
S01007903,383,108,0,275
S01007904,312,63,0,249
S01007905,340,48,0,292
S01007906,418,136,0,282
S01007907,385,143,0,242
S01007908,579,169,0,410
S01007909,286,44,0,242
S01007910,463,73,1,389
S01007911,483,109,1,373
S01007912,389,93,0,296
S01007913,549,146,0,403
S01007914,324,65,0,259
S01007915,410,80,0,330
S01007916,511,185,0,326
S01007917,563,107,0,456
S01007918,500,134,0,366
S01007919,383,80,0,303
S01007920,245,49,0,196
S01007921,520,118,0,402
S01007922,588,122,0,466
S01007923,515,88,0,427
S01007924,530,100,0,430
S01007925,264,47,0,217
S01007926,352,55,0,297
S01007927,237,38,0,199
S01007928,490,105,0,385
S01007929,586,63,0,523
S01007930,267,39,0,228
S01007931,562,136,0,426
S01007932,364,112,0,252
S01007933,529,99,0,430
S01007934,300,67,0,233
S01007935,643,157,0,486
S01007936,468,67,0,401
S01007937,601,97,0,504
S01007938,420,100,0,320
S01007939,469,117,0,352
S01007940,764,174,1,589
S01007941,257,46,0,211
S01007942,207,24,0,183
S01007943,444,111,0,333
S01007944,481,109,0,372
S01007945,620,148,0,472
S01007946,518,100,0,418
S01007947,474,104,0,370
S01007948,345,72,0,273
S01007949,455,123,0,332
S01007950,492,107,0,385
S01007951,456,121,0,335
S01007952,447,133,0,314
S01007953,450,99,0,351
S01007954,324,48,0,276
S01007955,478,71,1,406
S01007956,398,80,0,318
S01007957,605,182,0,423
S01007958,476,98,0,378
S01007959,671,176,0,495
S01007960,263,43,0,220
S01007961,468,88,0,380
S01007962,438,47,0,391
S01007963,467,58,0,409
S01007964,397,93,0,304
S01007965,360,82,0,278
S01007966,461,89,0,372
S01007967,351,61,0,290
S01007968,464,132,0,332
S01007969,390,116,0,274
S01007970,519,125,0,394
S01007971,515,142,0,373
S01007972,498,128,0,370
S01007973,383,88,0,295
S01007974,503,126,0,377
S01007975,324,93,0,231
S01007976,681,190,1,490
S01007977,304,55,0,249
S01007978,462,96,1,365
S01007979,389,79,0,310
S01007980,387,127,0,260
S01007981,361,137,0,224
S01007982,308,87,0,221
S01007983,663,244,0,419
S01007984,429,156,0,273
S01007985,412,92,0,320
S01007986,279,69,0,210
S01007987,450,84,0,366
S01007988,380,82,0,298
S01007989,290,26,0,264
S01007990,466,51,0,415
S01007991,357,28,0,329
S01007992,363,24,0,339
S01007993,364,64,0,300
S01007994,225,11,0,214
S01007995,271,35,0,236
S01007996,144,37,0,107
S01007997,296,77,1,218
S01007998,275,64,0,211
S01007999,389,91,0,298
S01008000,390,80,0,310
S01008001,398,65,0,333
S01008002,451,35,0,416
S01008003,284,33,0,251
S01008004,46,5,0,41
S01008005,39,3,0,36
S01008006,363,45,0,318
S01008007,261,25,0,236
S01008008,323,38,0,285
S01008009,499,65,1,433
S01008010,687,79,1,607
S01008011,579,177,1,401
S01008012,580,108,0,472
S01008013,446,115,0,331
S01008014,420,83,0,337
S01008015,481,108,0,373
S01008016,433,143,0,290
S01008017,375,131,0,244
S01008018,444,145,0,299
S01008019,450,137,0,313
S01008020,463,81,1,381
S01008021,315,83,1,231
S01008022,339,86,1,252
S01008023,601,60,0,541
S01008024,310,11,0,299
S01008025,372,71,1,300
S01008026,576,144,0,432
S01008027,382,104,0,278
S01008028,239,41,0,198
S01008029,1334,118,0,1216
S01008030,893,148,0,745
S01008031,668,132,0,536
S01008032,542,109,0,433
S01008033,405,67,0,338
S01008034,402,40,0,362
S01008035,426,86,0,340
S01008036,246,56,0,190
S01008037,594,125,0,469
S01008038,411,86,1,324
S01008039,453,107,0,346
S01008040,311,94,0,217
S01008041,513,168,0,345
S01008042,410,144,0,266
S01008043,571,182,0,389
S01008044,537,189,0,348
S01008045,579,188,0,391
S01008046,695,304,0,391
S01008047,292,109,2,181
S01008048,283,102,1,180
S01008049,450,183,0,267
S01008050,270,100,0,170
S01008051,480,123,0,357
S01008052,337,84,0,253
S01008053,426,152,0,274
S01008054,361,138,0,223
S01008055,384,104,0,280
S01008056,490,182,0,308
S01008057,582,205,0,377
S01008058,304,36,0,268
S01008059,260,62,0,198
S01008060,605,97,0,508
S01008061,373,83,0,290
S01008062,425,113,0,312
S01008063,357,110,0,247
S01008064,414,84,0,330
S01008065,437,84,0,353
S01008066,383,109,0,274
S01008067,281,81,0,200
S01008068,499,145,0,354
S01008069,484,114,0,370
S01008070,457,87,0,370
S01008071,396,90,0,306
S01008072,568,125,0,443
S01008073,178,50,0,128
S01008074,378,94,0,284
S01008075,246,103,0,143
S01008076,433,172,0,261
S01008077,406,127,0,279
S01008078,350,115,0,235
S01008079,341,107,0,234
S01008080,319,85,0,234
S01008081,298,81,0,217
S01008082,425,122,0,303
S01008083,313,93,0,220
S01008084,418,92,0,326
S01008085,461,70,0,391
S01008086,482,77,0,405
S01008087,433,143,1,289
S01008088,398,135,0,263
S01008089,378,123,0,255
S01008090,305,82,0,223
S01008091,199,51,0,148
S01008092,501,250,0,251
S01008093,371,139,0,232
S01008094,281,91,0,190
S01008095,485,160,0,325
S01008096,334,135,0,199
S01008097,414,186,0,228
S01008098,293,84,0,209
S01008099,209,42,0,167
S01008100,440,170,0,270
S01008101,539,65,0,474
S01008102,310,59,0,251
S01008103,406,139,0,267
S01008104,447,81,0,366
S01008105,580,119,0,461
S01008106,678,103,0,575
S01008107,442,32,0,410
S01008108,349,47,0,302
S01008109,332,56,0,276
S01008110,351,75,0,276
S01008111,349,124,0,225
S01008112,374,135,0,239
S01008113,399,120,0,279
S01008114,357,110,0,247
S01008115,368,47,0,321
S01008116,419,85,0,334
S01008117,329,106,0,223
S01008118,529,145,0,384
S01008119,303,69,0,234
S01008120,318,109,0,209
S01008121,269,96,0,173
S01008122,427,123,0,304
S01008123,445,144,0,301
S01008124,378,78,0,300
S01008125,484,115,0,369
S01008126,351,37,0,314
S01008127,194,42,0,152
S01008128,440,102,0,338
S01008129,473,91,0,382
S01008130,548,89,0,459
S01008131,398,71,0,327
S01008132,453,161,0,292
S01008133,417,152,0,265
S01008134,399,101,0,298
S01008135,700,101,0,599
S01008136,788,144,0,644
S01008137,603,77,0,526
S01008138,457,50,0,407
S01008139,498,104,0,394
S01008140,329,93,0,236
S01008141,434,101,0,333
S01008142,360,53,0,307
S01008143,539,139,0,400
S01008144,377,60,0,317
S01008145,417,86,0,331
S01008146,301,80,0,221
S01008147,389,66,0,323
S01008148,391,54,0,337
S01008149,435,100,0,335
S01008150,631,143,0,488
S01008151,481,123,0,358
S01008152,589,170,0,419
S01008153,295,37,0,258
S01008154,445,142,0,303
S01008155,345,76,0,269
S01008156,440,83,0,357
S01008157,430,79,0,351
S01008158,418,48,0,370
S01008159,551,114,0,437
S01008160,546,85,0,461
S01008161,565,63,0,502
S01008162,556,142,0,414
S01008163,383,73,0,310
S01008164,289,49,0,240
S01008165,305,15,0,290
S01008166,492,52,1,439
S01008167,599,63,0,536
S01008168,460,76,0,384
S01008169,586,79,1,506
S01008170,291,53,0,238
S01008171,474,127,2,345
S01008172,250,64,0,186
S01008173,304,53,0,251
S01008174,226,49,2,175
S01008175,378,54,1,323
S01008176,593,75,4,514
S01008177,416,112,0,304
S01008178,278,72,0,206
S01008179,126,7,0,119
S01008180,167,13,1,153
S01008181,284,87,1,196
S01008182,748,152,4,592
S01008183,474,108,7,359
S01008184,524,161,7,356
S01008185,679,164,2,513
S01008186,485,110,4,371
S01008187,327,61,2,264
S01008188,769,207,6,556
S01008189,486,122,0,364
S01008190,412,87,0,325
S01008191,547,96,1,450
S01008192,484,96,0,388
S01008193,391,90,0,301
S01008194,275,50,0,225
S01008195,481,53,2,426
S01008196,370,42,1,327
S01008197,727,45,0,682
S01008198,300,83,0,217
S01008199,298,35,0,263
S01008200,390,112,0,278
S01008201,600,132,0,468
S01008202,368,114,0,254
S01008203,283,53,0,230
S01008204,1189,242,0,947
S01008205,316,64,0,252
S01008206,676,136,0,540
S01008207,345,61,0,284
S01008208,413,31,0,382
S01008209,242,10,0,232
S01008210,642,114,0,528
S01008211,461,106,0,355
S01008212,256,24,0,232
S01008213,364,58,0,306
S01008214,400,122,0,278
S01008215,482,110,0,372
S01008216,315,55,0,260
S01008217,274,57,0,217
S01008218,828,58,0,770
S01008219,545,98,0,447
S01008220,223,20,0,203
S01008221,362,55,0,307
S01008222,332,114,0,218
S01008223,280,94,0,186
S01008224,406,71,0,335
S01008225,325,58,0,267
S01008226,379,116,1,262
S01008227,460,121,0,339
S01008228,346,86,0,260
S01008229,532,92,0,440
S01008230,305,13,0,292
S01008231,231,8,0,223
S01008232,91,14,0,77
S01008233,636,44,0,592
S01008234,803,98,0,705
S01008235,414,113,0,301
S01008236,462,111,0,351
S01008237,399,76,0,323
S01008238,464,108,0,356
S01008239,331,75,0,256
S01008240,564,134,0,430
S01008241,437,119,0,318
S01008242,553,176,0,377
S01008243,456,106,0,350
S01008244,427,106,0,321
S01008245,481,122,0,359
S01008246,465,68,1,396
S01008247,394,59,0,335
S01008248,580,165,0,415
S01008249,401,96,0,305
S01008250,494,117,0,377
S01008251,375,65,0,310
S01008252,475,149,0,326
S01008253,410,130,0,280
S01008254,545,139,0,406
S01008255,411,89,0,322
S01008256,448,85,0,363
S01008257,444,187,0,257
S01008258,591,118,0,473
S01008259,693,167,0,526
S01008260,460,85,0,375
S01008261,496,92,0,404
S01008262,401,88,0,313
S01008263,357,82,0,275
S01008264,409,104,0,305
S01008265,332,138,0,194
S01008266,449,158,0,291
S01008267,350,82,0,268
S01008268,355,127,0,228
S01008269,509,257,0,252
S01008270,570,265,0,305
S01008271,430,106,0,324
S01008272,414,94,0,320
S01008273,441,137,0,304
S01008274,416,105,0,311
S01008275,308,90,0,218
S01008276,249,48,0,201
S01008277,291,57,0,234
S01008278,334,92,0,242
S01008279,331,94,0,237
S01008280,578,160,0,418
S01008281,367,60,0,307
S01008282,326,67,0,259
S01008283,445,45,0,400
S01008284,597,99,0,498
S01008285,355,97,0,258
S01008286,588,140,0,448
S01008287,355,83,1,271
S01008288,455,149,0,306
S01008289,399,78,0,321
S01008290,464,91,0,373
S01008291,520,194,0,326
S01008292,590,71,0,519
S01008293,403,63,0,340
S01008294,271,42,0,229
S01008295,486,79,0,407
S01008296,397,107,0,290
S01008297,258,45,0,213
S01008298,451,84,0,367
S01008299,550,151,0,399
S01008300,412,84,0,328
S01008301,385,51,0,334
S01008302,373,96,0,277
S01008303,399,96,0,303
S01008304,212,51,0,161
S01008305,315,72,0,243
S01008306,239,46,0,193
S01008307,290,63,0,227
S01008308,238,77,0,161
S01008309,490,108,0,382
S01008310,467,142,0,325
S01008311,337,49,0,288
S01008312,343,62,0,281
S01008313,468,86,0,382
S01008314,527,58,0,469
S01008315,450,69,0,381
S01008316,391,23,0,368
S01008317,316,23,0,293
S01008318,607,115,0,492
S01008319,326,116,0,210
S01008320,308,102,0,206
S01008321,263,39,0,224
S01008322,812,144,0,668
S01008323,363,55,0,308
S01008324,254,37,0,217
S01008325,452,40,0,412
S01008326,517,75,0,442
S01008327,485,117,0,368
S01008328,310,27,0,283
S01008329,348,43,0,305
S01008330,363,62,0,301
S01008331,316,46,0,270
S01008332,432,133,0,299
S01008333,516,216,1,299
S01008334,439,152,0,287
S01008335,456,138,0,318
S01008336,448,95,0,353
S01008337,365,63,0,302
S01008338,262,17,0,245
S01008339,227,22,0,205
S01008340,356,37,0,319
S01008341,204,10,0,194
S01008342,471,110,0,361
S01008343,489,210,0,279
S01008344,355,97,0,258
S01008345,509,165,0,344
S01008346,383,108,0,275
S01008347,594,249,0,345
S01008348,429,150,0,279
S01008349,507,107,0,400
S01008350,333,131,0,202
S01008351,414,132,0,282
S01008352,344,109,0,235
S01008353,198,59,1,138
S01008354,397,79,0,318
S01008355,531,170,0,361
S01008356,385,78,0,307
S01008357,382,110,0,272
S01008358,409,136,0,273
S01008359,303,78,0,225
S01008360,493,100,1,392
S01008361,305,66,0,239
S01008362,480,76,0,404
S01008363,363,72,0,291
S01008364,352,105,0,247
S01008365,409,123,0,286
S01008366,461,166,0,295
S01008367,510,141,0,369
S01008368,443,107,0,336
S01008369,351,83,0,268
S01008370,300,73,0,227
S01008371,343,78,0,265
S01008372,337,62,0,275
S01008373,410,84,0,326
S01008374,318,73,0,245
S01008375,285,73,0,212
S01008376,267,55,0,212
S01008377,392,95,0,297
S01008378,460,156,0,304
S01008379,206,70,0,136
S01008380,238,43,0,195
S01008381,391,69,0,322
S01008382,342,83,0,259
S01008383,235,60,0,175
S01008384,387,83,0,304
S01008385,252,68,0,184
S01008386,402,85,0,317
S01008387,349,69,0,280
S01008388,243,20,0,223
S01008389,352,183,0,169
S01008390,300,88,0,212
S01008391,349,152,0,197
S01008392,330,53,0,277
S01008393,397,149,0,248
S01008394,388,91,0,297
S01008395,309,58,0,251
S01008396,363,145,0,218
S01008397,368,83,0,285
S01008398,354,106,0,248
S01008399,379,192,0,187
S01008400,434,131,0,303
S01008401,541,191,0,350
S01008402,415,134,0,281
S01008403,398,162,0,236
S01008404,392,122,0,270
S01008405,327,99,0,228
S01008406,520,214,0,306
S01008407,284,114,0,170
S01008408,325,60,0,265
S01008409,499,123,0,376
S01008410,371,133,1,237
S01008411,463,101,1,361
S01008412,274,63,0,211
S01008413,293,55,0,238
S01008414,215,36,0,179
S01008415,433,95,0,338
S01008416,549,108,0,441
S01008417,299,77,0,222
S01008418,312,87,0,225
S01008419,193,38,0,155
S01008420,236,58,1,177
S01008421,394,85,2,307
S01008422,396,109,2,285
S01008423,398,84,0,314
S01008424,454,164,0,290
S01008425,454,135,1,318
S01008426,516,161,2,353
S01008427,474,63,1,410
S01008428,413,153,0,260
S01008429,395,122,0,273
S01008430,458,139,1,318
S01008431,452,136,0,316
S01008432,473,171,0,302
S01008433,348,77,0,271
S01008434,421,84,0,337
S01008435,432,105,0,327
S01008436,451,136,2,313
S01008437,404,125,0,279
S01008438,249,41,1,207
S01008439,434,97,0,337
S01008440,479,143,1,335
S01008441,416,82,0,334
S01008442,336,54,0,282
S01008443,252,71,0,181
S01008444,297,46,0,251
S01008445,458,197,0,261
S01008446,646,299,0,347
S01008447,286,74,0,212
S01008448,365,97,5,263
S01008449,422,50,0,372
S01008450,256,16,0,240
S01008451,445,37,1,407
S01008452,432,22,3,407
S01008453,418,13,5,400
S01008454,575,45,0,530
S01008455,626,87,14,525
S01008456,668,68,6,594
S01008457,531,119,11,401
S01008458,434,61,5,368
S01008459,428,40,1,387
S01008460,587,35,1,551
S01008461,535,47,0,488
S01008462,399,79,3,317
S01008463,467,54,5,408
S01008464,453,99,4,350
S01008465,444,84,6,354
S01008466,352,50,7,295
S01008467,363,67,2,294
S01008468,368,68,8,292
S01008469,319,56,13,250
S01008470,393,64,3,326
S01008471,347,29,2,316
S01008472,312,41,4,267
S01008473,307,45,3,259
S01008474,468,111,8,349
S01008475,543,119,15,409
S01008476,448,121,0,327
S01008477,656,153,2,501
S01008478,522,142,14,366
S01008479,612,183,14,415
S01008480,231,37,0,194
S01008481,373,73,1,299
S01008482,422,109,2,311
S01008483,443,118,2,323
S01008484,418,95,3,320
S01008485,493,97,9,387
S01008486,459,165,6,288
S01008487,522,77,16,429
S01008488,733,152,21,560
S01008489,459,100,11,348
S01008490,664,109,22,533
S01008491,511,59,37,415
S01008492,515,22,15,478
S01008493,478,106,17,355
S01008494,487,57,13,417
S01008495,705,37,43,625
S01008496,805,35,36,734
S01008497,681,32,11,638
S01008498,525,32,18,475
S01008499,669,31,57,581
S01008500,240,8,9,223
S01008501,426,16,39,371
S01008502,392,12,28,352
S01008503,510,39,20,451
S01008504,848,90,37,721
S01008505,481,54,11,416
S01008506,552,143,10,399
S01008507,386,30,14,342
S01008508,496,149,3,344
S01008509,617,171,3,443
S01008510,390,101,10,279
S01008511,431,142,0,289
S01008512,457,118,0,339
S01008513,324,102,0,222
S01008514,328,115,3,210
S01008515,378,66,2,310
S01008516,772,101,39,632
S01008517,588,141,40,407
S01008518,503,81,16,406
S01008519,418,94,1,323
S01008520,541,167,0,374
S01008521,338,81,0,257
S01008522,252,55,3,194
S01008523,516,93,3,420
S01008524,582,102,7,473
S01008525,571,161,1,409
S01008526,448,137,3,308
S01008527,333,50,0,283
S01008528,304,51,0,253
S01008529,388,102,2,284
S01008530,530,122,0,408
S01008531,510,115,1,394
S01008532,305,89,1,215
S01008533,179,14,0,165
S01008534,319,34,1,284
S01008535,284,68,1,215
S01008536,311,104,0,207
S01008537,280,77,0,203
S01008538,287,117,0,170
S01008539,466,143,1,322
S01008540,425,144,1,280
S01008541,370,84,2,284
S01008542,431,76,1,354
S01008543,355,53,1,301
S01008544,216,12,0,204
S01008545,395,88,0,307
S01008546,337,97,0,240
S01008547,483,44,0,439
S01008548,476,88,1,387
S01008549,566,113,0,453
S01008550,464,65,0,399
S01008551,496,131,1,364
S01008552,444,103,0,341
S01008553,307,75,1,231
S01008554,368,45,0,323
S01008555,663,126,4,533
S01008556,539,155,1,383
S01008557,474,120,0,354
S01008558,433,105,4,324
S01008559,360,86,1,273
S01008560,379,83,0,296
S01008561,444,96,1,347
S01008562,426,108,0,318
S01008563,523,114,0,409
S01008564,506,136,1,369
S01008565,470,88,1,381
S01008566,460,80,0,380
S01008567,351,55,0,296
S01008568,384,54,0,330
S01008569,453,46,3,404
S01008570,552,70,0,482
S01008571,379,102,1,276
S01008572,415,85,1,329
S01008573,436,59,0,377
S01008574,441,56,3,382
S01008575,369,74,1,294
S01008576,484,120,9,355
S01008577,512,153,0,359
S01008578,377,117,1,259
S01008579,374,121,0,253
S01008580,404,108,4,292
S01008581,542,155,6,381
S01008582,662,152,9,501
S01008583,460,120,6,334
S01008584,602,125,14,463
S01008585,411,77,7,327
S01008586,433,111,5,317
S01008587,316,79,7,230
S01008588,488,143,14,331
S01008589,172,66,2,104
S01008590,413,156,16,241
S01008591,437,68,33,336
S01008592,397,100,22,275
S01008593,346,97,5,244
S01008594,391,79,18,294
S01008595,663,193,13,457
S01008596,496,98,45,353
S01008597,510,139,14,357
S01008598,499,84,76,339
S01008599,411,66,49,296
S01008600,377,56,25,296
S01008601,314,38,89,187
S01008602,321,44,37,240
S01008603,487,25,119,343
S01008604,515,57,64,394
S01008605,416,39,60,317
S01008606,392,71,10,311
S01008607,283,105,2,176
S01008608,376,133,8,235
S01008609,527,193,6,328
S01008610,549,192,80,277
S01008611,592,62,111,419
S01008612,376,25,73,278
S01008613,484,80,73,331
S01008614,399,42,123,234
S01008615,387,64,102,221
S01008616,315,24,110,181
S01008617,341,30,125,186
S01008618,267,18,99,150
S01008619,203,21,52,130
S01008620,290,17,99,174
S01008621,316,21,110,185
S01008622,305,26,77,202
S01008623,420,99,62,259
S01008624,396,162,9,225
S01008625,239,65,2,172
S01008626,482,81,15,386
S01008627,294,63,3,228
S01008628,344,53,27,264
S01008629,497,109,27,361
S01008630,404,76,34,294
S01008631,527,93,21,413
S01008632,584,97,11,476
S01008633,600,205,17,378
S01008634,276,50,21,205
S01008635,362,52,31,279
S01008636,407,98,36,273
S01008637,341,67,36,238
S01008638,513,113,79,321
S01008639,587,41,39,507
S01008640,552,33,68,451
S01008641,481,43,82,356
S01008642,483,42,58,383
S01008643,451,37,31,383
S01008644,333,57,40,236
S01008645,472,52,64,356
S01008646,704,67,34,603
S01008647,408,21,27,360
S01008648,549,45,62,442
