"dz_2011","total","active","inactive"
"S01006506",692,525,167
"S01006507",640,469,171
"S01006508",530,435,95
"S01006509",420,320,100
"S01006510",455,305,150
"S01006511",551,365,186
"S01006512",340,252,88
"S01006513",299,183,116
"S01006514",709,490,219
"S01006515",537,376,161
"S01006516",541,374,167
"S01006517",727,525,202
"S01006518",464,316,148
"S01006519",625,437,188
"S01006520",497,348,149
"S01006521",540,383,157
"S01006522",402,301,101
"S01006523",667,476,191
"S01006524",561,355,206
"S01006525",566,383,183
"S01006526",676,488,188
"S01006527",496,342,154
"S01006528",805,531,274
"S01006529",696,511,185
"S01006530",565,399,166
"S01006531",771,508,263
"S01006532",519,369,150
"S01006533",539,409,130
"S01006534",663,502,161
"S01006535",929,769,160
"S01006536",824,706,118
"S01006537",495,335,160
"S01006538",410,301,109
"S01006539",521,376,145
"S01006540",723,550,173
"S01006541",556,405,151
"S01006542",707,478,229
"S01006543",526,383,143
"S01006544",811,652,159
"S01006545",759,577,182
"S01006546",470,322,148
"S01006547",916,641,275
"S01006548",503,346,157
"S01006549",606,416,190
"S01006550",659,440,219
"S01006551",295,196,99
"S01006552",700,537,163
"S01006553",550,367,183
"S01006554",521,401,120
"S01006555",621,474,147
"S01006556",569,408,161
"S01006557",525,384,141
"S01006558",587,465,122
"S01006559",396,283,113
"S01006560",706,533,173
"S01006561",558,411,147
"S01006562",531,364,167
"S01006563",602,428,174
"S01006564",818,622,196
"S01006565",925,656,269
"S01006566",663,504,159
"S01006567",735,548,187
"S01006568",863,739,124
"S01006569",470,367,103
"S01006570",609,464,145
"S01006571",697,545,152
"S01006572",643,464,179
"S01006573",534,403,131
"S01006574",741,532,209
"S01006575",721,562,159
"S01006576",492,403,89
"S01006577",651,536,115
"S01006578",952,780,172
"S01006579",934,787,147
"S01006580",615,512,103
"S01006581",670,492,178
"S01006582",797,659,138
"S01006583",666,547,119
"S01006584",561,464,97
"S01006585",691,511,180
"S01006586",929,681,248
"S01006587",420,332,88
"S01006588",551,458,93
"S01006589",624,484,140
"S01006590",596,480,116
"S01006591",649,554,95
"S01006592",600,521,79
"S01006593",677,572,105
"S01006594",446,346,100
"S01006595",828,707,121
"S01006596",590,504,86
"S01006597",488,420,68
"S01006598",766,586,180
"S01006599",648,475,173
"S01006600",798,622,176
"S01006601",847,681,166
"S01006602",606,447,159
"S01006603",625,425,200
"S01006604",538,379,159
"S01006605",548,399,149
"S01006606",618,422,196
"S01006607",695,515,180
"S01006608",873,678,195
"S01006609",772,551,221
"S01006610",328,242,86
"S01006611",654,475,179
"S01006612",669,518,151
"S01006613",472,412,60
"S01006614",484,423,61
"S01006615",240,193,47
"S01006616",655,587,68
"S01006617",454,360,94
"S01006618",443,342,101
"S01006619",705,548,157
"S01006620",756,616,140
"S01006621",414,326,88
"S01006622",543,471,72
"S01006623",584,440,144
"S01006624",857,580,277
"S01006625",510,392,118
"S01006626",548,412,136
"S01006627",915,749,166
"S01006628",792,673,119
"S01006629",568,408,160
"S01006630",459,309,150
"S01006631",711,527,184
"S01006632",624,452,172
"S01006633",503,338,165
"S01006634",445,304,141
"S01006635",485,358,127
"S01006636",603,429,174
"S01006637",619,457,162
"S01006638",758,559,199
"S01006639",805,574,231
"S01006640",683,506,177
"S01006641",575,450,125
"S01006642",1306,771,535
"S01006643",701,528,173
"S01006644",893,642,251
"S01006645",547,387,160
"S01006646",995,605,390
"S01006647",477,346,131
"S01006648",1719,1096,623
"S01006649",1013,778,235
"S01006650",661,472,189
"S01006651",564,380,184
"S01006652",505,390,115
"S01006653",566,414,152
"S01006654",728,508,220
"S01006655",554,356,198
"S01006656",834,650,184
"S01006657",474,349,125
"S01006658",1018,734,284
"S01006659",566,354,212
"S01006660",357,241,116
"S01006661",660,416,244
"S01006662",797,446,351
"S01006663",512,315,197
"S01006664",201,134,67
"S01006665",655,406,249
"S01006666",1093,754,339
"S01006667",613,404,209
"S01006668",831,547,284
"S01006669",1101,519,582
"S01006670",839,543,296
"S01006671",2422,1080,1342
"S01006672",648,417,231
"S01006673",665,442,223
"S01006674",672,439,233
"S01006675",526,387,139
"S01006676",569,384,185
"S01006677",597,416,181
"S01006678",893,627,266
"S01006679",548,397,151
"S01006680",630,468,162
"S01006681",588,444,144
"S01006682",629,458,171
"S01006683",684,507,177
"S01006684",589,427,162
"S01006685",597,455,142
"S01006686",472,347,125
"S01006687",647,473,174
"S01006688",672,427,245
"S01006689",529,405,124
"S01006690",472,345,127
"S01006691",466,345,121
"S01006692",594,395,199
"S01006693",780,608,172
"S01006694",555,348,207
"S01006695",535,373,162
"S01006696",608,436,172
"S01006697",691,495,196
"S01006698",511,336,175
"S01006699",377,287,90
"S01006700",658,449,209
