dz_2011,total,scotland,ruk,elsewhere
S01006506,765,587,118,60
S01006507,1092,885,108,99
S01006508,858,663,128,67
S01006509,715,644,52,19
S01006510,735,636,71,28
S01006511,1019,754,151,114
S01006512,407,292,89,26
S01006513,1006,762,142,102
S01006514,1117,709,192,216
S01006515,1168,770,235,163
S01006516,903,539,168,196
S01006517,1049,719,207,123
S01006518,1049,622,194,233
S01006519,874,514,202,158
S01006520,897,471,167,259
S01006521,577,382,130,65
S01006522,560,403,105,52
S01006523,1409,1032,223,154
S01006524,1299,797,247,255
S01006525,1305,896,242,167
S01006526,1529,1360,109,60
S01006527,1388,1256,82,50
S01006528,1125,1013,61,51
S01006529,1028,881,90,57
S01006530,1179,1067,69,43
S01006531,1278,1144,85,49
S01006532,806,697,66,43
S01006533,830,648,87,95
S01006534,983,784,132,67
S01006535,1063,871,131,61
S01006536,1246,1006,155,85
S01006537,852,734,72,46
S01006538,686,592,58,36
S01006539,1008,840,101,67
S01006540,1259,1069,116,74
S01006541,990,850,79,61
S01006542,963,743,117,103
S01006543,1012,863,90,59
S01006544,1140,844,135,161
S01006545,1112,908,112,92
S01006546,1175,972,105,98
S01006547,1409,1151,148,110
S01006548,770,668,65,37
S01006549,828,696,77,55
S01006550,1263,1024,135,104
S01006551,921,773,90,58
S01006552,1348,1168,106,74
S01006553,1022,887,72,63
S01006554,937,844,57,36
S01006555,1089,976,73,40
S01006556,1032,956,52,24
S01006557,862,765,51,46
S01006558,880,660,136,84
S01006559,639,496,78,65
S01006560,1056,830,148,78
S01006561,891,745,96,50
S01006562,1044,876,108,60
S01006563,1138,875,131,132
S01006564,1172,894,152,126
S01006565,1201,893,162,146
S01006566,851,613,145,93
S01006567,1149,870,140,139
S01006568,1104,790,201,113
S01006569,749,551,123,75
S01006570,875,635,146,94
S01006571,1168,800,206,162
S01006572,1364,1003,186,175
S01006573,706,442,145,119
S01006574,967,671,156,140
S01006575,1145,878,179,88
S01006576,871,646,134,91
S01006577,925,653,161,111
S01006578,1514,1144,208,162
S01006579,1299,979,197,123
S01006580,806,600,115,91
S01006581,1233,986,141,106
S01006582,591,446,95,50
S01006583,964,687,175,102
S01006584,872,591,159,122
S01006585,809,653,87,69
S01006586,803,594,126,83
S01006587,502,351,84,67
S01006588,650,449,125,76
S01006589,1065,820,128,117
S01006590,617,447,107,63
S01006591,544,402,70,72
S01006592,434,312,65,57
S01006593,589,410,107,72
S01006594,761,583,123,55
S01006595,740,519,124,97
S01006596,964,680,165,119
S01006597,822,655,112,55
S01006598,1074,811,165,98
S01006599,1087,886,113,88
S01006600,1326,1092,130,104
S01006601,953,777,120,56
S01006602,982,718,155,109
S01006603,1377,1275,71,31
S01006604,938,881,35,22
S01006605,868,809,38,21
S01006606,1380,1256,77,47
S01006607,1302,1211,65,26
S01006608,871,784,64,23
S01006609,1343,1273,52,18
S01006610,752,710,25,17
S01006611,1183,1120,43,20
S01006612,995,892,43,60
S01006613,474,410,39,25
S01006614,929,809,88,32
S01006615,445,395,31,19
S01006616,811,734,58,19
S01006617,1022,920,77,25
S01006618,568,506,39,23
S01006619,995,882,83,30
S01006620,1146,1055,69,22
S01006621,838,777,41,20
S01006622,655,587,52,16
S01006623,1500,1374,84,42
S01006624,800,699,75,26
S01006625,858,793,43,22
S01006626,839,775,40,24
S01006627,674,592,47,35
S01006628,1110,950,110,50
S01006629,925,842,60,23
S01006630,867,812,36,19
S01006631,1155,1003,114,38
S01006632,960,883,48,29
S01006633,967,910,37,20
S01006634,804,739,43,22
S01006635,1001,921,54,26
S01006636,980,899,61,20
S01006637,606,480,73,53
S01006638,1061,865,120,76
S01006639,944,766,106,72
S01006640,201,186,7,8
S01006641,962,808,90,64
S01006642,822,642,125,55
S01006643,1056,792,153,111
S01006644,590,487,63,40
S01006645,1185,978,126,81
S01006646,1040,736,155,149
S01006647,688,574,63,51
S01006648,1691,1259,182,250
S01006649,696,552,101,43
S01006650,914,713,130,71
S01006651,725,555,100,70
S01006652,678,528,85,65
S01006653,714,571,93,50
S01006654,861,766,59,36
S01006655,581,508,39,34
S01006656,906,694,108,104
S01006657,595,481,80,34
S01006658,1186,848,179,159
S01006659,895,677,141,77
S01006660,639,479,82,78
S01006661,726,579,99,48
S01006662,685,490,80,115
S01006663,1263,774,266,223
S01006664,421,327,70,24
S01006665,799,533,149,117
S01006666,1388,1217,76,95
S01006667,1059,933,76,50
S01006668,833,635,111,87
S01006669,1193,861,188,144
S01006670,471,408,38,25
S01006671,1338,774,286,278
S01006672,767,611,84,72
S01006673,960,675,168,117
S01006674,930,813,55,62
S01006675,520,407,44,69
S01006676,798,692,54,52
S01006677,697,625,51,21
S01006678,1092,976,63,53
S01006679,884,795,63,26
S01006680,801,679,59,63
S01006681,1134,1034,61,39
S01006682,812,681,61,70
S01006683,1164,948,94,122
S01006684,727,647,52,28
S01006685,854,769,61,24
S01006686,931,865,31,35
S01006687,987,898,44,45
S01006688,1064,991,53,20
S01006689,481,420,36,25
S01006690,772,650,73,49
S01006691,873,745,86,42
S01006692,918,793,70,55
S01006693,1157,1035,79,43
S01006694,1219,1151,57,11
S01006695,761,707,32,22
S01006696,1127,1034,46,47
S01006697,1122,1037,54,31
S01006698,938,875,38,25
S01006699,820,761,33,26
S01006700,1319,1166,83,70
S01006701,1102,1035,45,22
S01006702,996,931,55,10
S01006703,804,755,35,14
S01006704,896,847,32,17
S01006705,1004,950,47,7
S01006706,854,803,37,14
S01006707,772,728,30,14
S01006708,892,835,34,23
S01006709,1107,1016,70,21
S01006710,1164,1059,81,24
S01006711,1146,1069,53,24
S01006712,664,631,29,4
S01006713,997,951,33,13
S01006714,934,865,45,24
S01006715,1104,1046,38,20
S01006716,654,626,23,5
S01006717,1062,1000,39,23
S01006718,713,673,31,9
S01006719,1015,969,40,6
S01006720,786,753,24,9
S01006721,1005,935,50,20
S01006722,852,797,43,12
S01006723,1025,968,44,13
S01006724,1319,1237,59,23
S01006725,1038,979,44,15
S01006726,987,892,67,28
S01006727,1187,1095,69,23
S01006728,944,888,41,15
