output_area,total,non_catholic_christian,catholic_christian,jewish,muslim,none,other
S00092576,102,57,8,0,0,29,8
S00092577,110,66,7,0,0,28,9
S00092578,124,88,1,0,0,28,7
S00092579,108,75,1,0,0,26,6
S00092580,147,78,5,0,0,52,12
S00092581,140,65,12,0,0,54,9
S00092582,56,45,2,0,0,2,7
S00092583,166,89,13,0,0,35,29
S00092584,71,36,11,0,0,24,0
S00092585,172,80,7,0,0,75,10
S00092586,164,73,7,0,0,62,22
S00092587,129,52,7,0,0,61,9
S00092588,133,62,3,0,0,59,9
S00092589,137,72,17,0,0,44,4
S00092590,96,43,5,0,0,43,5
S00092591,93,56,3,0,0,32,2
S00092592,177,89,14,0,0,59,15
S00092593,113,52,9,0,0,48,4
S00092594,121,71,2,0,0,43,5
S00092595,103,54,4,0,0,42,3
S00092596,252,91,10,0,0,79,72
S00092597,109,57,4,0,0,42,6
S00092598,115,58,7,0,0,40,10
S00092599,129,52,6,0,0,62,9
S00092600,109,62,0,0,0,42,5
S00092601,106,42,4,0,0,53,7
S00092602,131,56,9,0,0,52,14
S00092603,152,66,3,1,0,66,16
S00092604,176,78,9,0,0,66,23
S00092605,106,36,7,0,0,56,7
S00092606,107,55,8,0,0,32,12
S00092607,93,49,1,0,0,34,9
S00092608,106,55,3,0,0,44,4
S00092609,171,74,15,1,0,63,18
S00092610,199,98,9,0,0,83,9
S00092611,130,69,2,0,2,47,10
S00092612,167,87,15,0,0,53,12
S00092613,83,27,7,0,0,45,4
S00092614,93,31,5,0,0,56,1
S00092615,72,30,3,0,0,37,2
S00092616,141,74,9,0,0,57,1
S00092617,95,31,5,1,0,56,2
S00092618,159,53,7,0,0,91,8
S00092619,177,75,25,0,0,61,16
S00092620,156,69,2,0,0,67,18
S00092621,218,103,13,0,0,92,10
S00092622,70,23,8,0,0,31,8
S00092623,95,33,10,0,0,46,6
S00092624,155,65,5,0,0,71,14
S00092625,170,82,5,0,0,74,9
S00092626,80,41,0,0,0,35,4
S00092627,107,48,11,0,0,44,4
S00092628,67,19,3,0,6,28,11
S00092629,205,93,16,0,0,84,12
S00092630,66,19,3,0,0,44,0
S00092631,191,62,11,0,0,97,21
S00092632,111,48,10,0,0,45,8
S00092633,99,53,0,0,0,43,3
S00092634,120,57,6,0,0,55,2
S00092635,159,84,11,0,0,51,13
S00092636,119,82,1,0,0,29,7
S00092637,156,51,9,0,0,83,13
S00092638,146,61,9,0,0,68,8
S00092639,135,52,9,0,0,52,22
S00092640,167,56,7,0,4,89,11
S00092641,138,77,16,0,0,32,13
S00092642,176,72,7,0,0,74,23
S00092643,62,40,1,0,0,18,3
S00092644,104,34,17,0,0,49,4
S00092645,83,33,5,0,0,34,11
S00092646,116,55,17,0,0,36,8
S00092647,199,109,25,0,0,54,11
S00092648,141,75,8,0,0,47,11
S00092649,150,65,13,0,0,63,9
S00092650,206,92,4,0,0,82,28
S00092651,120,59,10,0,3,47,1
S00092652,69,31,1,0,0,35,2
S00092653,130,42,4,0,0,71,13
S00092654,124,59,3,0,0,45,17
S00092655,134,56,13,1,0,57,7
S00092656,112,47,3,0,3,50,9
S00092657,185,68,11,0,0,94,12
S00092658,89,27,3,0,0,54,5
S00092659,182,76,10,0,1,85,10
S00092660,101,51,5,0,0,37,8
S00092661,117,30,11,0,0,70,6
S00092662,78,36,5,0,0,33,4
S00092663,112,19,6,0,1,72,14
S00092664,144,60,3,0,0,62,19
S00092665,71,43,1,0,0,23,4
S00092666,135,67,7,0,0,49,12
S00092667,90,33,3,0,0,38,16
S00092668,99,44,5,0,0,42,8
S00092669,174,64,5,0,0,85,20
S00092670,81,36,1,0,0,35,9
S00092671,120,30,4,0,0,71,15
S00092672,132,73,4,0,0,50,5
S00092673,81,19,5,0,0,51,6
S00092674,146,67,10,0,3,59,7
S00092675,168,81,11,0,3,65,8
S00092676,89,48,10,0,0,25,6
S00092677,98,41,5,0,0,45,7
S00092678,136,53,6,0,0,71,6
S00092679,84,26,3,0,0,47,8
S00092680,194,75,11,1,0,96,11
S00092681,97,37,5,0,0,44,11
S00092682,103,30,10,0,0,56,7
S00092683,138,59,7,0,1,53,18
S00092684,85,41,5,0,0,32,7
S00092685,87,46,1,0,0,33,7
S00092686,128,70,12,0,0,33,13
S00092687,156,89,9,0,0,46,12
S00092688,83,35,6,0,5,32,5
S00092689,250,114,15,0,14,93,14
S00092690,244,109,9,0,0,108,18
S00092691,132,45,4,0,0,73,10
S00092692,57,32,1,0,0,22,2
S00092693,119,42,5,0,0,64,8
S00092694,153,63,6,0,1,67,16
S00092695,59,29,0,0,0,22,8
S00092696,127,52,3,0,0,60,12
S00092697,120,68,3,0,0,40,9
S00092698,147,57,8,0,0,79,3
S00092699,136,67,10,0,0,50,9
S00092700,88,60,0,0,0,21,7
S00092701,118,80,3,0,0,28,7
S00092702,108,30,2,0,6,58,12
S00092703,160,68,2,0,0,76,14
S00092704,158,78,8,0,0,54,18
S00092705,110,51,5,0,2,45,7
S00092706,160,76,3,0,0,70,11
S00092707,63,40,0,0,0,21,2
S00092708,104,60,3,0,0,33,8
S00092709,93,43,2,0,0,44,4
S00092710,133,75,9,0,0,38,11
S00092711,128,74,2,0,0,49,3
S00092712,123,52,11,0,0,56,4
S00092713,118,55,11,0,0,46,6
S00092714,69,32,8,0,0,26,3
S00092715,101,31,0,0,0,65,5
S00092716,132,47,3,0,0,69,13
S00092717,205,135,1,0,0,55,14
S00092718,110,47,4,0,0,52,7
S00092719,86,40,4,0,0,33,9
S00092720,186,40,12,0,0,128,6
S00092721,86,30,1,0,5,42,8
S00092722,82,35,6,0,1,38,2
S00092723,167,55,5,0,0,101,6
S00092724,146,63,17,0,0,43,23
S00092725,57,38,3,0,0,13,3
S00092726,116,59,1,0,0,44,12
S00092727,93,55,5,0,0,22,11
S00092728,109,32,6,0,0,62,9
S00092729,146,48,7,0,1,85,5
S00092730,111,38,0,0,0,65,8
S00092731,175,75,5,0,4,82,9
S00092732,128,59,0,0,0,48,21
S00092733,177,83,2,0,0,75,17
S00092734,154,64,12,0,0,71,7
S00092735,62,23,2,0,0,33,4
S00092736,57,26,2,0,0,24,5
S00092737,104,37,6,0,0,56,5
S00092738,131,53,6,0,0,61,11
S00092739,80,28,5,0,0,35,12
S00092740,60,25,0,0,0,31,4
S00092741,98,39,7,0,0,42,10
S00092742,109,41,6,0,0,49,13
S00092743,82,52,0,0,0,28,2
S00092744,126,67,1,0,0,52,6
S00092745,173,68,15,0,0,75,15
S00092746,63,24,0,0,0,37,2
S00092747,117,58,1,0,0,47,11
S00092748,138,92,1,1,0,39,5
S00092749,124,70,0,0,0,52,2
S00092750,103,62,3,0,0,31,7
S00092751,132,30,7,0,0,84,11
S00092752,155,76,2,0,0,70,7
S00092753,133,58,11,0,0,53,11
S00092754,90,31,2,0,0,54,3
S00092755,75,21,7,0,1,40,6
S00092756,170,89,6,0,1,63,11
S00092757,178,79,11,0,0,78,10
S00092758,70,36,3,0,0,21,10
S00092759,95,43,9,0,4,36,3
S00092760,151,57,9,0,0,79,6
S00092761,64,33,0,0,0,30,1
S00092762,84,26,1,0,0,51,6
S00092763,145,64,2,0,0,63,16
S00092764,119,48,7,0,0,62,2
S00092765,219,67,4,0,0,119,29
S00092766,94,36,5,0,0,47,6
S00092767,159,72,14,0,0,66,7
S00092768,169,49,5,0,0,102,13
S00092769,163,78,1,2,0,68,14
S00092770,71,30,9,0,0,31,1
S00092771,168,92,15,0,1,52,8
S00092772,121,73,3,0,1,35,9
S00092773,81,32,0,0,0,43,6
S00092774,115,50,5,0,0,57,3
S00092775,92,40,5,0,0,43,4
S00092776,138,74,6,0,0,48,10
S00092777,109,25,9,0,0,70,5
S00092778,141,49,5,0,0,79,8
S00092779,189,61,6,0,0,112,10
S00092780,108,43,3,0,0,55,7
S00092781,153,72,1,0,0,64,16
S00092782,114,46,3,0,0,57,8
S00092783,119,39,12,0,0,57,11
S00092784,140,72,2,0,0,63,3
S00092785,168,98,3,0,0,54,13
S00092786,111,65,4,0,0,35,7
S00092787,127,60,9,0,0,49,9
S00092788,161,40,8,0,0,95,18
S00092789,161,58,3,0,0,91,9
S00092790,191,81,8,0,0,86,16
S00092791,82,39,4,0,0,33,6
S00092792,124,50,9,0,0,53,12
S00092793,128,41,9,0,0,63,15
S00092794,99,59,5,0,0,31,4
S00092795,69,41,6,0,0,19,3
S00092796,93,39,1,0,0,43,10
S00092797,136,72,4,0,0,50,10
S00092798,91,38,2,0,1,46,4
S00092799,118,59,1,0,4,46,8
S00092800,140,78,10,0,0,45,7
S00092801,58,34,6,0,0,16,2
S00092802,95,49,2,0,0,38,6
S00092803,57,36,4,0,0,16,1
S00092804,227,104,15,0,2,71,35
S00092805,87,42,2,0,0,41,2
S00092806,116,42,1,0,0,71,2
S00092807,155,96,4,0,0,47,8
S00092808,121,74,6,0,0,32,9
S00092809,105,48,3,0,0,46,8
S00092810,170,77,9,0,0,68,16
S00092811,81,54,2,0,1,20,4
S00092812,131,56,1,0,0,58,16
S00092813,142,60,6,0,0,69,7
S00092814,166,73,6,0,0,65,22
S00092815,155,53,4,0,0,87,11
S00092816,188,67,13,0,0,95,13
S00092817,84,52,3,0,0,18,11
S00092818,132,61,6,0,0,53,12
S00092819,85,49,1,0,0,30,5
S00092820,121,64,1,0,0,44,12
S00092821,72,30,4,0,0,34,4
S00092822,66,20,1,0,0,40,5
S00092823,198,46,4,0,0,126,22
S00092824,147,70,2,0,0,70,5
S00092825,84,38,0,0,0,41,5
S00092826,85,25,0,0,0,47,13
S00092827,57,21,3,0,0,27,6
S00092828,83,29,4,0,0,45,5
S00092829,105,28,7,0,0,59,11
S00092830,183,96,4,0,0,68,15
S00092831,96,40,4,0,0,42,10
S00092832,106,38,0,0,0,63,5
S00092833,73,30,3,0,0,34,6
S00092834,82,23,8,0,0,45,6
S00092835,119,39,3,0,0,69,8
S00092836,81,28,3,0,0,41,9
S00092837,135,83,2,0,0,40,10
S00092838,128,57,0,0,1,55,15
S00092839,67,38,0,0,0,24,5
S00092840,85,55,2,0,0,15,13
S00092841,126,59,3,0,0,56,8
S00092842,96,31,12,0,0,37,16
S00092843,86,38,3,0,0,39,6
S00092844,120,64,1,0,0,42,13
S00092845,90,40,4,0,0,32,14
S00092846,102,44,1,0,0,47,10
S00092847,76,31,0,0,0,40,5
S00092848,89,50,4,0,0,26,9
S00092849,126,39,11,0,0,74,2
S00092850,71,35,0,0,0,28,8
S00092851,162,86,8,0,0,48,20
S00092852,166,75,1,0,0,67,23
S00092853,126,69,4,0,0,52,1
S00092854,63,38,1,0,0,21,3
S00092855,93,40,2,0,0,39,12
S00092856,89,58,3,0,0,19,9
S00092857,112,70,0,0,0,32,10
S00092858,155,79,1,0,0,61,14
S00092859,56,36,3,0,0,16,1
S00092860,82,58,2,0,0,19,3
S00092861,105,38,2,0,0,38,27
S00092862,76,30,2,0,0,33,11
S00092863,85,52,0,0,0,22,11
S00092864,140,40,1,0,2,86,11
S00092865,135,63,1,0,4,61,6
S00092866,52,16,11,0,0,22,3
S00092867,108,40,16,0,0,40,12
S00092868,127,47,1,0,0,68,11
S00092869,92,52,6,0,0,29,5
S00092870,58,45,0,0,0,7,6
S00092871,122,79,5,0,0,30,8
S00092872,77,41,6,0,0,24,6
S00092873,121,82,4,0,0,28,7
S00092874,126,69,7,0,0,37,13
S00092875,191,98,1,0,0,82,10
S00092876,84,25,3,0,0,49,7
S00092877,159,67,2,0,0,76,14
S00092878,118,83,1,0,0,24,10
S00092879,99,56,5,0,0,34,4
S00092880,120,45,4,0,0,55,16
S00092881,122,71,0,0,0,38,13
S00092882,107,42,1,0,0,53,11
S00092883,118,42,6,0,0,61,9
S00092884,52,32,1,0,0,16,3
S00092885,155,62,6,0,0,60,27
S00092886,101,49,0,0,0,46,6
S00092887,141,54,3,0,0,78,6
S00092888,60,21,0,0,0,28,11
S00092889,94,33,6,0,0,44,11
S00092890,70,34,1,0,0,33,2
S00092891,144,93,2,0,0,32,17
S00092892,149,85,15,0,0,28,21
S00092893,116,84,0,0,0,13,19
S00092894,119,87,0,0,0,23,9
S00092895,104,74,0,0,0,19,11
S00092896,137,71,7,0,0,40,19
S00092897,87,56,2,0,0,23,6
S00092898,114,34,6,0,0,61,13
S00092899,53,25,3,0,0,20,5
S00092900,108,40,6,0,0,52,10
S00092901,246,145,2,0,0,92,7
S00092902,114,69,2,0,0,41,2
S00092903,210,118,7,0,0,69,16
S00092904,192,121,5,0,0,57,9
S00092905,165,70,5,0,0,86,4
S00092906,109,55,6,0,0,41,7
S00092907,172,21,70,0,0,61,20
S00092908,70,19,15,0,0,28,8
S00092909,93,49,0,0,0,32,12
S00092910,132,72,3,0,0,44,13
S00092911,124,64,6,0,0,44,10
S00092912,145,60,2,0,0,72,11
S00092913,89,42,0,1,0,37,9
S00092914,95,49,1,0,0,41,4
S00092915,155,80,0,0,0,60,15
S00092916,164,57,8,0,0,91,8
S00092917,144,67,4,0,0,57,16
S00092918,121,56,6,0,0,57,2
S00092919,135,80,1,0,0,45,9
S00092920,106,65,8,0,0,26,7
S00092921,181,83,11,0,0,65,22
S00092922,82,42,3,0,0,28,9
S00092923,101,53,16,0,0,21,11
S00092924,115,62,4,0,0,40,9
S00092925,149,74,19,0,0,53,3
S00092926,62,32,4,0,0,20,6
S00092927,140,57,12,0,0,58,13
S00092928,127,58,3,0,0,55,11
S00092929,58,28,1,0,0,26,3
S00092930,139,48,5,0,0,76,10
S00092931,146,71,2,0,0,64,9
S00092932,145,74,0,0,0,49,22
S00092933,146,67,0,0,0,68,11
S00092934,143,56,8,0,0,69,10
S00092935,111,58,0,0,0,46,7
S00092936,79,30,17,0,0,27,5
S00092937,107,50,15,0,1,38,3
S00092938,115,37,24,0,2,36,16
S00092939,165,69,11,0,0,76,9
S00092940,123,58,3,0,0,58,4
S00092941,160,81,2,0,0,67,10
S00092942,141,40,11,0,0,86,4
S00092943,69,32,4,0,0,24,9
S00092944,119,71,1,0,0,40,7
S00092945,116,49,2,0,0,63,2
S00092946,105,54,5,0,0,42,4
S00092947,173,92,18,0,0,45,18
S00092948,202,84,4,0,7,101,6
S00092949,82,44,9,0,0,20,9
S00092950,107,37,11,0,2,51,6
S00092951,152,48,7,0,1,88,8
S00092952,159,57,7,0,3,76,16
S00092953,70,19,5,0,0,43,3
S00092954,103,52,1,0,0,49,1
S00092955,111,25,8,0,0,74,4
S00092956,138,62,0,0,0,52,24
S00092957,103,46,2,0,0,49,6
S00092958,154,70,10,0,1,63,10
S00092959,84,41,3,0,0,40,0
S00092960,151,78,4,0,0,51,18
S00092961,102,63,0,0,0,34,5
S00092962,127,73,5,0,0,46,3
S00092963,132,82,0,0,0,40,10
S00092964,99,49,1,0,0,40,9
S00092965,191,89,8,0,0,84,10
S00092966,133,58,3,0,0,61,11
S00092967,99,49,0,0,0,50,0
S00092968,128,69,2,0,0,51,6
S00092969,91,47,2,0,0,28,14
S00092970,65,19,0,0,0,36,10
S00092971,188,112,6,0,0,61,9
S00092972,143,69,5,0,0,52,17
S00092973,143,59,4,0,6,58,16
S00092974,87,29,1,0,0,45,12
S00092975,134,61,3,0,0,63,7
S00092976,129,72,2,0,0,46,9
S00092977,109,50,4,2,0,40,13
S00092978,110,52,3,0,0,41,14
S00092979,73,33,3,0,0,35,2
S00092980,140,61,22,0,0,48,9
S00092981,64,38,0,0,1,22,3
S00092982,105,57,6,0,0,39,3
S00092983,182,99,16,0,0,59,8
S00092984,163,68,7,0,0,72,16
S00092985,148,73,11,0,0,55,9
S00092986,180,82,13,0,0,72,13
S00092987,140,76,14,0,0,38,12
S00092988,165,65,23,0,0,73,4
S00092989,192,84,14,0,0,82,12
S00092990,186,64,22,0,5,87,8
S00092991,191,91,16,0,0,81,3
S00092992,154,64,20,0,1,60,9
S00092993,106,65,3,0,0,32,6
S00092994,151,68,14,0,0,64,5
S00092995,84,38,4,0,0,39,3
S00092996,97,38,8,0,0,39,12
S00092997,93,41,6,0,0,36,10
S00092998,143,70,9,0,0,55,9
S00092999,159,83,8,0,0,63,5
S00093000,95,39,7,0,0,44,5
S00093001,139,63,11,0,0,55,10
S00093002,176,78,19,0,0,67,12
S00093003,93,43,0,0,0,41,9
S00093004,201,97,17,0,0,67,20
S00093005,170,87,7,0,8,59,9
S00093006,160,98,8,0,0,45,9
S00093007,160,88,12,0,0,43,17
S00093008,132,74,16,0,0,31,11
S00093009,55,32,4,0,0,18,1
S00093010,96,34,7,0,0,45,10
S00093011,96,38,3,0,0,45,10
S00093012,112,64,5,0,0,38,5
S00093013,138,77,11,0,1,38,11
S00093014,82,45,1,0,0,29,7
S00093015,65,38,9,0,0,13,5
S00093016,118,75,2,0,0,27,14
S00093017,129,63,6,0,1,52,7
S00093018,113,57,3,0,0,44,9
S00093019,159,85,9,0,0,47,18
S00093020,78,40,14,0,0,14,10
S00093021,95,54,3,0,0,37,1
S00093022,96,43,2,0,0,45,6
S00093023,107,58,2,0,0,43,4
S00093024,61,39,0,0,0,22,0
S00093025,109,50,3,0,0,50,6
S00093026,118,77,5,0,0,29,7
S00093027,118,59,9,1,0,43,6
S00093028,120,72,5,0,0,38,5
S00093029,171,99,9,0,1,49,13
S00093030,118,75,5,0,0,37,1
S00093031,84,45,3,0,0,24,12
S00093032,151,74,8,0,0,60,9
S00093033,224,71,29,0,0,106,18
S00093034,103,57,8,0,0,34,4
S00093035,106,66,9,0,0,22,9
S00093036,105,43,8,0,0,35,19
S00093037,91,34,4,0,0,43,10
S00093038,63,38,0,0,6,13,6
S00093039,163,80,0,0,0,59,24
S00093040,139,79,5,0,2,43,10
S00093041,61,40,0,0,0,17,4
S00093042,176,95,15,0,0,55,11
S00093043,125,65,5,0,0,45,10
S00093044,68,38,4,0,0,21,5
S00093045,172,82,9,0,1,74,6
S00093046,159,83,2,0,0,55,19
S00093047,128,81,3,0,0,40,4
S00093048,80,41,2,0,0,28,9
S00093049,80,28,2,0,0,40,10
S00093050,71,38,3,0,0,26,4
S00093051,79,31,11,0,0,30,7
S00093052,90,64,1,0,0,16,9
S00093053,115,48,5,0,0,40,22
S00093054,78,29,6,0,0,34,9
S00093055,106,71,3,0,0,25,7
S00093056,66,29,1,0,0,35,1
S00093057,91,32,1,0,0,47,11
S00093058,137,81,6,0,0,49,1
S00093059,147,71,8,0,0,50,18
S00093060,122,59,4,0,0,51,8
S00093061,99,20,7,0,0,64,8
S00093062,127,55,11,0,0,50,11
S00093063,126,52,2,0,0,67,5
S00093064,147,72,6,0,0,53,16
S00093065,189,109,3,0,0,62,15
S00093066,125,57,5,0,0,47,16
S00093067,67,38,1,0,0,25,3
S00093068,127,62,5,0,1,51,8
S00093069,80,32,1,0,0,39,8
S00093070,131,67,6,0,0,53,5
S00093071,121,54,3,0,0,46,18
S00093072,109,59,6,0,0,39,5
S00093073,123,65,6,0,0,47,5
S00093074,116,60,11,0,0,31,14
S00093075,99,52,2,0,0,37,8
S00093076,145,76,6,0,0,42,21
S00093077,151,84,18,0,0,40,9
S00093078,87,34,3,0,0,45,5
S00093079,61,30,1,0,0,24,6
S00093080,182,68,11,0,0,98,5
S00093081,145,79,9,0,0,50,7
S00093082,176,70,10,0,0,88,8
S00093083,199,77,9,0,0,90,23
S00093084,98,33,4,0,0,49,12
S00093085,118,50,5,0,0,55,8
S00093086,55,32,0,1,0,21,1
S00093087,119,62,13,0,0,40,4
S00093088,176,80,9,0,0,64,23
S00093089,122,65,12,0,0,33,12
S00093090,91,32,3,0,0,51,5
S00093091,115,35,8,0,1,65,6
S00093092,156,64,7,0,0,72,13
S00093093,114,46,2,0,0,58,8
S00093094,92,53,2,0,0,31,6
S00093095,155,81,1,0,0,57,16
S00093096,57,27,5,0,0,24,1
S00093097,60,39,0,0,0,8,13
S00093098,79,41,1,0,0,29,8
S00093099,144,58,25,0,0,57,4
S00093100,157,60,28,0,1,47,21
S00093101,183,89,11,0,7,67,9
S00093102,193,55,21,0,11,89,17
S00093103,142,55,17,0,0,52,18
S00093104,114,37,10,0,0,49,18
S00093105,198,84,27,0,0,81,6
S00093106,117,35,13,0,0,59,10
S00093107,125,58,7,0,0,56,4
S00093108,92,41,14,0,0,30,7
S00093109,121,42,25,0,0,43,11
S00093110,115,58,7,0,0,40,10
S00093111,104,46,2,0,0,50,6
S00093112,88,40,16,0,0,24,8
S00093113,100,34,14,0,0,43,9
S00093114,172,61,21,0,4,64,22
S00093115,91,44,12,0,0,32,3
S00093116,207,83,27,0,3,85,9
S00093117,184,67,44,0,0,64,9
S00093118,135,67,17,0,0,42,9
S00093119,132,66,14,0,0,45,7
S00093120,110,55,13,0,0,28,14
S00093121,117,51,8,0,0,48,10
S00093122,81,47,6,0,0,20,8
S00093123,116,56,12,0,0,46,2
S00093124,88,57,6,0,0,20,5
S00093125,100,60,5,0,0,26,9
S00093126,108,63,9,0,0,29,7
S00093127,99,53,8,0,0,28,10
S00093128,121,58,20,0,0,36,7
S00093129,185,73,21,0,15,72,4
S00093130,122,64,13,0,0,45,0
S00093131,115,63,7,0,4,38,3
S00093132,84,32,15,0,0,32,5
S00093133,116,58,11,0,6,38,3
S00093134,138,67,16,0,0,36,19
S00093135,146,67,19,0,0,52,8
S00093136,88,47,12,0,0,24,5
S00093137,92,58,15,0,0,16,3
S00093138,111,58,11,0,0,26,16
S00093139,109,43,18,0,0,35,13
S00093140,138,64,18,0,4,50,2
S00093141,107,60,16,0,5,19,7
S00093142,162,74,14,0,0,61,13
S00093143,118,54,10,0,0,36,18
S00093144,111,62,10,0,0,29,10
S00093145,169,80,11,1,0,43,34
S00093146,186,69,33,0,0,79,5
S00093147,108,58,10,0,0,31,9
S00093148,68,34,19,0,0,10,5
S00093149,109,67,4,0,0,35,3
S00093150,80,53,6,0,0,14,7
S00093151,110,66,14,0,0,27,3
S00093152,61,43,6,0,0,9,3
S00093153,149,62,7,0,0,68,12
S00093154,111,62,12,0,0,33,4
S00093155,101,45,11,0,0,41,4
S00093156,177,83,19,0,0,67,8
S00093157,117,58,11,0,0,40,8
S00093158,124,56,17,0,0,45,6
S00093159,80,56,6,0,0,16,2
S00093160,97,37,9,0,1,44,6
S00093161,137,53,16,0,0,57,11
S00093162,161,49,33,0,4,53,22
S00093163,103,59,13,0,0,28,3
S00093164,144,57,14,0,0,65,8
S00093165,104,60,13,0,0,24,7
S00093166,142,73,16,0,0,44,9
S00093167,119,70,3,0,0,42,4
S00093168,80,44,7,0,0,24,5
S00093169,80,41,4,0,0,32,3
S00093170,75,22,13,0,0,35,5
S00093171,76,47,12,0,0,14,3
S00093172,136,70,16,0,0,42,8
S00093173,106,53,7,1,0,35,10
S00093174,169,69,54,0,0,42,4
S00093175,82,51,6,0,1,19,5
S00093176,102,47,13,0,1,33,8
S00093177,88,42,10,0,0,29,7
S00093178,155,54,21,0,6,66,8
S00093179,125,51,4,1,3,54,12
S00093180,167,66,9,0,0,51,41
S00093181,146,61,10,0,0,66,9
S00093182,195,118,9,0,0,53,15
S00093183,110,63,8,0,0,28,11
S00093184,169,76,8,0,0,72,13
S00093185,99,40,15,1,0,41,2
S00093186,154,79,11,0,1,41,22
S00093187,161,70,20,0,0,56,15
S00093188,111,52,3,0,0,48,8
S00093189,106,47,4,0,3,47,5
S00093190,161,88,12,0,0,57,4
S00093191,91,48,5,0,0,29,9
S00093192,123,51,8,0,0,60,4
S00093193,141,51,14,0,0,71,5
S00093194,137,77,10,0,0,37,13
S00093195,96,46,4,0,0,41,5
S00093196,133,70,13,0,0,43,7
S00093197,76,42,5,0,0,24,5
S00093198,141,102,10,0,2,25,2
S00093199,147,80,6,0,0,44,17
S00093200,57,42,1,0,0,11,3
S00093201,117,72,9,0,0,27,9
S00093202,122,35,8,0,0,75,4
S00093203,85,37,5,0,0,35,8
S00093204,121,61,9,0,0,44,7
S00093205,95,45,1,0,0,44,5
S00093206,94,47,5,0,0,38,4
S00093207,93,41,11,0,0,38,3
S00093208,109,34,8,0,0,51,16
S00093209,114,44,12,0,0,47,11
S00093210,166,51,15,0,4,92,4
S00093211,104,42,3,0,0,48,11
S00093212,86,48,4,0,0,31,3
S00093213,88,38,2,0,0,38,10
S00093214,107,44,8,0,0,52,3
S00093215,97,34,7,0,4,41,11
S00093216,79,30,11,0,0,36,2
S00093217,68,30,2,0,0,33,3
S00093218,117,54,7,0,0,44,12
S00093219,98,42,7,0,0,41,8
S00093220,88,45,12,0,0,30,1
S00093221,69,35,3,0,0,25,6
S00093222,97,56,7,0,0,28,6
S00093223,112,43,7,0,0,57,5
S00093224,124,57,1,0,0,53,13
S00093225,103,44,13,0,0,43,3
S00093226,148,50,7,0,0,85,6
S00093227,84,51,6,0,0,22,5
S00093228,104,46,11,0,0,44,3
S00093229,170,58,12,0,0,89,11
S00093230,144,61,6,0,0,61,16
S00093231,88,47,7,0,1,27,6
S00093232,85,30,5,0,0,44,6
S00093233,116,41,7,0,0,58,10
S00093234,101,34,5,0,0,52,10
S00093235,109,35,12,0,0,51,11
S00093236,151,57,17,0,0,54,23
S00093237,145,59,12,0,0,59,15
S00093238,95,28,10,0,0,49,8
S00093239,135,59,13,0,0,56,7
S00093240,85,36,8,0,0,35,6
S00093241,78,28,10,0,0,36,4
S00093242,93,32,7,0,0,49,5
S00093243,104,41,15,0,0,41,7
S00093244,116,39,12,0,2,60,3
S00093245,101,31,13,0,0,54,3
S00093246,121,65,11,0,0,36,9
S00093247,128,64,12,0,0,43,9
S00093248,82,39,7,0,0,32,4
S00093249,120,58,9,0,1,45,7
S00093250,113,67,4,0,0,35,7
S00093251,176,77,17,0,5,68,9
S00093252,114,67,9,0,0,32,6
S00093253,99,46,6,0,0,46,1
S00093254,108,45,5,0,0,20,38
S00093255,109,31,3,0,0,71,4
S00093256,113,26,8,0,0,71,8
S00093257,106,40,6,0,0,53,7
S00093258,95,31,7,0,1,48,8
S00093259,105,37,8,0,6,38,16
S00093260,89,52,3,0,0,27,7
S00093261,57,16,6,0,0,28,7
S00093262,117,17,3,0,0,90,7
S00093263,67,27,4,0,0,31,5
S00093264,81,41,0,0,0,36,4
S00093265,136,32,13,0,0,83,8
S00093266,97,29,4,0,6,54,4
S00093267,77,15,10,0,1,44,7
S00093268,93,37,2,0,0,48,6
S00093269,74,35,8,0,0,31,0
S00093270,104,42,4,0,0,51,7
S00093271,53,16,8,0,0,29,0
S00093272,97,26,18,0,0,47,6
S00093273,104,39,3,0,0,56,6
S00093274,104,56,7,0,0,32,9
S00093275,79,32,3,0,0,39,5
S00093276,125,20,17,0,1,74,13
S00093277,68,47,0,0,0,19,2
S00093278,54,24,2,0,0,24,4
S00093279,118,31,9,0,0,72,6
S00093280,64,38,4,0,0,20,2
S00093281,110,32,17,0,8,48,5
S00093282,100,37,3,0,0,48,12
S00093283,100,42,13,0,0,39,6
S00093284,89,15,5,0,0,55,14
S00093285,104,41,14,0,0,33,16
S00093286,94,31,12,0,0,48,3
S00093287,94,37,2,0,0,51,4
S00093288,77,10,17,0,2,42,6
S00093289,89,47,2,0,0,35,5
S00093290,127,69,4,0,3,47,4
S00093291,99,31,8,0,0,53,7
S00093292,108,21,10,0,0,60,17
S00093293,107,26,5,0,0,62,14
S00093294,93,16,8,0,0,62,7
S00093295,154,26,7,0,0,110,11
S00093296,99,26,1,0,0,65,7
S00093297,130,25,11,0,0,87,7
S00093298,166,72,4,0,0,78,12
S00093299,148,63,4,0,4,65,12
S00093300,126,33,8,0,0,78,7
S00093301,106,49,3,0,0,47,7
S00093302,143,40,6,0,1,83,13
S00093303,183,68,8,0,0,100,7
S00093304,72,19,4,0,0,45,4
S00093305,97,12,14,0,1,70,0
S00093306,142,43,7,0,0,79,13
S00093307,126,70,3,0,0,25,28
S00093308,119,80,2,0,0,23,14
S00093309,97,55,6,0,0,33,3
S00093310,151,72,11,0,0,54,14
