dz_2001,total,owned,nonowned
S01000001,747,582,165
S01000002,687,653,34
S01000003,838,820,18
S01000004,641,611,30
S01000005,663,571,92
S01000006,593,408,185
S01000007,708,611,97
S01000008,584,402,182
S01000009,706,592,114
S01000010,568,549,19
S01000011,877,722,155
S01000012,814,792,22
S01000013,898,617,281
S01000014,919,788,131
S01000015,655,629,26
S01000016,560,370,190
S01000017,937,785,152
S01000018,577,497,80
S01000019,531,514,17
S01000020,805,550,255
S01000021,862,628,234
S01000022,663,609,54
S01000023,805,703,102
S01000024,488,425,63
S01000025,850,747,103
S01000026,930,453,477
S01000027,815,705,110
S01000028,969,521,448
S01000029,742,558,184
S01000030,500,253,247
S01000031,866,774,92
S01000032,1089,672,417
S01000033,796,279,517
S01000034,925,848,77
S01000035,1009,565,444
S01000036,702,283,419
S01000037,736,476,260
S01000038,682,461,221
S01000039,942,406,536
S01000040,970,614,356
S01000041,827,671,156
S01000042,790,407,383
S01000043,837,478,359
S01000044,946,411,535
S01000045,581,556,25
S01000046,763,739,24
S01000047,751,398,353
S01000048,925,839,86
S01000049,737,688,49
S01000050,588,554,34
S01000051,788,756,32
S01000052,677,292,385
S01000053,971,700,271
S01000054,777,652,125
S01000055,711,279,432
S01000056,1049,884,165
S01000057,700,196,504
S01000058,703,661,42
S01000059,785,724,61
S01000060,577,116,461
S01000061,955,855,100
S01000062,990,800,190
S01000063,944,803,141
S01000064,648,394,254
S01000065,947,680,267
S01000066,750,463,287
S01000067,893,754,139
S01000068,824,723,101
S01000069,684,231,453
S01000070,646,245,401
S01000071,740,156,584
S01000072,832,514,318
S01000073,611,578,33
S01000074,763,72,691
S01000075,547,392,155
S01000076,770,760,10
S01000077,909,819,90
S01000078,817,447,370
S01000079,920,685,235
S01000080,926,742,184
S01000081,924,848,76
S01000082,928,376,552
S01000083,757,608,149
S01000084,665,405,260
S01000085,543,353,190
S01000086,695,496,199
S01000087,582,515,67
S01000088,621,430,191
S01000089,962,902,60
S01000090,800,603,197
S01000091,870,586,284
S01000092,851,541,310
S01000093,390,258,132
S01000094,575,324,251
S01000095,703,557,146
S01000096,706,320,386
S01000097,929,761,168
S01000098,914,460,454
S01000099,762,718,44
S01000100,695,348,347
S01000101,885,692,193
S01000102,747,199,548
S01000103,603,401,202
S01000104,819,707,112
S01000105,885,818,67
S01000106,706,580,126
S01000107,889,379,510
S01000108,537,270,267
S01000109,885,330,555
S01000110,800,558,242
S01000111,754,604,150
S01000112,970,389,581
S01000113,545,463,82
S01000114,627,271,356
S01000115,873,401,472
S01000116,893,623,270
S01000117,987,849,138
S01000118,674,403,271
S01000119,786,337,449
S01000120,574,377,197
S01000121,760,557,203
S01000122,764,273,491
S01000123,648,556,92
S01000124,985,479,506
S01000125,701,188,513
S01000126,861,312,549
S01000127,798,754,44
S01000128,930,407,523
S01000129,549,214,335
S01000130,865,395,470
S01000131,659,539,120
S01000132,776,569,207
S01000133,737,411,326
S01000134,762,270,492
S01000135,721,113,608
S01000136,706,309,397
S01000137,786,412,374
S01000138,805,386,419
S01000139,817,421,396
S01000140,943,592,351
S01000141,833,660,173
S01000142,772,283,489
S01000143,633,596,37
S01000144,517,264,253
S01000145,905,496,409
S01000146,959,315,644
S01000147,671,350,321
S01000148,694,228,466
S01000149,1011,440,571
S01000150,636,301,335
S01000151,907,245,662
S01000152,835,632,203
S01000153,529,182,347
S01000154,557,346,211
S01000155,784,370,414
S01000156,967,207,760
S01000157,667,187,480
S01000158,933,401,532
S01000159,956,883,73
S01000160,813,474,339
S01000161,958,715,243
S01000162,886,483,403
S01000163,1022,515,507
S01000164,471,224,247
S01000165,861,353,508
S01000166,1047,552,495
S01000167,712,415,297
S01000168,954,500,454
S01000169,750,507,243
S01000170,1031,695,336
S01000171,892,834,58
S01000172,501,358,143
S01000173,811,345,466
S01000174,873,791,82
S01000175,528,241,287
S01000176,671,346,325
S01000177,554,449,105
S01000178,760,382,378
S01000179,757,90,667
S01000180,676,432,244
S01000181,654,274,380
S01000182,873,424,449
S01000183,951,228,723
S01000184,793,630,163
S01000185,782,130,652
S01000186,957,658,299
S01000187,713,299,414
S01000188,754,194,560
S01000189,624,215,409
S01000190,887,486,401
S01000191,873,655,218
S01000192,767,187,580
S01000193,793,376,417
S01000194,745,255,490
S01000195,697,235,462
S01000196,924,167,757
S01000197,610,287,323
S01000198,746,198,548
S01000199,716,88,628
S01000200,846,450,396
S01000201,654,307,347
S01000202,861,550,311
S01000203,453,32,421
S01000204,622,292,330
S01000205,729,200,529
S01000206,714,502,212
S01000207,883,95,788
S01000208,800,164,636
S01000209,987,134,853
S01000210,578,203,375
S01000211,678,125,553
S01000212,788,401,387
S01000213,672,252,420
S01000214,507,356,151
S01000215,606,470,136
S01000216,619,568,51
S01000217,698,216,482
S01000218,713,430,283
S01000219,698,97,601
S01000220,599,253,346
S01000221,785,416,369
S01000222,758,473,285
S01000223,525,466,59
S01000224,732,483,249
S01000225,595,452,143
S01000226,618,569,49
S01000227,646,609,37
S01000228,655,500,155
S01000229,795,379,416
S01000230,678,451,227
S01000231,710,685,25
S01000232,669,315,354
S01000233,567,278,289
S01000234,762,728,34
S01000235,795,753,42
S01000236,680,565,115
S01000237,916,814,102
S01000238,516,475,41
S01000239,733,665,68
S01000240,721,622,99
