"dz_2001","total","llti","no_llti"
"S01000001",765,111,654
"S01000002",687,38,649
"S01000003",838,60,778
"S01000004",641,45,596
"S01000005",663,70,593
"S01000006",626,144,482
"S01000007",735,156,579
"S01000008",584,112,472
"S01000009",710,105,605
"S01000010",568,51,517
"S01000011",918,153,765
"S01000012",816,89,727
"S01000013",898,130,768
"S01000014",919,106,813
"S01000015",655,41,614
"S01000016",564,96,468
"S01000017",937,122,815
"S01000018",577,76,501
"S01000019",531,55,476
"S01000020",877,255,622
"S01000021",862,164,698
"S01000022",663,60,603
"S01000023",805,56,749
"S01000024",512,61,451
"S01000025",874,85,789
"S01000026",930,228,702
"S01000027",815,90,725
"S01000028",969,218,751
"S01000029",742,21,721
"S01000030",500,111,389
"S01000031",866,127,739
"S01000032",1089,251,838
"S01000033",796,215,581
"S01000034",1012,163,849
"S01000035",1009,189,820
"S01000036",744,179,565
"S01000037",800,200,600
"S01000038",684,128,556
"S01000039",942,211,731
"S01000040",970,210,760
"S01000041",838,188,650
"S01000042",790,144,646
"S01000043",837,195,642
"S01000044",951,274,677
"S01000045",581,84,497
"S01000046",768,100,668
"S01000047",759,226,533
"S01000048",925,106,819
"S01000049",764,141,623
"S01000050",618,114,504
"S01000051",788,153,635
"S01000052",677,173,504
"S01000053",1014,219,795
"S01000054",777,179,598
"S01000055",754,178,576
"S01000056",1049,109,940
"S01000057",700,155,545
"S01000058",710,84,626
"S01000059",806,103,703
"S01000060",577,114,463
"S01000061",963,142,821
"S01000062",991,83,908
"S01000063",983,125,858
"S01000064",648,135,513
"S01000065",953,120,833
"S01000066",800,154,646
"S01000067",897,140,757
"S01000068",862,145,717
"S01000069",684,174,510
"S01000070",646,120,526
"S01000071",740,185,555
"S01000072",832,187,645
"S01000073",619,88,531
"S01000074",763,168,595
"S01000075",547,85,462
"S01000076",770,97,673
"S01000077",917,105,812
"S01000078",817,135,682
"S01000079",952,131,821
"S01000080",927,96,831
"S01000081",924,134,790
"S01000082",954,260,694
"S01000083",757,88,669
"S01000084",674,130,544
"S01000085",555,73,482
"S01000086",745,112,633
"S01000087",820,110,710
"S01000088",639,57,582
"S01000089",1003,157,846
"S01000090",800,68,732
"S01000091",929,136,793
"S01000092",851,70,781
"S01000093",404,23,381
"S01000094",575,45,530
"S01000095",703,69,634
"S01000096",706,200,506
"S01000097",967,112,855
"S01000098",1022,172,850
"S01000099",762,100,662
"S01000100",760,83,677
"S01000101",885,91,794
"S01000102",747,165,582
"S01000103",603,52,551
"S01000104",863,141,722
"S01000105",885,86,799
"S01000106",706,50,656
"S01000107",889,94,795
"S01000108",606,150,456
"S01000109",895,170,725
"S01000110",820,221,599
"S01000111",762,83,679
"S01000112",970,203,767
"S01000113",545,60,485
"S01000114",876,327,549
"S01000115",873,228,645
"S01000116",901,81,820
"S01000117",1056,188,868
"S01000118",704,158,546
"S01000119",786,161,625
"S01000120",574,67,507
"S01000121",796,164,632
"S01000122",764,162,602
"S01000123",648,79,569
"S01000124",985,143,842
"S01000125",701,160,541
"S01000126",867,243,624
"S01000127",798,78,720
"S01000128",1538,182,1356
"S01000129",549,21,528
"S01000130",865,177,688
"S01000131",659,74,585
"S01000132",784,85,699
"S01000133",737,142,595
"S01000134",762,164,598
"S01000135",721,207,514
"S01000136",706,154,552
"S01000137",786,104,682
"S01000138",822,127,695
"S01000139",817,219,598
"S01000140",943,204,739
"S01000141",945,148,797
"S01000142",772,167,605
"S01000143",633,60,573
"S01000144",547,50,497
"S01000145",905,282,623
"S01000146",963,187,776
"S01000147",735,177,558
"S01000148",694,172,522
"S01000149",1011,174,837
"S01000150",636,125,511
"S01000151",907,288,619
"S01000152",1083,341,742
"S01000153",529,90,439
"S01000154",557,146,411
"S01000155",784,178,606
"S01000156",970,134,836
"S01000157",692,270,422
"S01000158",933,205,728
"S01000159",1014,103,911
"S01000160",813,177,636
"S01000161",959,103,856
"S01000162",886,172,714
"S01000163",1022,224,798
"S01000164",471,181,290
"S01000165",861,254,607
"S01000166",1147,141,1006
"S01000167",712,197,515
"S01000168",956,208,748
"S01000169",761,193,568
"S01000170",1035,143,892
"S01000171",892,45,847
"S01000172",501,66,435
"S01000173",811,194,617
"S01000174",873,50,823
"S01000175",528,66,462
"S01000176",744,84,660
"S01000177",554,57,497
"S01000178",760,172,588
"S01000179",757,265,492
"S01000180",693,156,537
"S01000181",654,115,539
"S01000182",873,215,658
"S01000183",1000,183,817
"S01000184",793,149,644
"S01000185",787,240,547
"S01000186",957,282,675
"S01000187",713,144,569
"S01000188",1079,281,798
"S01000189",624,117,507
"S01000190",887,197,690
"S01000191",1057,182,875
"S01000192",767,158,609
"S01000193",802,178,624
"S01000194",745,118,627
"S01000195",697,171,526
"S01000196",924,147,777
"S01000197",610,134,476
"S01000198",746,201,545
"S01000199",716,192,524
"S01000200",846,221,625
"S01000201",654,182,472
"S01000202",888,164,724
"S01000203",453,86,367
"S01000204",622,138,484
"S01000205",960,124,836
"S01000206",714,125,589
"S01000207",883,236,647
"S01000208",857,269,588
"S01000209",987,184,803
"S01000210",578,150,428
"S01000211",713,204,509
"S01000212",788,158,630
"S01000213",672,196,476
"S01000214",507,108,399
"S01000215",736,111,625
"S01000216",619,125,494
"S01000217",698,154,544
"S01000218",718,187,531
"S01000219",698,164,534
"S01000220",1399,165,1234
"S01000221",897,311,586
"S01000222",758,161,597
"S01000223",525,64,461
"S01000224",768,196,572
"S01000225",595,97,498
"S01000226",618,89,529
"S01000227",646,57,589
"S01000228",660,76,584
"S01000229",795,185,610
"S01000230",678,121,557
"S01000231",710,49,661
"S01000232",669,161,508
"S01000233",567,155,412
"S01000234",762,102,660
"S01000235",888,153,735
"S01000236",680,109,571
"S01000237",916,139,777
"S01000238",516,38,478
"S01000239",733,105,628
"S01000240",721,96,625
"S01000241",746,46,700
"S01000242",690,81,609
"S01000243",739,63,676
"S01000244",1045,211,834
"S01000245",953,132,821
"S01000246",750,96,654
"S01000247",767,65,702
"S01000248",868,94,774
"S01000249",738,108,630
"S01000250",805,66,739
"S01000251",501,36,465
"S01000252",867,50,817
"S01000253",745,27,718
"S01000254",808,68,740
"S01000255",632,35,597
"S01000256",919,206,713
"S01000257",826,116,710
"S01000258",666,41,625
"S01000259",614,43,571
"S01000260",890,31,859
"S01000261",1007,118,889
"S01000262",946,163,783
"S01000263",794,65,729
"S01000264",1033,185,848
"S01000265",778,160,618
"S01000266",984,134,850
"S01000267",691,135,556
"S01000268",779,140,639
"S01000269",561,61,500
"S01000270",964,142,822
"S01000271",906,150,756
"S01000272",940,122,818
"S01000273",524,63,461
"S01000274",594,109,485
"S01000275",982,156,826
"S01000276",740,65,675
"S01000277",674,100,574
"S01000278",537,120,417
"S01000279",613,118,495
"S01000280",620,66,554
"S01000281",679,104,575
"S01000282",663,78,585
"S01000283",881,90,791
"S01000284",819,68,751
"S01000285",672,64,608
"S01000286",880,149,731
"S01000287",724,104,620
"S01000288",897,83,814
"S01000289",849,141,708
"S01000290",775,114,661
"S01000291",831,122,709
"S01000292",980,155,825
"S01000293",765,214,551
"S01000294",699,67,632
"S01000295",607,66,541
"S01000296",532,77,455
"S01000297",736,87,649
"S01000298",528,47,481
"S01000299",953,161,792
"S01000300",774,67,707
"S01000301",579,90,489
"S01000302",566,68,498
"S01000303",485,65,420
"S01000304",791,53,738
"S01000305",1040,139,901
"S01000306",746,61,685
"S01000307",991,66,925
"S01000308",991,108,883
"S01000309",646,82,564
"S01000310",899,73,826
"S01000311",947,144,803
"S01000312",646,133,513
"S01000313",709,110,599
"S01000314",572,69,503
"S01000315",661,107,554
"S01000316",800,181,619
"S01000317",551,117,434
"S01000318",577,60,517
"S01000319",723,81,642
"S01000320",722,77,645
"S01000321",581,57,524
"S01000322",1083,79,1004
"S01000323",888,132,756
"S01000324",870,77,793
"S01000325",618,108,510
"S01000326",763,129,634
"S01000327",898,91,807
"S01000328",601,68,533
"S01000329",546,60,486
"S01000330",733,95,638
"S01000331",621,114,507
"S01000332",687,101,586
"S01000333",841,75,766
"S01000334",823,194,629
"S01000335",652,103,549
"S01000336",852,118,734
"S01000337",690,86,604
"S01000338",508,94,414
"S01000339",1094,138,956
"S01000340",971,125,846
"S01000341",748,127,621
"S01000342",387,90,297
"S01000343",644,86,558
"S01000344",894,125,769
"S01000345",646,84,562
"S01000346",683,72,611
"S01000347",478,65,413
"S01000348",816,70,746
"S01000349",592,74,518
"S01000350",1002,78,924
"S01000351",1023,80,943
"S01000352",798,70,728
"S01000353",663,51,612
"S01000354",648,138,510
"S01000355",707,41,666
"S01000356",611,56,555
"S01000357",682,38,644
"S01000358",1030,88,942
"S01000359",856,37,819
"S01000360",514,79,435
"S01000361",614,76,538
"S01000362",920,96,824
"S01000363",960,87,873
"S01000364",900,120,780
"S01000365",677,81,596
"S01000366",761,85,676
"S01000367",753,99,654
"S01000368",797,110,687
"S01000369",975,116,859
"S01000370",796,78,718
"S01000371",931,173,758
"S01000372",983,174,809
"S01000373",588,55,533
"S01000374",611,84,527
"S01000375",646,112,534
"S01000376",899,140,759
"S01000377",721,79,642
"S01000378",581,68,513
"S01000379",574,55,519
"S01000380",748,56,692
"S01000381",884,134,750
"S01000382",755,90,665
"S01000383",655,94,561
"S01000384",731,135,596
"S01000385",574,72,502
"S01000386",766,102,664
"S01000387",853,93,760
"S01000388",775,84,691
"S01000389",667,36,631
"S01000390",727,155,572
"S01000391",636,125,511
"S01000392",723,66,657
"S01000393",857,190,667
"S01000394",688,83,605
"S01000395",588,71,517
"S01000396",940,255,685
"S01000397",1024,158,866
"S01000398",749,78,671
"S01000399",577,98,479
"S01000400",705,127,578
"S01000401",824,101,723
"S01000402",709,83,626
"S01000403",797,111,686
"S01000404",756,88,668
"S01000405",474,42,432
"S01000406",629,90,539
"S01000407",658,107,551
"S01000408",513,41,472
"S01000409",666,54,612
"S01000410",664,56,608
"S01000411",631,71,560
"S01000412",787,77,710
"S01000413",786,94,692
"S01000414",721,60,661
"S01000415",615,110,505
"S01000416",670,78,592
"S01000417",1005,123,882
"S01000418",723,88,635
"S01000419",672,54,618
"S01000420",998,168,830
"S01000421",601,57,544
"S01000422",725,156,569
"S01000423",904,71,833
"S01000424",727,93,634
"S01000425",695,93,602
"S01000426",797,70,727
"S01000427",785,73,712
"S01000428",777,80,697
"S01000429",782,124,658
"S01000430",570,70,500
"S01000431",693,177,516
"S01000432",973,151,822
"S01000433",468,67,401
"S01000434",680,93,587
"S01000435",555,84,471
"S01000436",695,45,650
"S01000437",1024,174,850
"S01000438",698,49,649
"S01000439",700,62,638
"S01000440",868,128,740
"S01000441",871,171,700
"S01000442",808,85,723
"S01000443",581,59,522
"S01000444",573,51,522
"S01000445",971,137,834
"S01000446",946,142,804
"S01000447",539,64,475
"S01000448",622,83,539
"S01000449",784,157,627
"S01000450",645,80,565
"S01000451",790,105,685
"S01000452",561,65,496
"S01000453",547,76,471
"S01000454",493,104,389
"S01000455",870,129,741
"S01000456",718,102,616
"S01000457",872,206,666
"S01000458",853,84,769
"S01000459",1037,172,865
"S01000460",769,142,627
"S01000461",863,187,676
"S01000462",1035,217,818
"S01000463",816,107,709
"S01000464",741,99,642
"S01000465",629,88,541
"S01000466",799,83,716
"S01000467",626,150,476
"S01000468",520,54,466
"S01000469",689,61,628
"S01000470",1263,226,1037
"S01000471",603,77,526
"S01000472",836,100,736
"S01000473",745,115,630
"S01000474",648,75,573
"S01000475",887,138,749
"S01000476",581,102,479
"S01000477",777,125,652
"S01000478",869,213,656
"S01000479",967,215,752
"S01000480",665,101,564
"S01000481",784,108,676
"S01000482",837,245,592
"S01000483",920,229,691
"S01000484",806,129,677
"S01000485",1080,95,985
"S01000486",798,211,587
"S01000487",590,171,419
"S01000488",703,185,518
"S01000489",904,293,611
"S01000490",541,45,496
"S01000491",593,131,462
"S01000492",954,157,797
"S01000493",588,102,486
"S01000494",566,108,458
"S01000495",935,159,776
"S01000496",587,49,538
"S01000497",630,120,510
"S01000498",548,89,459
"S01000499",803,95,708
"S01000500",675,98,577
"S01000501",621,131,490
"S01000502",540,92,448
"S01000503",533,124,409
"S01000504",708,143,565
"S01000505",757,114,643
"S01000506",654,114,540
"S01000507",1087,205,882
"S01000508",877,130,747
"S01000509",1058,203,855
"S01000510",658,102,556
"S01000511",556,80,476
"S01000512",892,115,777
"S01000513",862,169,693
"S01000514",516,63,453
"S01000515",484,61,423
"S01000516",654,106,548
"S01000517",651,113,538
"S01000518",879,169,710
"S01000519",476,65,411
