dz_2001,total,house,nonhouse
S01000001,747,401,346
S01000002,687,678,9
S01000003,838,735,103
S01000004,641,540,101
S01000005,663,256,407
S01000006,593,446,147
S01000007,708,687,21
S01000008,584,460,124
S01000009,706,680,26
S01000010,568,522,46
S01000011,877,850,27
S01000012,814,801,13
S01000013,898,742,156
S01000014,919,869,50
S01000015,655,565,90
S01000016,560,531,29
S01000017,937,887,50
S01000018,577,539,38
S01000019,531,528,3
S01000020,805,603,202
S01000021,862,813,49
S01000022,663,646,17
S01000023,805,800,5
S01000024,488,482,6
S01000025,850,841,9
S01000026,930,510,420
S01000027,815,758,57
S01000028,969,672,297
S01000029,742,722,20
S01000030,500,310,190
S01000031,866,691,175
S01000032,1089,907,182
S01000033,796,233,563
S01000034,925,902,23
S01000035,1009,789,220
S01000036,702,614,88
S01000037,736,285,451
S01000038,682,606,76
S01000039,942,536,406
S01000040,970,559,411
S01000041,827,532,295
S01000042,790,480,310
S01000043,837,290,547
S01000044,946,377,569
S01000045,581,577,4
S01000046,763,755,8
S01000047,751,123,628
S01000048,925,765,160
S01000049,737,653,84
S01000050,588,537,51
S01000051,788,780,8
S01000052,677,384,293
S01000053,971,529,442
S01000054,777,677,100
S01000055,711,287,424
S01000056,1049,1007,42
S01000057,700,474,226
S01000058,703,619,84
S01000059,785,615,170
S01000060,577,278,299
S01000061,955,798,157
S01000062,990,347,643
S01000063,944,652,292
S01000064,648,339,309
S01000065,947,461,486
S01000066,750,203,547
S01000067,893,671,222
S01000068,824,464,360
S01000069,684,124,560
S01000070,646,247,399
S01000071,740,43,697
S01000072,832,643,189
S01000073,611,584,27
S01000074,763,103,660
S01000075,547,132,415
S01000076,770,766,4
S01000077,909,635,274
S01000078,817,31,786
S01000079,920,275,645
S01000080,926,236,690
S01000081,924,695,229
S01000082,928,299,629
S01000083,757,449,308
S01000084,665,90,575
S01000085,543,33,510
S01000086,695,267,428
S01000087,582,486,96
S01000088,621,147,474
S01000089,962,959,3
S01000090,800,279,521
S01000091,870,139,731
S01000092,851,34,817
S01000093,390,75,315
S01000094,575,10,565
S01000095,703,204,499
S01000096,706,360,346
S01000097,929,608,321
S01000098,914,103,811
S01000099,762,706,56
S01000100,695,107,588
S01000101,885,539,346
S01000102,747,48,699
S01000103,603,79,524
S01000104,819,741,78
S01000105,885,771,114
S01000106,706,521,185
S01000107,889,22,867
S01000108,537,192,345
S01000109,885,69,816
S01000110,800,716,84
S01000111,754,364,390
S01000112,970,89,881
S01000113,545,332,213
S01000114,627,184,443
S01000115,873,555,318
S01000116,893,81,812
S01000117,987,672,315
S01000118,674,434,240
S01000119,786,47,739
S01000120,574,192,382
S01000121,760,588,172
S01000122,764,431,333
S01000123,648,635,13
S01000124,985,55,930
S01000125,701,47,654
S01000126,861,81,780
S01000127,798,606,192
S01000128,930,35,895
S01000129,549,10,539
S01000130,865,77,788
S01000131,659,269,390
S01000132,776,202,574
S01000133,737,624,113
S01000134,762,360,402
S01000135,721,22,699
S01000136,706,437,269
S01000137,786,90,696
S01000138,805,72,733
S01000139,817,731,86
S01000140,943,882,61
S01000141,833,499,334
S01000142,772,393,379
S01000143,633,627,6
S01000144,517,9,508
S01000145,905,645,260
S01000146,959,39,920
S01000147,671,22,649
S01000148,694,262,432
S01000149,1011,95,916
S01000150,636,478,158
S01000151,907,238,669
S01000152,835,344,491
S01000153,529,36,493
S01000154,557,548,9
S01000155,784,633,151
S01000156,967,37,930
S01000157,667,122,545
S01000158,933,477,456
S01000159,956,933,23
S01000160,813,797,16
S01000161,958,313,645
S01000162,886,433,453
S01000163,1022,913,109
S01000164,471,41,430
S01000165,861,71,790
S01000166,1047,340,707
S01000167,712,548,164
S01000168,954,866,88
S01000169,750,608,142
S01000170,1031,435,596
S01000171,892,889,3
S01000172,501,242,259
S01000173,811,366,445
S01000174,873,870,3
S01000175,528,61,467
S01000176,671,38,633
S01000177,554,227,327
S01000178,760,674,86
S01000179,757,56,701
S01000180,676,655,21
S01000181,654,586,68
S01000182,873,865,8
S01000183,951,119,832
S01000184,793,506,287
S01000185,782,46,736
S01000186,957,551,406
S01000187,713,699,14
S01000188,754,214,540
S01000189,624,466,158
S01000190,887,819,68
S01000191,873,334,539
S01000192,767,123,644
S01000193,793,744,49
S01000194,745,178,567
S01000195,697,217,480
S01000196,924,430,494
S01000197,610,591,19
S01000198,746,265,481
S01000199,716,66,650
S01000200,846,62,784
S01000201,654,41,613
S01000202,861,218,643
S01000203,453,21,432
S01000204,622,449,173
S01000205,729,211,518
S01000206,714,666,48
S01000207,883,33,850
S01000208,800,351,449
S01000209,987,296,691
S01000210,578,132,446
S01000211,678,206,472
S01000212,788,499,289
S01000213,672,46,626
S01000214,507,497,10
S01000215,606,570,36
S01000216,619,539,80
S01000217,698,335,363
S01000218,713,698,15
S01000219,698,133,565
S01000220,599,141,458
S01000221,785,192,593
S01000222,758,673,85
S01000223,525,347,178
S01000224,732,706,26
S01000225,595,565,30
S01000226,618,481,137
S01000227,646,611,35
S01000228,655,196,459
S01000229,795,378,417
S01000230,678,388,290
S01000231,710,624,86
S01000232,669,503,166
S01000233,567,302,265
S01000234,762,684,78
S01000235,795,717,78
S01000236,680,590,90
S01000237,916,892,24
S01000238,516,435,81
S01000239,733,693,40
S01000240,721,651,70
S01000241,746,746,0
S01000242,690,474,216
S01000243,739,739,0
S01000244,1045,643,402
S01000245,953,931,22
S01000246,750,740,10
S01000247,767,765,2
S01000248,868,736,132
S01000249,738,731,7
S01000250,805,804,1
S01000251,501,499,2
S01000252,867,809,58
S01000253,745,740,5
S01000254,808,745,63
S01000255,632,552,80
S01000256,919,834,85
S01000257,817,734,83
S01000258,666,646,20
S01000259,614,567,47
S01000260,890,886,4
S01000261,999,899,100
S01000262,946,823,123
S01000263,794,692,102
S01000264,1033,744,289
S01000265,778,583,195
S01000266,982,826,156
S01000267,669,502,167
S01000268,779,759,20
S01000269,561,555,6
S01000270,964,942,22
S01000271,898,829,69
S01000272,940,863,77
S01000273,523,521,2
S01000274,594,484,110
S01000275,982,885,97
S01000276,736,733,3
S01000277,654,570,84
S01000278,537,358,179
S01000279,552,532,20
S01000280,620,568,52
S01000281,679,615,64
S01000282,651,625,26
S01000283,881,827,54
S01000284,819,799,20
S01000285,672,661,11
S01000286,876,517,359
S01000287,681,571,110
S01000288,897,891,6
S01000289,849,710,139
S01000290,764,466,298
S01000291,786,770,16
S01000292,931,809,122
S01000293,763,336,427
S01000294,699,679,20
S01000295,607,607,0
S01000296,510,440,70
S01000297,733,709,24
S01000298,528,519,9
S01000299,902,854,48
S01000300,774,747,27
S01000301,557,512,45
S01000302,566,556,10
S01000303,480,460,20
S01000304,791,786,5
S01000305,1040,1018,22
S01000306,746,721,25
S01000307,991,991,0
S01000308,991,981,10
S01000309,628,620,8
S01000310,899,846,53
S01000311,914,655,259
S01000312,571,512,59
S01000313,709,665,44
S01000314,572,548,24
S01000315,631,599,32
S01000316,794,727,67
S01000317,551,492,59
S01000318,577,569,8
S01000319,685,684,1
S01000320,722,600,122
S01000321,581,580,1
S01000322,1081,1019,62
S01000323,888,863,25
S01000324,870,859,11
S01000325,618,603,15
S01000326,763,744,19
S01000327,898,889,9
S01000328,601,591,10
S01000329,545,543,2
S01000330,705,691,14
S01000331,621,605,16
S01000332,683,633,50
S01000333,828,803,25
S01000334,791,722,69
S01000335,652,648,4
S01000336,802,692,110
S01000337,685,651,34
S01000338,480,465,15
